,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
buggless_if_doc_extensions,0,[],0.0,0.0,0.0,0,0,0.0
conventional_commit_regex,1,[],0.0,0.0,0.0,0,0,0.0
buggless_one_file,2,[0],0.375,0.2528409090909091,0.20738636363636365,75,57,0.5681818181818181
fine_grained_changes_transformer_90,3,"[0, 1]",0.3068181818181818,0.2215909090909091,0.15056818181818182,74,34,0.6851851851851851
fix_keyword,4,[1],0.3778409090909091,0.2215909090909091,0.19318181818181818,104,29,0.7819548872180451
bugless_message_keyword_move,5,[0],0.02556818181818182,0.014204545454545454,0.011363636363636364,8,1,0.8888888888888888
bugless_message_keyword_refactor,6,[0],0.011363636363636364,0.002840909090909091,0.002840909090909091,3,1,0.75
bugless_message_keyword_renam,7,[0],0.022727272727272728,0.019886363636363636,0.014204545454545454,4,4,0.5
bugless_message_keyword_reorgan,8,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_restructur,9,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_rewrit,10,[0],0.005681818181818182,0.005681818181818182,0.005681818181818182,1,1,0.5
bugless_message_keyword_simplif,11,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_simplifi,12,[0],0.008522727272727272,0.005681818181818182,0.002840909090909091,3,0,1.0
