,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.23399692686962836,0.20995221451125406,0.09655032673116863,10522,3336,0.7592726223120219
fine_grained_changes_transformer_80,1,"[0, 1]",0.0991000118197322,0.08959357006568394,0.0509937017712713,3896,1973,0.6638268870335662
fine_grained_changes_transformer_70,2,"[0, 1]",0.09330834304239907,0.0847305945325296,0.048697296658392855,3627,1899,0.6563517915309446
all_files_test_add,3,[0],0.001975583810343954,0.001975583810343954,0.000726069263630684,108,9,0.9230769230769231
all_files_test_fix,4,[0],0.0039680529524002495,0.003951167620687908,0.001553450517535417,183,52,0.7787234042553192
buggless_if_many_lines_changed,5,[0],0.15671276362224135,0.14916502034682472,0.06455262313628152,7384,1897,0.7956039219911648
buggless_one_file,6,[0],0.14884419904429022,0.13803758674839167,0.06136129544264897,6628,2187,0.7519001701644923
bugless_if_at_least_2_removed_files,7,[0],0.048933691302365634,0.04770106208736471,0.015500734511929487,2523,375,0.870600414078675
bugless_if_at_least_5_added_files,8,[0],0.07490333147594684,0.07307971565101397,0.02041436604022086,3963,473,0.8933724075743914
bugless_if_many_files_changes,9,[0],0.15470340914847272,0.1515120814548402,0.050824848454147885,7805,1357,0.8518882340100415
bugless_if_not_code_files,10,[0],0.111105482667207,0.1071205443830944,0.03854921229927562,5330,1250,0.8100303951367781
no_files_have_modified_status,11,[0],0.011043006939871335,0.011043006939871335,0.0011482025564392212,628,26,0.9602446483180428
refactoring_if_at_least_2_renamed,12,[0],0.03187950627290073,0.0312547489995441,0.009607753744322307,1653,235,0.8755296610169492
bug_message_keyword_bad,13,[1],0.00249902909342654,0.002414602434864833,0.002313290444590784,126,22,0.8513513513513513
bug_message_keyword_broken,14,[1],0.0055721594650726914,0.005487732806510984,0.005150026172264154,213,117,0.6454545454545455
bug_message_keyword_bug,15,[1],0.04174053999290816,0.04108201205612684,0.03726592708913767,2129,343,0.8612459546925566
bug_message_keyword_close,16,[1],0.049693531229421,0.048731067321817534,0.04609695557469227,2160,783,0.7339449541284404
bug_message_keyword_concurr,17,[1],0.0008104959221923915,0.0008104959221923915,0.000759839927055367,26,22,0.5416666666666666
bug_message_keyword_correct,18,[1],0.02019485672796042,0.01938436080576803,0.018269928912753492,836,360,0.6989966555183946
bug_message_keyword_corrupt,19,[1],0.0006416426050689766,0.0006416426050689766,0.0005741012782196106,35,3,0.9210526315789473
bug_message_keyword_crash,20,[1],0.00430575958664708,0.004288874254934738,0.0038836262938385423,235,20,0.9215686274509804
bug_message_keyword_deadlock,21,[1],0.0005234452830825861,0.0005234452830825861,0.0004896746196579032,20,11,0.6451612903225806
bug_message_keyword_defect,22,[1],0.0007091839319183426,0.000624757273356635,0.0005572159465072692,39,3,0.9285714285714286
bug_message_keyword_disabl,23,[1],0.008577748509869476,0.008459551187883087,0.008256927207334988,219,289,0.4311023622047244
bug_message_keyword_endless,24,[1],0.00023639464397278085,0.00021950931226043935,0.00018573864883575638,11,3,0.7857142857142857
bug_message_keyword_ensur,25,[1],0.0077334819242524016,0.007632169933978353,0.007311348631443865,320,138,0.6986899563318777
bug_message_keyword_error,26,[1],0.03062999172618746,0.03019097310166658,0.028046535974199212,1418,396,0.7816979051819184
bug_message_keyword_except,27,[1],0.007581513938841328,0.007497087280279621,0.007108724650895767,328,121,0.7305122494432071
bug_message_keyword_fail,28,[1],0.015500734511929487,0.015230569204532023,0.01462269726288773,557,361,0.6067538126361656
bug_message_keyword_bugfix,29,[1],0.2657920064839674,0.24909241342046165,0.23237593502524356,12435,3306,0.7899752239374881
bug_message_keyword_garbag,30,[1],0.00037147729767151276,0.00037147729767151276,0.0003208213025344883,11,11,0.5
bug_message_keyword_handl,31,[1],0.023403069753305302,0.022744541816523984,0.02154568326494774,968,418,0.6984126984126984
bug_message_keyword_incomplet,32,[1],0.0011650878881515627,0.0011482025564392212,0.0011313172247268799,45,24,0.6521739130434783
bug_message_keyword_inconsist,33,[1],0.0009962345710281479,0.0009962345710281479,0.0009286932441787819,51,8,0.8644067796610169
bug_message_keyword_incorrect,34,[1],0.003241983688769566,0.0032250983570572245,0.003106901035070834,172,20,0.8958333333333333
bug_message_keyword_infinit,35,[1],0.0009793492393158063,0.0009793492393158063,0.0009118079124664405,39,19,0.6724137931034483
bug_message_keyword_invalid,36,[1],0.004136906269523665,0.004103135606098982,0.0038836262938385423,186,59,0.7591836734693878
bug_message_keyword_issue,37,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,38,[1],0.0019080424834945883,0.0018911571517822468,0.001722303834658832,102,11,0.9026548672566372
bug_message_keyword_loop,39,[1],0.003934282288975567,0.003934282288975567,0.0036810023132904444,114,119,0.4892703862660944
bug_message_keyword_minor,40,[1],0.009050537797815039,0.00884791381726694,0.008527092514732451,212,324,0.3955223880597015
bug_message_keyword_mistak,41,[1],0.0013001705418502947,0.0013001705418502947,0.0013001705418502947,11,66,0.14285714285714285
bug_message_keyword_npe,42,[1],0.001452138527261368,0.0014183678638366851,0.0013001705418502947,78,8,0.9069767441860466
bug_message_keyword_not|work,43,[1],0.0030224743765091266,0.003005589044796785,0.002701653073974638,167,12,0.9329608938547487
bug_message_keyword_not|return,44,[1],0.00037147729767151276,0.00037147729767151276,0.0003208213025344883,15,7,0.6818181818181819
bug_message_keyword_of|bound,45,[1],0.00018573864883575638,0.00018573864883575638,0.0001519679854110734,9,2,0.8181818181818181
bug_message_keyword_patch,46,[1],0.012714654779393141,0.012326292150009287,0.011988585515762457,311,442,0.4130146082337317
bug_message_keyword_prevent,47,[1],0.007243807304594499,0.0072100366411698156,0.006821674011785962,247,182,0.5757575757575758
bug_message_keyword_problem,48,[1],0.009422015095486552,0.009270047110075478,0.008442665856170744,479,79,0.8584229390681004
bug_message_keyword_properli,49,[1],0.007243807304594499,0.007058068655758742,0.006602164699525522,361,68,0.8414918414918415
bug_message_keyword_race|condit,50,[1],0.0009793492393158063,0.0009793492393158063,0.0009624639076034649,48,10,0.8275862068965517
bug_message_keyword_repair,51,[1],0.00025327997568512235,0.00025327997568512235,0.00023639464397278085,13,2,0.8666666666666667
bug_message_keyword_resolv,52,[1],0.01632811576583422,0.015720243824189926,0.014994174560559242,598,369,0.6184074457083765
bug_message_keyword_threw,53,[1],0.004255103591510055,0.004238218259797714,0.004069364942674299,161,91,0.6388888888888888
bug_message_keyword_timeout,54,[1],0.00249902909342654,0.002414602434864833,0.0022626344494537597,72,76,0.4864864864864865
bug_message_keyword_unabl,55,[1],0.000759839927055367,0.000726069263630684,0.0006585279367813181,36,9,0.8
bug_message_keyword_unclos,56,[1],6.754132684936595e-05,6.754132684936595e-05,6.754132684936595e-05,4,0,1.0
bug_message_keyword_unexpect,57,[1],0.0006754132684936595,0.0006754132684936595,0.0006416426050689766,17,23,0.425
bug_message_keyword_unknown,58,[1],0.001975583810343954,0.001975583810343954,0.0018911571517822468,47,70,0.4017094017094017
bug_message_keyword_unsynchron,59,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,60,[1],0.0050318288502777635,0.004964287523428397,0.0047616635428803,200,98,0.6711409395973155
bugless_message_keyword_abil,61,[0],0.00499805818685308,0.004930516860003715,0.0028198503959610288,277,19,0.9358108108108107
bugless_message_keyword_ad,62,[0],0.08120156020465022,0.0764736673251946,0.03684379379632913,4056,753,0.843418590143481
bugless_message_keyword_add,63,[0],0.10769464566131402,0.10203805953767962,0.05259780828394374,5479,899,0.8590467231106931
bugless_message_keyword_addit,64,[0],0.007784137919389427,0.007682825929115377,0.005251338162538203,381,80,0.8264642082429501
bugless_message_keyword_allow,65,[0],0.022373064518852473,0.021461256606386033,0.014875977238572851,1036,289,0.7818867924528302
bugless_message_keyword_analysi,66,[0],0.0015703358492477584,0.001519679854110734,0.0009624639076034649,59,34,0.6344086021505376
bugless_message_keyword_avoid,67,[0],0.00928693244178782,0.009084308461239721,0.007412660621717914,340,210,0.6181818181818182
bugless_message_keyword_baselin,68,[0],0.0003208213025344883,0.0003039359708221468,0.0001350826536987319,19,0,1.0
bugless_message_keyword_beautification,69,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_benchmark,70,[0],0.0009962345710281479,0.0009962345710281479,0.0006078719416442936,52,7,0.8813559322033898
bugless_message_keyword_better,71,[0],0.010840382959323236,0.010468905661651724,0.007378889958293231,490,152,0.7632398753894081
bugless_message_keyword_bump,72,[0],0.008138729885348597,0.007919220573088158,0.003647231649865762,472,10,0.9792531120331951
bugless_message_keyword_chang|log,73,[0],0.0002870506391098053,0.0002870506391098053,0.00021950931226043935,16,1,0.9411764705882353
bugless_message_keyword_clean,74,[0],0.024652584300018574,0.02233929385542779,0.012157438832885873,1266,194,0.8671232876712329
bugless_message_keyword_comment,75,[0],0.013305641389325093,0.012984820086790605,0.00874660182699289,681,107,0.8642131979695431
bugless_message_keyword_complet,76,[0],0.008206271212197963,0.007784137919389427,0.004626580889181568,401,85,0.8251028806584362
bugless_message_keyword_configur|chang,77,[0],0.00011819732198639042,0.00011819732198639042,6.754132684936595e-05,7,0,1.0
bugless_message_keyword_consolid,78,[0],0.000861151917329416,0.000759839927055367,0.0004390186245208787,49,2,0.9607843137254901
bugless_message_keyword_convert,79,[0],0.00646708204582679,0.0060956047481552774,0.003765428971852152,293,90,0.7650130548302871
bugless_message_keyword_coverag,80,[0],0.0030900157033584923,0.0030562450399338097,0.0019418131469192712,171,12,0.9344262295081966
bugless_message_keyword_create,81,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_deprec,82,[0],0.005200682167401179,0.00509937017712713,0.0034277223376053224,294,14,0.9545454545454546
bugless_message_keyword_develop,83,[0],0.017290579673437684,0.015905982473025684,0.006196916738429327,929,95,0.9072265625
bugless_message_keyword_doc,84,[0],0.03530722861050605,0.03485132465427283,0.019181736825219932,1773,318,0.8479196556671449
bugless_message_keyword_drop,85,[0],0.0045421542306198605,0.004238218259797714,0.002735423737399321,216,53,0.8029739776951672
bugless_message_keyword_enhanc,86,[0],0.00442395690863347,0.004322644918359421,0.0026341117471252724,207,55,0.7900763358778626
bugless_message_keyword_exampl,87,[0],0.012073012174324164,0.01190415885720075,0.007649055265690694,590,125,0.8251748251748252
bugless_message_keyword_exclud,88,[0],0.0015872211809601,0.0015703358492477584,0.0013001705418502947,66,28,0.7021276595744681
bugless_message_keyword_expand,89,[0],0.0026678824105499555,0.0026341117471252724,0.001975583810343954,140,18,0.8860759493670887
bugless_message_keyword_extendgener,90,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_featur,91,[0],0.023183560441044863,0.02235617918714013,0.012326292150009287,1132,241,0.8244719592134013
bugless_message_keyword_forget,92,[0],0.0002701653073974638,0.00025327997568512235,0.00021950931226043935,10,6,0.625
bugless_message_keyword_format,93,[0],0.012292521486584603,0.011836617530351383,0.00829069787075967,525,203,0.7211538461538461
bugless_message_keyword_gitignor,94,[0],0.001350826536987319,0.0013339412052749777,0.0009286932441787819,80,0,1.0
bugless_message_keyword_idea,95,[0],0.0011313172247268799,0.0010975465613021968,0.0006754132684936595,60,7,0.8955223880597014
bugless_message_keyword_implement,96,[0],0.027590632017965994,0.026138493490704625,0.013694004018708947,1399,235,0.8561811505507956
bugless_message_keyword_improv,97,[0],0.02676325076406126,0.025412424227073942,0.01563581716562822,1261,324,0.795583596214511
bugless_message_keyword_includ,98,[0],0.01303547608192763,0.012765310774530166,0.009118079124664403,580,192,0.7512953367875648
bugless_message_keyword_info,99,[0],0.007851679246238792,0.007665940597403036,0.004660351552606251,428,37,0.9204301075268817
bugless_message_keyword_intorduc,100,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_limit,101,[0],0.0037823143035644936,0.003697887645002786,0.002769194400824004,153,71,0.6830357142857143
bugless_message_keyword_log,102,[0],0.013525150701585532,0.01303547608192763,0.008881684480691623,614,187,0.766541822721598
bugless_message_keyword_migrat,103,[0],0.005656586123634399,0.0051162555088394715,0.0027860797325363457,287,48,0.8567164179104478
bugless_message_keyword_minim,104,[0],0.0011313172247268799,0.0011313172247268799,0.0006754132684936595,60,7,0.8955223880597014
bugless_message_keyword_modif,105,[0],0.0019924691420562957,0.0018742718200699053,0.0011482025564392212,97,21,0.8220338983050848
bugless_message_keyword_move,106,[0],0.028063421305911555,0.02583455751988248,0.015027945223983924,1423,239,0.8561973525872443
bugless_message_keyword_new,107,[0],0.04724515813113148,0.04586056093071948,0.025361768231936917,2507,291,0.8959971408148677
bugless_message_keyword_note,108,[0],0.008881684480691623,0.00874660182699289,0.006196916738429327,443,83,0.8422053231939164
bugless_message_keyword_opinion,109,[0],0.00011819732198639042,0.00011819732198639042,6.754132684936595e-05,6,1,0.8571428571428572
bugless_message_keyword_optim,110,[0],0.00601117808959357,0.0055721594650726914,0.0033939516741806394,288,68,0.8089887640449438
bugless_message_keyword_pass|test,111,[0],8.442665856170744e-05,8.442665856170744e-05,5.065599513702447e-05,5,0,1.0
bugless_message_keyword_perf|test,112,[0],0.0001350826536987319,0.0001350826536987319,8.442665856170744e-05,7,1,0.875
bugless_message_keyword_perfom|test,113,[],0.0,0.0,0.0,0,0,0.0
