,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.2792811770806326,0.26913728286232824,0.15165607985480944,24360,10110,0.7067014795474326
fine_grained_changes_transformer_80,1,"[0, 1]",0.1386764324604615,0.13280237231008557,0.09566210785584651,9943,7173,0.5809184388875905
fine_grained_changes_transformer_70,2,"[0, 1]",0.11478318641431164,0.10960591133004927,0.07761861550427794,7924,6243,0.5593280158113927
all_files_test_add,3,[0],0.010070974850920405,0.010054770547057298,0.0048126782473424945,994,249,0.7996781979082864
all_files_test_fix,4,[0],0.004845086855068706,0.0048369847031371534,0.002373930515945035,393,205,0.657190635451505
buggless_if_many_lines_changed,5,[],0.0,0.0,0.0,0,0,0.0
buggless_one_file,6,[0],0.6347630930775214,0.6025165283899404,0.3507340549649987,52639,25706,0.6718871657412726
bugless_if_at_least_2_removed_files,7,[0],0.00906630801140783,0.008515361680062224,0.0026088929219600728,1023,96,0.9142091152815013
bugless_if_at_least_5_added_files,8,[0],0.013190303344568317,0.01255023334197563,0.002301011148561058,1557,71,0.9563882063882063
bugless_if_many_files_changes,9,[0],0.003791807103966814,0.0037756028001037075,0.0005752527871402645,440,28,0.9401709401709402
bugless_if_not_code_files,10,[0],0.23260467980295566,0.22920987814363494,0.0909385532797511,22825,5884,0.7950468494200424
no_files_have_modified_status,11,[0],0.0753500129634431,0.0736404589058854,0.01604226082447498,8810,490,0.9473118279569892
refactoring_if_at_least_2_renamed,12,[0],0.0057849364791288565,0.005274500907441016,0.001628532538242157,636,78,0.8907563025210083
bug_message_keyword_bad,13,[1],0.002009333679025149,0.002009333679025149,0.0018878014000518538,234,14,0.9435483870967742
bug_message_keyword_broken,14,[1],0.0048288825512056,0.004788371791547835,0.004537205081669692,517,79,0.8674496644295302
bug_message_keyword_bug,15,[1],0.03276510241120042,0.03253824215711693,0.02926497277676951,3873,171,0.9577151335311573
bug_message_keyword_close,16,[1],0.039692442312678246,0.03908478091781177,0.036767565465387606,4155,744,0.8481322718922228
bug_message_keyword_concurr,17,[1],0.0005023334197562872,0.00048612911589318125,0.00046992481203007516,36,26,0.5806451612903226
bug_message_keyword_correct,18,[1],0.016779556650246306,0.016261018926626913,0.01528876069484055,1742,329,0.8411395461129889
bug_message_keyword_corrupt,19,[1],0.0005671506352087115,0.0005671506352087115,0.0005185377236193933,65,5,0.9285714285714286
bug_message_keyword_crash,20,[1],0.005315011667098781,0.005290705211304122,0.00490990407052113,640,16,0.975609756097561
bug_message_keyword_deadlock,21,[1],0.0003159839253305678,0.0003159839253305678,0.00029167746953590875,31,8,0.7948717948717949
bug_message_keyword_defect,22,[1],0.0005428441794140524,0.0004942312678247342,0.000388903292714545,64,3,0.9552238805970149
bug_message_keyword_disabl,23,[1],0.008993388644023853,0.008807039149598133,0.008426238008815142,752,358,0.6774774774774774
bug_message_keyword_endless,24,[1],0.00017014519056261342,0.00017014519056261342,0.0001620430386310604,15,6,0.7142857142857143
bug_message_keyword_ensur,25,[1],0.006554640912626393,0.006473619393310863,0.0061657376199118485,652,157,0.8059332509270705
bug_message_keyword_error,26,[1],0.029418913663469017,0.029111031890070003,0.026899144412756027,3389,242,0.9333516937482786
bug_message_keyword_except,27,[1],0.0063682914182006745,0.006254861291158932,0.005857855846512834,706,80,0.8982188295165394
bug_message_keyword_fail,28,[1],0.01634204044594244,0.016261018926626913,0.015685766139486648,1371,646,0.6797223599405057
bug_message_keyword_bugfix,29,[1],0.29026769509981853,0.2784871661913404,0.25986031890070005,31423,4403,0.8771004298554123
bug_message_keyword_garbag,30,[1],0.00017014519056261342,0.00017014519056261342,0.00017014519056261342,12,9,0.5714285714285714
bug_message_keyword_handl,31,[1],0.012712276380606688,0.012493518278454758,0.011626588021778584,1324,245,0.8438495857233907
bug_message_keyword_incomplet,32,[1],0.0005509463313456054,0.0005428441794140524,0.0005185377236193933,49,19,0.7205882352941176
bug_message_keyword_inconsist,33,[1],0.0005914570910033705,0.0005833549390718175,0.0005509463313456054,68,5,0.9315068493150684
bug_message_keyword_incorrect,34,[1],0.0032975758361420793,0.0032732693803474203,0.003103124189784807,393,14,0.9656019656019657
bug_message_keyword_infinit,35,[1],0.0007372958257713249,0.0007372958257713249,0.0006238656987295826,78,13,0.8571428571428572
bug_message_keyword_invalid,36,[1],0.0037431941923774955,0.0037026834327197303,0.003483925330567799,430,32,0.9307359307359307
bug_message_keyword_issue,37,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,38,[1],0.0015151024112004148,0.0014988981073373088,0.0013611615245009074,184,3,0.9839572192513368
bug_message_keyword_loop,39,[1],0.0022523982369717396,0.002236193933108634,0.0020903551983406793,189,89,0.6798561151079137
bug_message_keyword_minor,40,[1],0.007397264713507908,0.007089382940108893,0.00665186673580503,535,378,0.5859802847754655
bug_message_keyword_mistak,41,[1],0.0010694840549649988,0.0010694840549649988,0.0010613819030334457,68,64,0.5151515151515151
bug_message_keyword_npe,42,[1],0.0025683821623023076,0.0025683821623023076,0.0024630541871921183,316,1,0.9968454258675079
bug_message_keyword_not|work,43,[1],0.0025197692507129893,0.002487360642986777,0.0022118874773139744,303,8,0.9742765273311897
bug_message_keyword_not|return,44,[1],0.00033218822919367383,0.00033218822919367383,0.00028357531760435573,41,0,1.0
bug_message_keyword_of|bound,45,[1],0.00021065595022037853,0.00021065595022037853,0.0001944516463572725,26,0,1.0
bug_message_keyword_patch,46,[1],0.013093077521389681,0.012922932330827067,0.012428701063002333,910,706,0.5631188118811881
bug_message_keyword_prevent,47,[1],0.006497925849105523,0.006408802177858439,0.005971285973554576,656,146,0.8179551122194514
bug_message_keyword_problem,48,[1],0.007648431423386052,0.007624124967591392,0.007129893699766658,867,77,0.9184322033898304
bug_message_keyword_properli,49,[1],0.004342753435312419,0.004286038371791548,0.004026769509981851,504,32,0.9402985074626866
bug_message_keyword_race|condit,50,[1],0.0005833549390718175,0.0005833549390718175,0.0005671506352087115,70,2,0.9722222222222222
bug_message_keyword_repair,51,[1],0.00029977962146746177,0.00029977962146746177,0.00029167746953590875,35,2,0.9459459459459459
bug_message_keyword_resolv,52,[1],0.010395060928182525,0.010160098522167487,0.009422802696396162,967,316,0.7537022603273578
bug_message_keyword_threw,53,[1],0.002422543427534353,0.0024144412756028,0.0022199896292455275,255,44,0.8528428093645485
bug_message_keyword_timeout,54,[1],0.002398236971739694,0.002341521908218823,0.0022037853253824217,205,91,0.6925675675675675
bug_message_keyword_unabl,55,[1],0.0007453979777028779,0.0007453979777028779,0.0007048872180451127,86,6,0.9347826086956521
bug_message_keyword_unclos,56,[1],4.05107596577651e-05,4.05107596577651e-05,3.240860772621208e-05,5,0,1.0
bug_message_keyword_unexpect,57,[1],0.0006400700025926886,0.0006400700025926886,0.0005995592429349235,57,22,0.7215189873417721
bug_message_keyword_unknown,58,[1],0.001174812030075188,0.001166709878143635,0.001134301270417423,94,51,0.6482758620689655
bug_message_keyword_unsynchron,59,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,60,[1],0.005452748249935183,0.005396033186414312,0.00501523204563132,605,68,0.8989598811292719
bugless_message_keyword_abil,61,[0],0.0018310863365309825,0.0018148820326678765,0.001134301270417423,211,15,0.9336283185840708
bugless_message_keyword_ad,62,[0],0.06555451127819549,0.06228934404977962,0.02660746694322012,7074,1017,0.8743047830923247
bugless_message_keyword_add,63,[0],0.09612393051594503,0.0917325641690433,0.042147394347938814,10307,1557,0.8687626432906271
bugless_message_keyword_addit,64,[0],0.003289473684210526,0.0032408607726212083,0.0022523982369717396,320,86,0.7881773399014778
bugless_message_keyword_allow,65,[0],0.01303636245786881,0.012639357013222711,0.009082512315270935,1169,440,0.7265382224984462
bugless_message_keyword_analysi,66,[0],0.0008588281047446202,0.0008426238008815141,0.0006319678506611356,64,42,0.6037735849056604
bugless_message_keyword_avoid,67,[0],0.007194710915219082,0.007040770028519575,0.005695812807881773,484,404,0.545045045045045
bugless_message_keyword_baselin,68,[0],0.00013773658283640136,0.00013773658283640136,6.481721545242416e-05,15,2,0.8823529411764706
bugless_message_keyword_beautification,69,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_benchmark,70,[0],0.000761602281565984,0.0006076613948664765,0.0003645968369198859,84,10,0.8936170212765957
bugless_message_keyword_better,71,[0],0.005744425719471091,0.00560668913663469,0.003961952294529427,498,211,0.7023977433004231
bugless_message_keyword_bump,72,[0],0.016593207155820584,0.016261018926626913,0.005663404200155562,1991,57,0.97216796875
bugless_message_keyword_chang|log,73,[0],0.0005752527871402645,0.0005752527871402645,0.00018634949442571948,69,2,0.971830985915493
bugless_message_keyword_clean,74,[0],0.011002722323049002,0.010257324345346123,0.00576873217526575,1155,203,0.8505154639175257
bugless_message_keyword_comment,75,[0],0.009998055483536427,0.009779297381384496,0.00571201711174488,1000,234,0.8103727714748785
bugless_message_keyword_complet,76,[0],0.003483925330567799,0.0034029038112522686,0.0024711563391236714,287,143,0.6674418604651162
bugless_message_keyword_configur|chang,77,[0],3.240860772621208e-05,3.240860772621208e-05,2.4306455794659062e-05,4,0,1.0
bugless_message_keyword_consolid,78,[0],0.0002511667098781436,0.0002511667098781436,0.00010532797511018927,29,2,0.935483870967742
bugless_message_keyword_convert,79,[0],0.003159839253305678,0.0030302048224008296,0.0020579465906144672,269,121,0.6897435897435897
bugless_message_keyword_coverag,80,[0],0.0018067798807363236,0.0017419626652838995,0.0008507259528130671,206,17,0.9237668161434978
bugless_message_keyword_create,81,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_deprec,82,[0],0.003637866217267306,0.0035568446979517758,0.0022523982369717396,425,24,0.9465478841870825
bugless_message_keyword_develop,83,[0],0.008247990666320974,0.007786168006222453,0.0033704952035260565,866,152,0.8506876227897839
bugless_message_keyword_doc,84,[0],0.02834942960850402,0.028065854290899663,0.016852476017630284,2606,893,0.7447842240640183
bugless_message_keyword_drop,85,[0],0.0033137801400051855,0.003200350012963443,0.002017435830956702,308,101,0.7530562347188263
bugless_message_keyword_enhanc,86,[0],0.0020984573502722324,0.002082253046409126,0.0013125486129115893,207,52,0.7992277992277992
bugless_message_keyword_exampl,87,[0],0.008004926108374385,0.007883393829401088,0.004164506092818252,797,191,0.8066801619433198
bugless_message_keyword_exclud,88,[0],0.0016366346901737102,0.001579919626652839,0.0010370754472387865,154,48,0.7623762376237624
bugless_message_keyword_expand,89,[0],0.001644736842105263,0.0016366346901737102,0.0012072206378014,147,56,0.7241379310344828
bugless_message_keyword_extendgener,90,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_featur,91,[0],0.010986518019185897,0.010719147005444647,0.006959748509204044,970,386,0.7153392330383481
bugless_message_keyword_forget,92,[0],0.00045372050816696913,0.0004294140523723101,0.00025926886180969663,35,21,0.625
bugless_message_keyword_format,93,[0],0.0074296733212341195,0.007275732434534612,0.005071947109152191,607,310,0.6619411123227917
bugless_message_keyword_gitignor,94,[0],0.0029572854550168524,0.0029410811511537465,0.0006724786103189007,361,4,0.989041095890411
bugless_message_keyword_idea,95,[0],0.0009965646875810215,0.0009965646875810215,0.0005347420274824994,106,17,0.8617886178861789
bugless_message_keyword_implement,96,[0],0.008636893959035519,0.008199377754731656,0.004918006222452684,855,211,0.802063789868668
bugless_message_keyword_improv,97,[0],0.008653098262898626,0.008296603577910292,0.005088151413015297,841,227,0.7874531835205992
bugless_message_keyword_includ,98,[0],0.010216813585688359,0.009933238268084003,0.006635662431941924,958,303,0.7597145122918318
bugless_message_keyword_info,99,[0],0.0054689525537982885,0.005387931034482759,0.0029734897588799586,602,73,0.8918518518518519
bugless_message_keyword_intorduc,100,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_limit,101,[0],0.0030626134301270417,0.0029896940627430644,0.0021308659579984445,242,136,0.6402116402116402
bugless_message_keyword_log,102,[0],0.014413728286232823,0.01408154005703915,0.009722582317863625,1334,445,0.7498594716132658
bugless_message_keyword_migrat,103,[0],0.0036216619134042003,0.003451516722841587,0.0023172154524241637,328,119,0.7337807606263982
bugless_message_keyword_minim,104,[0],0.0005590484832771584,0.0005347420274824994,0.00028357531760435573,63,6,0.9130434782608696
bugless_message_keyword_modif,105,[0],0.0009398496240601503,0.0008912367124708322,0.0005509463313456054,89,27,0.7672413793103448
bugless_message_keyword_move,106,[0],0.01360351309307752,0.01244490536686544,0.006676173191599689,1404,275,0.836212030970816
bugless_message_keyword_new,107,[0],0.027190821882291938,0.026469730360383716,0.013595410941145969,3027,329,0.9019666269368296
bugless_message_keyword_note,108,[0],0.007016463572724916,0.006984054964998703,0.0033461887477313976,761,105,0.8787528868360277
bugless_message_keyword_opinion,109,[0],3.240860772621208e-05,3.240860772621208e-05,2.4306455794659062e-05,3,1,0.75
bugless_message_keyword_optim,110,[0],0.0026007907700285196,0.002487360642986777,0.001523204563131968,262,59,0.8161993769470405
bugless_message_keyword_pass|test,111,[0],0.00011343012704174228,0.00011343012704174228,4.8612911589318125e-05,14,0,1.0
bugless_message_keyword_perf|test,112,[0],3.240860772621208e-05,3.240860772621208e-05,1.620430386310604e-05,4,0,1.0
bugless_message_keyword_perfom|test,113,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_perform,114,[0],0.00233341975628727,0.0023172154524241637,0.0016933497536945814,214,74,0.7430555555555556
bugless_message_keyword_plugin,115,[0],0.009625356494684989,0.009430904848327716,0.004172608244749806,1004,184,0.8451178451178452
bugless_message_keyword_polish,116,[0],0.00029167746953590875,0.0002754731656728027,0.0001539408866995074,35,1,0.9722222222222222
bugless_message_keyword_possibl,117,[0],0.0040915867254342755,0.004010565206118745,0.0033866995073891628,287,218,0.5683168316831684
bugless_message_keyword_prepar,118,[0],0.005274500907441016,0.004982823437905108,0.0010613819030334457,637,14,0.978494623655914
bugless_message_keyword_propos,119,[0],0.0005590484832771584,0.0005590484832771584,0.0004456183562354161,45,24,0.6521739130434783
bugless_message_keyword_provid,120,[0],0.005290705211304122,0.005136764324604615,0.0036702748249935182,491,162,0.7519142419601837
bugless_message_keyword_publish,121,[0],0.0033380865957998444,0.0032489629245527614,0.0012720378532538243,335,77,0.8131067961165048
bugless_message_keyword_readm,122,[0],0.023091133004926108,0.023058724397199897,0.005663404200155562,2811,39,0.9863157894736843
bugless_message_keyword_reduc,123,[0],0.001960720767435831,0.0018796992481203006,0.0012882421571169303,182,60,0.7520661157024793
bugless_message_keyword_refactor,124,[0],0.007008361420793363,0.006530334456831734,0.003508231786362458,781,84,0.9028901734104047
bugless_message_keyword_refin,125,[0],0.0005428441794140524,0.0005266398755509464,0.0003564946849883329,46,21,0.6865671641791045
bugless_message_keyword_reformat,126,[0],0.00046182266009852215,0.00045372050816696913,0.00029167746953590875,56,1,0.9824561403508771
bugless_message_keyword_regress|test,127,[0],0.0006076613948664765,0.0006076613948664765,0.0005185377236193933,65,10,0.8666666666666667
bugless_message_keyword_reimplement,128,[0],0.00011343012704174228,0.00011343012704174228,5.671506352087114e-05,9,5,0.6428571428571428
bugless_message_keyword_release,129,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_remov,130,[0],0.0568609022556391,0.05415478351050039,0.030115698729582578,5632,1386,0.8025078369905956
bugless_message_keyword_renam,131,[0],0.008734119782214157,0.008013028260305937,0.0038080114078299196,1011,67,0.9378478664192951
bugless_message_keyword_reorgan,132,[0],0.00028357531760435573,0.0002754731656728027,0.00014583873476795437,33,2,0.9428571428571428
bugless_message_keyword_replac,133,[0],0.00683821623023075,0.0065951516722841585,0.004626328752916775,636,208,0.7535545023696683
bugless_message_keyword_restrict,134,[0],0.0010289732953072336,0.0010208711433756805,0.000802113041223749,78,49,0.6141732283464567
bugless_message_keyword_restructur,135,[0],0.0004294140523723101,0.000397005444646098,0.00025926886180969663,52,1,0.9811320754716981
bugless_message_keyword_review,136,[0],0.01188585688358828,0.011756222452683433,0.008175071298936997,1007,460,0.6864349011588275
bugless_message_keyword_rewrit,137,[0],0.0008588281047446202,0.0008102151931553021,0.0005914570910033705,85,21,0.8018867924528301
bugless_message_keyword_rid,138,[0],0.0010289732953072336,0.0009884625356494684,0.0005752527871402645,103,24,0.8110236220472441
bugless_message_keyword_set|up,139,[0],0.0009560539279232565,0.0009074410163339383,0.0005347420274824994,85,33,0.7203389830508474
bugless_message_keyword_simplif,140,[0],8.912367124708322e-05,8.912367124708322e-05,6.481721545242416e-05,9,2,0.8181818181818181
bugless_message_keyword_simplifi,141,[0],0.0021632745657246565,0.002017435830956702,0.0012315270935960591,249,18,0.9325842696629214
bugless_message_keyword_speedup,142,[0],0.00037269898885143897,0.00037269898885143897,0.00025926886180969663,33,13,0.717391304347826
bugless_message_keyword_stage,143,[0],0.0012315270935960591,0.001166709878143635,0.0008669302566761732,90,62,0.5921052631578947
bugless_message_keyword_stat,144,[0],0.0017338605133523464,0.0016852476017630283,0.0008426238008815141,154,60,0.719626168224299
bugless_message_keyword_statist,145,[0],0.00045372050816696913,0.0004375162043038631,0.0003078817733990148,31,25,0.5535714285714286
bugless_message_keyword_support,146,[0],0.01893472906403941,0.01848100855587244,0.011067539538501425,1974,363,0.8446726572528883
bugless_message_keyword_switch,147,[0],0.004869393310863365,0.004691145968369199,0.003200350012963443,466,135,0.7753743760399334
bugless_message_keyword_test,148,[0],0.06113883847549909,0.06006125226860254,0.03510662431941924,5711,1835,0.756824807845216
bugless_message_keyword_test|coverag,149,[0],0.0003645968369198859,0.0003645968369198859,0.00018634949442571948,44,1,0.9777777777777779
bugless_message_keyword_test|pass,150,[0],0.00034839253305677986,0.00034839253305677986,0.00017014519056261342,42,1,0.9767441860465116
bugless_message_keyword_todo,151,[0],0.0020336401348198083,0.002017435830956702,0.0007453979777028779,240,11,0.9561752988047809
bugless_message_keyword_tweak,152,[0],0.0029977962146746175,0.00276283380865958,0.0013611615245009074,341,29,0.9216216216216216
bugless_message_keyword_unit,153,[0],0.005152968628467721,0.005104355716878403,0.00354064039408867,498,138,0.7830188679245282
bugless_message_keyword_unnecessari,154,[0],0.003143634949442572,0.003143634949442572,0.001952618615504278,357,31,0.9201030927835052
bugless_message_keyword_updat,155,[0],0.11902061187451388,0.11501814882032668,0.036062678247342494,13968,722,0.9508509189925118
bugless_message_keyword_upgrad,156,[0],0.005460850401866736,0.005169172932330827,0.0025602800103707544,556,118,0.8249258160237389
bugless_message_keyword_version,157,[0],0.038558141042260824,0.03790996888773658,0.015005185377236194,4517,242,0.9491489808783358
bugless_issue_body_keyword_abil,158,[0],0.001644736842105263,0.001628532538242157,0.0014907959554057559,117,86,0.5763546798029556
bugless_issue_body_keyword_ad,159,[0],0.02283186414311641,0.0227994555353902,0.020741508944775732,1392,1426,0.49396735273243436
bugless_issue_body_keyword_add,160,[0],0.03353480684469795,0.033461887477313976,0.030358763287529168,2058,2081,0.49722155109929933
bugless_issue_body_keyword_addit,161,[0],0.009090614467202489,0.009074410163339383,0.008677404718693285,528,594,0.47058823529411764
bugless_issue_body_keyword_allow,162,[0],0.010662431941923775,0.010654329789992222,0.009422802696396162,684,632,0.5197568389057751
bugless_issue_body_keyword_analysi,163,[0],0.0013206507648431424,0.0013206507648431424,0.0012477313974591652,63,100,0.38650306748466257
bugless_issue_body_keyword_avoid,164,[0],0.004893699766658024,0.004885597614726471,0.004529102929738138,290,314,0.48013245033112584
bugless_issue_body_keyword_baselin,165,[0],0.00017014519056261342,0.00017014519056261342,0.00014583873476795437,10,11,0.47619047619047616
bugless_issue_body_keyword_beautification,166,[],0.0,0.0,0.0,0,0,0.0
