,j,Polarity,Coverage,Overlaps,Conflicts
fine_grained_changes_transformer_90,0,"[0, 1]",0.2645978307883513,0.24994661834029577,0.13378812682387337
fine_grained_changes_transformer_80,1,"[0, 1]",0.12584384085147854,0.11879198672849814,0.08117844804458874
fine_grained_changes_transformer_70,2,"[0, 1]",0.10782000251851932,0.10154012932049253,0.06824092374908977
all_files_test_add,3,[0],0.0074460571484886145,0.0074351070644467195,0.0034876017673435645
all_files_test_fix,4,[0],0.004560710003449276,0.004549759919407381,0.002107891178064792
buggless_if_many_lines_changed,5,[0],0.05081386499641385,0.04836652121305031,0.020931085646082332
buggless_one_file,6,[0],0.47720466254578503,0.45190996840900755,0.25690539674892005
bugless_if_at_least_2_removed_files,7,[0],0.021993243798146152,0.02122126287319255,0.006789052105974913
bugless_if_at_least_5_added_files,8,[0],0.0332006548150257,0.03217682195710852,0.008174237737274633
bugless_if_many_files_changes,9,[0],0.05272465466172453,0.05167892163572355,0.016868604466539282
bugless_if_not_code_files,10,[0],0.1932087578772167,0.1896226053534961,0.07395139257693803
no_files_have_modified_status,11,[0],0.05449856827651152,0.0533433344100916,0.011212886058900503
refactoring_if_at_least_2_renamed,12,[0],0.014246059338505423,0.013698555136410672,0.004215782356129584
bug_message_keyword_bad,13,[1],0.0021681166402952143,0.002140741430190477,0.002025765547750579
bug_message_keyword_broken,14,[1],0.005069888911397395,0.00501513849118792,0.004735911348119597
bug_message_keyword_bug,15,[1],0.03567537380849398,0.035308545993090495,0.03185926951989357
bug_message_keyword_close,16,[1],0.04293527952827038,0.04221257398150531,0.03979260540824651
bug_message_keyword_concurr,17,[1],0.0006022546223042261,0.0005913045382623312,0.0005639293281575936
bug_message_keyword_correct,18,[1],0.01788696228243552,0.017273757576089396,0.01625539976019316
bug_message_keyword_corrupt,19,[1],0.0005913045382623312,0.0005913045382623312,0.0005365541180528561
bug_message_keyword_crash,20,[1],0.004987763281083182,0.004965863112999392,0.004577135129512119
