,j,Polarity,Coverage,Overlaps,Conflicts
fine_grained_changes_transformer_90,0,"[0, 1]",0.2664575586095392,0.2526176232821342,0.13111721907841553
fine_grained_changes_transformer_80,1,"[0, 1]",0.12648666127728375,0.1197413096200485,0.08080194017784964
fine_grained_changes_transformer_70,2,"[0, 1]",0.10825545675020211,0.10217623282134196,0.06781568310428455
all_files_test_add,3,[0],0.00832336297493937,0.008316895715440581,0.003828617623282134
all_files_test_fix,4,[0],0.004966855295068714,0.00495392077607114,0.0022376717865804367
buggless_if_many_lines_changed,5,[0],0.04336944219886823,0.041177041228779306,0.018185933710590137
buggless_one_file,6,[0],0.49602586903799517,0.46919967663702505,0.2566273241713824
bugless_if_at_least_2_removed_files,7,[0],0.018845594179466452,0.01817946645109135,0.005762328213419564
bugless_if_at_least_5_added_files,8,[0],0.02861115602263541,0.02776394502829426,0.006758286176232821
bugless_if_many_files_changes,9,[0],0.044818108326596606,0.04397736459175424,0.013936944219886824
bugless_if_not_code_files,10,[0],0.20144866612772838,0.1980016168148747,0.07287954729183509
no_files_have_modified_status,11,[0],0.05868391269199676,0.05746160064672595,0.01176394502829426
refactoring_if_at_least_2_renamed,12,[0],0.012481810832659661,0.01191269199676637,0.003544058205335489
bug_message_keyword_bad,13,[1],0.002276475343573161,0.002244139046079224,0.0021406628940986256
bug_message_keyword_broken,14,[1],0.004869846402586904,0.004811641067097817,0.004533548908649959
bug_message_keyword_bug,15,[1],0.031295068714632175,0.030971705739692806,0.027531123686337915
bug_message_keyword_close,16,[1],0.04657073565076799,0.045833468067906225,0.04326596604688763
bug_message_keyword_concurr,17,[1],0.0005949878738884397,0.000582053354890865,0.000549717057396928
bug_message_keyword_correct,18,[1],0.018871463217461602,0.01817946645109135,0.017125303152789005
bug_message_keyword_corrupt,19,[1],0.0006143896523848019,0.0006143896523848019,0.0005626515763945028
bug_message_keyword_crash,20,[1],0.005018593371059013,0.004999191592562652,0.004604688763136621
bug_message_keyword_deadlock,21,[1],0.00038156831042845593,0.00038156831042845593,0.0003556992724333064
bug_message_keyword_defect,22,[1],0.000116410670978173,0.00010994341147938561,9.054163298302344e-05
bug_message_keyword_disabl,23,[1],0.009144704931285368,0.008970088924818109,0.008646725949878739
bug_message_keyword_endless,24,[1],0.00018755052546483427,0.00018755052546483427,0.00016814874696847212
bug_message_keyword_ensur,25,[1],0.007172190784155214,0.007081649151172191,0.006803556992724333
bug_message_keyword_error,26,[1],0.029924009700889247,0.02954244139046079,0.027421180274858528
bug_message_keyword_except,27,[1],0.006907033144704931,0.0067841552142279705,0.006402586903799515
bug_message_keyword_fail,28,[1],0.015786580436540017,0.015637833468067908,0.015075181891673404
bug_message_keyword_bugfix,29,[1],0.27269846402586906,0.2593435731608731,0.2424122877930477
bug_message_keyword_garbag,30,[1],0.00023928860145513338,0.00023928860145513338,0.00021988682295877123
bug_message_keyword_handl,31,[1],0.016685529506871462,0.01627162489894907,0.015340339531123686
bug_message_keyword_incomplet,32,[1],0.000847210994341148,0.0008342764753435732,0.0008084074373484236
bug_message_keyword_inconsist,33,[1],0.0007113985448666128,0.0007049312853678254,0.0006596604688763137
bug_message_keyword_incorrect,34,[1],0.003337105901374293,0.003311236863379143,0.003143088116410671
bug_message_keyword_infinit,35,[1],0.0008730800323362975,0.0008730800323362975,0.0007696038803556993
bug_message_keyword_invalid,36,[1],0.0039062247372675827,0.003860953920776071,0.0036669361358124494
bug_message_keyword_issue,37,[],0.0,0.0,0.0
bug_message_keyword_leak,38,[1],0.0015909458367016976,0.0015715440582053355,0.0014292643492320129
bug_message_keyword_loop,39,[1],0.002955537590945837,0.002942603071948262,0.002761519805982215
bug_message_keyword_minor,40,[1],0.008562651576394503,0.008239288601455133,0.00782538399353274
bug_message_keyword_mistak,41,[1],0.0012675828617623281,0.0012675828617623281,0.0012611156022635408
bug_message_keyword_npe,42,[1],0.0023346806790622474,0.0023217461600646724,0.002211802748585287
bug_message_keyword_not|work,43,[1],0.0028585286984640257,0.002826192400970089,0.002515763945028294
bug_message_keyword_not|return,44,[1],0.00037510105092966855,0.00037510105092966855,0.00032983023443815685
bug_message_keyword_of|bound,45,[1],0.00020695230396119643,0.00020695230396119643,0.00018755052546483427
bug_message_keyword_patch,46,[1],0.010664510913500404,0.010425222312045271,0.009991915925626515
bug_message_keyword_prevent,47,[1],0.006913500404203719,0.006829426030719483,0.006421988682295877
bug_message_keyword_problem,48,[1],0.008808407437348424,0.008737267582861762,0.008129345189975748
bug_message_keyword_properli,49,[1],0.0057817299919159255,0.005678253839935327,0.005341956345998383
bug_message_keyword_race|condit,50,[1],0.0007178658043654002,0.0007178658043654002,0.0007049312853678254
bug_message_keyword_repair,51,[1],0.0002457558609539208,0.0002457558609539208,0.000232821341956346
bug_message_keyword_resolv,52,[1],0.012119644300727567,0.011776879547291836,0.011078415521422797
bug_message_keyword_threw,53,[1],0.0032336297493936943,0.0032206952303961197,0.00304607922392886
bug_message_keyword_timeout,54,[1],0.002515763945028294,0.002464025869037995,0.00232821341956346
bug_message_keyword_unabl,55,[1],0.0008084074373484236,0.0007954729183508488,0.0007372675828617623
bug_message_keyword_unclos,56,[1],5.173807599029911e-05,5.173807599029911e-05,4.527081649151172e-05
bug_message_keyword_unexpect,57,[1],0.0006725949878738885,0.0006725949878738885,0.0006273241713823767
bug_message_keyword_unknown,58,[1],0.0015198059822150365,0.001513338722716249,0.0014616006467259499
bug_message_keyword_unsynchron,59,[],0.0,0.0,0.0
bug_message_keyword_wrong,60,[1],0.005510105092966855,0.005445432497978981,0.005128536782538399
bugless_message_keyword_abil,61,[0],0.0031236863379143086,0.0030848827809215845,0.0018043654001616814
bugless_message_keyword_ad,62,[0],0.07657235246564269,0.07239450282942603,0.031417946645109135
bugless_message_keyword_add,63,[0],0.10385772029102668,0.09874211802748585,0.04601455133387227
bugless_message_keyword_addit,64,[0],0.005037995149555376,0.004979789814066289,0.003408245755860954
bugless_message_keyword_allow,65,[0],0.016614389652384803,0.016,0.011181891673403395
bugless_message_keyword_analysi,66,[0],0.0011059013742926436,0.0010735650767987066,0.0007308003233629749
bugless_message_keyword_avoid,67,[0],0.008109943411479385,0.007915925626515764,0.006312045270816491
bugless_message_keyword_baselin,68,[0],0.00014874696847210994,0.00014227970897332255,5.82053354890865e-05
bugless_message_keyword_beautification,69,[],0.0,0.0,0.0
bugless_message_keyword_benchmark,70,[0],0.0009377526273241714,0.000814874696847211,0.00048504446240905415
bugless_message_keyword_better,71,[0],0.008077607113985448,0.007838318512530315,0.005503637833468068
bugless_message_keyword_bump,72,[0],0.014706548100242522,0.014383185125303153,0.004734033953112369
bugless_message_keyword_chang|log,73,[0],0.0004915117219078416,0.0004915117219078416,0.0001746160064672595
bugless_message_keyword_clean,74,[0],0.01639450282942603,0.015004042037186742,0.008161681487469685
bugless_message_keyword_comment,75,[0],0.011835084882780922,0.011563459983831851,0.00698464025869038
bugless_message_keyword_complet,76,[0],0.005335489086499595,0.0051479385610347615,0.003337105901374293
bugless_message_keyword_configur|chang,77,[0],7.113985448666128e-05,7.113985448666128e-05,4.527081649151172e-05
bugless_message_keyword_consolid,78,[0],0.000465642683912692,0.00043330638641875507,0.00021341956345998384
bugless_message_keyword_convert,79,[0],0.004378334680679062,0.004139046079223929,0.002606305578011318
bugless_message_keyword_coverag,80,[0],0.0023346806790622474,0.002276475343573161,0.0012611156022635408
bugless_message_keyword_create,81,[],0.0,0.0,0.0
bugless_message_keyword_deprec,82,[0],0.0041455133387227165,0.00406143896523848,0.0025675020210185933
bugless_message_keyword_develop,83,[0],0.004695230396119644,0.004617623282134196,0.0020048504446240904
bugless_message_keyword_doc,84,[0],0.030700080840743736,0.030350848827809217,0.01706709781729992
bugless_message_keyword_drop,85,[0],0.003964430072756669,0.003776879547291835,0.002392886014551334
bugless_message_keyword_enhanc,86,[0],0.003007275666936136,0.002955537590945837,0.001810832659660469
bugless_message_keyword_exampl,87,[0],0.009649151172190784,0.009526273241713824,0.005438965238480194
bugless_message_keyword_exclud,88,[0],0.0017073565076798707,0.001662085691188359,0.00116410670978173
bugless_message_keyword_expand,89,[0],0.0021535974130962006,0.002134195634599838,0.0015909458367016976
bugless_message_keyword_extendgener,90,[],0.0,0.0,0.0
bugless_message_keyword_featur,91,[0],0.007295068714632175,0.0071139854486661274,0.004223120452708165
bugless_message_keyword_forget,92,[0],0.000465642683912692,0.00043977364591754245,0.0002910266774454325
bugless_message_keyword_format,93,[0],0.009267582861762328,0.00898949070331447,0.0061762328213419565
bugless_message_keyword_gitignor,94,[0],0.0026709781729991914,0.002658043654001617,0.0008278092158447857
bugless_message_keyword_idea,95,[0],0.0011253031527890056,0.0011123686337914309,0.0006337914308811641
bugless_message_keyword_implement,96,[0],0.01592239288601455,0.015049312853678254,0.008245755860953921
bugless_message_keyword_improv,97,[0],0.01498464025869038,0.01426677445432498,0.008698464025869037
bugless_message_keyword_includ,98,[0],0.011304769603880356,0.011000808407437349,0.007275666936135812
bugless_message_keyword_info,99,[0],0.0064801940177849635,0.006350848827809216,0.003524656426839127
bugless_message_keyword_intorduc,100,[],0.0,0.0,0.0
bugless_message_keyword_limit,101,[0],0.0034017784963621665,0.0033177041228779304,0.002341147938561035
bugless_message_keyword_log,102,[0],0.014493128536782538,0.01409215844785772,0.009383993532740501
bugless_message_keyword_migrat,103,[0],0.0044494745351657235,0.004126111560226354,0.0025222312045270817
bugless_message_keyword_minim,104,[0],0.0007890056588520614,0.0007696038803556993,0.00043330638641875507
bugless_message_keyword_modif,105,[0],0.001396928051738076,0.0013193209377526274,0.0008084074373484236
bugless_message_keyword_move,106,[0],0.01986095392077607,0.018160064672594987,0.009966046887631367
bugless_message_keyword_new,107,[0],0.03541471301535974,0.03439935327405012,0.017940177849636217
bugless_message_keyword_note,108,[0],0.00829749393694422,0.008226354082457558,0.004552950687146322
bugless_message_keyword_opinion,109,[0],7.113985448666128e-05,7.113985448666128e-05,4.527081649151172e-05
bugless_message_keyword_optim,110,[0],0.003951495553759094,0.0037316087308003234,0.0022829426030719483
bugless_message_keyword_pass|test,111,[0],0.000116410670978173,0.000116410670978173,5.82053354890865e-05
bugless_message_keyword_perf|test,112,[0],6.467259498787389e-05,6.467259498787389e-05,3.2336297493936946e-05
bugless_message_keyword_perfom|test,113,[],0.0,0.0,0.0
bugless_message_keyword_perform,114,[0],0.003531123686337914,0.0034729183508488276,0.0025545675020210187
bugless_message_keyword_plugin,115,[0],0.010043654001616815,0.009843168957154405,0.004274858528698464
bugless_message_keyword_polish,116,[0],0.0005367825383993533,0.0005238480194017785,0.0002522231204527082
bugless_message_keyword_possibl,117,[0],0.006046887631366208,0.005936944219886823,0.0047534357316087305
bugless_message_keyword_prepar,118,[0],0.006202101859337106,0.005904607922392886,0.0016814874696847212
bugless_message_keyword_propos,119,[0],0.0008213419563459983,0.000814874696847211,0.0006337914308811641
bugless_message_keyword_provid,120,[0],0.00757962813257882,0.00737914308811641,0.005367825383993533
bugless_message_keyword_publish,121,[0],0.0036992724333063864,0.0035699272433306387,0.0013904607922392885
bugless_message_keyword_readm,122,[0],0.019906224737267584,0.01986095392077607,0.004294260307194826
bugless_message_keyword_reduc,123,[0],0.002658043654001617,0.0025351657235246562,0.0017267582861762328
bugless_message_keyword_refactor,124,[0],0.01565076798706548,0.014357316087308003,0.007857720291026677
bugless_message_keyword_refin,125,[0],0.0009765561843168957,0.0009506871463217461,0.0006273241713823767
bugless_message_keyword_reformat,126,[0],0.000931285367825384,0.0009054163298302344,0.0005691188358932902
bugless_message_keyword_regress|test,127,[0],0.0007502021018593371,0.0007502021018593371,0.0006531932093775263
bugless_message_keyword_reimplement,128,[0],0.00041390460792239286,0.00041390460792239286,0.00018755052546483427
bugless_message_keyword_release,129,[],0.0,0.0,0.0
bugless_message_keyword_remov,130,[0],0.06032659660468876,0.057196443007275666,0.03229749393694422
bugless_message_keyword_renam,131,[0],0.011440582053354891,0.010483427647534358,0.005225545675020211
bugless_message_keyword_reorgan,132,[0],0.0006402586903799514,0.0005949878738884397,0.0002522231204527082
bugless_message_keyword_replac,133,[0],0.009403395311236863,0.008983023443815684,0.006059822150363783
bugless_message_keyword_restrict,134,[0],0.0012029102667744543,0.0011899757477768795,0.0009248181083265966
bugless_message_keyword_restructur,135,[0],0.0008730800323362975,0.000847210994341148,0.0005561843168957154
bugless_message_keyword_review,136,[0],0.010075990299110752,0.009869037995149555,0.005988682295877122
bugless_message_keyword_rewrit,137,[0],0.001765561843168957,0.0016556184316895714,0.0010735650767987066
bugless_message_keyword_rid,138,[0],0.0015327405012126112,0.0014551333872271624,0.0008019401778496362
bugless_message_keyword_set|up,139,[0],0.0011576394502829427,0.0011123686337914309,0.0006725949878738885
bugless_message_keyword_simplif,140,[0],0.00020695230396119643,0.00020048504446240904,0.00012934518997574778
bugless_message_keyword_simplifi,141,[0],0.004029102667744543,0.0037316087308003234,0.0023217461600646724
bugless_message_keyword_speedup,142,[0],0.0005303152789005659,0.0005238480194017785,0.00032336297493936947
bugless_message_keyword_stage,143,[0],0.0013387227162489895,0.0013063864187550526,0.0009506871463217461
bugless_message_keyword_stat,144,[0],0.001978981406628941,0.0019207760711398545,0.000814874696847211
bugless_message_keyword_statist,145,[0],0.0005691188358932902,0.0005561843168957154,0.0003621665319320938
bugless_message_keyword_support,146,[0],0.02731770412287793,0.026470493128536783,0.014848827809215846
bugless_message_keyword_switch,147,[0],0.006402586903799515,0.006124494745351657,0.004048504446240905
bugless_message_keyword_test,148,[0],0.07067421180274859,0.06901859337105902,0.03987712206952304
bugless_message_keyword_test|coverag,149,[0],0.0005691188358932902,0.0005691188358932902,0.00033629749393694424
bugless_message_keyword_test|pass,150,[0],0.0005691188358932902,0.0005691188358932902,0.00030396119644300726
bugless_message_keyword_todo,151,[0],0.002412287793047696,0.002392886014551334,0.0011059013742926436
bugless_message_keyword_tweak,152,[0],0.0036798706548100244,0.0034341147938561035,0.0018172999191592562
bugless_message_keyword_unit,153,[0],0.0064672594987873885,0.006396119644300728,0.004203718674211803
bugless_message_keyword_unnecessari,154,[0],0.00378981406628941,0.003776879547291835,0.002528698464025869
bugless_message_keyword_updat,155,[0],0.12407437348423606,0.11868714632174616,0.037975747776879544
bugless_message_keyword_upgrad,156,[0],0.006460792239288602,0.006059822150363783,0.0031236863379143086
bugless_message_keyword_version,157,[0],0.03648827809215845,0.03573160873080032,0.014169765561843168
bugless_issue_body_keyword_abil,158,[0],0.0019660468876313664,0.0019272433306386418,0.001662085691188359
bugless_issue_body_keyword_ad,159,[0],0.024161681487469683,0.024155214227970897,0.02211802748585287
bugless_issue_body_keyword_add,160,[0],0.033248181083265965,0.03318350848827809,0.029936944219886824
bugless_issue_body_keyword_addit,161,[0],0.009319320937752628,0.009306386418755053,0.008834276475343574
bugless_issue_body_keyword_allow,162,[0],0.011375909458367016,0.011356507679870655,0.009875505254648342
bugless_issue_body_keyword_analysi,163,[0],0.0014810024252223121,0.0014810024252223121,0.001364591754244139
bugless_issue_body_keyword_avoid,164,[0],0.005018593371059013,0.005012126111560227,0.004649959579628132
bugless_issue_body_keyword_baselin,165,[0],0.0001228779304769604,0.0001228779304769604,0.00010994341147938561
bugless_issue_body_keyword_beautification,166,[],0.0,0.0,0.0
bugless_issue_body_keyword_benchmark,167,[0],0.0006079223928860145,0.0006079223928860145,0.0005755860953920776
bugless_issue_body_keyword_better,168,[0],0.0038027485852869846,0.003796281325788197,0.0035505254648342767
bugless_issue_body_keyword_bump,169,[0],0.0010800323362974938,0.0010800323362974938,0.000995957962813258
bugless_issue_body_keyword_chang|log,170,[0],5.82053354890865e-05,5.82053354890865e-05,5.82053354890865e-05
bugless_issue_body_keyword_clean,171,[0],0.004714632174616006,0.004714632174616006,0.004514147130153598
bugless_issue_body_keyword_comment,172,[0],0.009002425222312045,0.009002425222312045,0.008517380759902991
bugless_issue_body_keyword_complet,173,[0],0.00832336297493937,0.00832336297493937,0.007902991107518189
bugless_issue_body_keyword_configur|chang,174,[0],3.880355699272433e-05,3.880355699272433e-05,3.880355699272433e-05
bugless_issue_body_keyword_consolid,175,[0],0.000232821341956346,0.000232821341956346,0.00016814874696847212
bugless_issue_body_keyword_convert,176,[0],0.0031560226354082456,0.003130153597413096,0.0029361358124494743
bugless_issue_body_keyword_coverag,177,[0],0.0021600646725949877,0.0021600646725949877,0.002127728375101051
bugless_issue_body_keyword_create,178,[],0.0,0.0,0.0
bugless_issue_body_keyword_deprec,179,[0],0.0028843977364591752,0.002877930476960388,0.0024187550525464835
bugless_issue_body_keyword_develop,180,[0],0.009894907033144705,0.009869037995149555,0.009060630557801132
bugless_issue_body_keyword_doc,181,[0],0.02717542441390461,0.027156022635408245,0.02535812449474535
bugless_issue_body_keyword_drop,182,[0],0.0032400970088924817,0.0032206952303961197,0.0028585286984640257
bugless_issue_body_keyword_enhanc,183,[0],0.013005658852061439,0.013005658852061439,0.012863379143088117
bugless_issue_body_keyword_exampl,184,[0],0.0275375909458367,0.027479385610347615,0.025442198868229588
bugless_issue_body_keyword_exclud,185,[0],0.0012611156022635408,0.0012611156022635408,0.0011511721907841552
bugless_issue_body_keyword_expand,186,[0],0.001830234438156831,0.001810832659660469,0.0016103476151980598
bugless_issue_body_keyword_extendgener,187,[],0.0,0.0,0.0
bugless_issue_body_keyword_featur,188,[0],0.0181535974130962,0.01812772837510105,0.01718350848827809
bugless_issue_body_keyword_forget,189,[0],0.00047857720291026676,0.00047857720291026676,0.0004074373484236055
bugless_issue_body_keyword_format,190,[0],0.011233629749393695,0.011227162489894906,0.010819725141471302
bugless_issue_body_keyword_gitignor,191,[0],0.000232821341956346,0.000232821341956346,0.00021341956345998384
bugless_issue_body_keyword_idea,192,[0],0.005225545675020211,0.005225545675020211,0.005031527890056588
bugless_issue_body_keyword_implement,193,[0],0.012397736459175425,0.012371867421180275,0.010884397736459175
bugless_issue_body_keyword_improv,194,[0],0.004216653193209377,0.004216653193209377,0.003945028294260307
bugless_issue_body_keyword_includ,195,[0],0.0173322554567502,0.017319320937752628,0.01636863379143088
bugless_issue_body_keyword_info,196,[0],0.0116410670978173,0.0116410670978173,0.010877930476960389
bugless_issue_body_keyword_intorduc,197,[],0.0,0.0,0.0
bugless_issue_body_keyword_limit,198,[0],0.004740501212611156,0.004714632174616006,0.004184316895715441
bugless_issue_body_keyword_log,199,[0],0.01634923201293452,0.01634923201293452,0.015566693613581244
bugless_issue_body_keyword_migrat,200,[0],0.005639450282942603,0.005639450282942603,0.005341956345998383
bugless_issue_body_keyword_minim,201,[0],0.00525141471301536,0.00525141471301536,0.005199676637025061
bugless_issue_body_keyword_modif,202,[0],0.0008924818108326597,0.0008924818108326597,0.0008666127728375101
bugless_issue_body_keyword_move,203,[0],0.007223928860145513,0.007210994341147939,0.006454324979789814
bugless_issue_body_keyword_new,204,[0],0.044145513338722714,0.04406790622473727,0.04024575586095392
bugless_issue_body_keyword_note,205,[0],0.011110751818916733,0.011104284559417947,0.010211802748585286
bugless_issue_body_keyword_opinion,206,[0],0.0003621665319320938,0.0003621665319320938,0.00031689571544058203
bugless_issue_body_keyword_optim,207,[0],0.0017332255456750203,0.0017332255456750203,0.0016362166531932094
bugless_issue_body_keyword_pass|test,208,[0],0.0003427647534357316,0.0003427647534357316,0.00032983023443815685
bugless_issue_body_keyword_perf|test,209,[0],1.2934518997574777e-05,1.2934518997574777e-05,1.2934518997574777e-05
bugless_issue_body_keyword_perfom|test,210,[],0.0,0.0,0.0
bugless_issue_body_keyword_perform,211,[0],0.005652384801940178,0.005652384801940178,0.005283751010509296
bugless_issue_body_keyword_plugin,212,[0],0.010457558609539208,0.010457558609539208,0.009603880355699273
bugless_issue_body_keyword_polish,213,[0],0.00016814874696847212,0.00016814874696847212,0.00015521422797089732
bugless_issue_body_keyword_possibl,214,[0],0.01399514955537591,0.013982215036378335,0.012915117219078415
bugless_issue_body_keyword_prepar,215,[0],0.0013387227162489895,0.0013387227162489895,0.0012740501212611156
bugless_issue_body_keyword_propos,216,[0],0.004546483427647534,0.004546483427647534,0.0041455133387227165
bugless_issue_body_keyword_provid,217,[0],0.014706548100242522,0.014674211802748586,0.013303152789005658
bugless_issue_body_keyword_publish,218,[0],0.003576394502829426,0.003563459983831851,0.003291835084882781
bugless_issue_body_keyword_readm,219,[0],0.00203071948261924,0.00203071948261924,0.0018755052546483427
bugless_issue_body_keyword_reduc,220,[0],0.0016362166531932094,0.0016362166531932094,0.0015198059822150365
bugless_issue_body_keyword_refactor,221,[0],0.006279708973322555,0.006279708973322555,0.006066289409862571
bugless_issue_body_keyword_refin,222,[0],0.0006467259498787389,0.0006467259498787389,0.0006143896523848019
bugless_issue_body_keyword_reformat,223,[0],0.00014874696847210994,0.00014874696847210994,0.00012934518997574778
bugless_issue_body_keyword_regress|test,224,[0],0.0002522231204527082,0.0002522231204527082,0.0002457558609539208
bugless_issue_body_keyword_reimplement,225,[0],0.0002910266774454325,0.0002910266774454325,0.00014227970897332255
bugless_issue_body_keyword_release,226,[],0.0,0.0,0.0
bugless_issue_body_keyword_remov,227,[0],0.021729991915925628,0.0216911883589329,0.019776879547291834
