,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
all_files_test_add,0,[0],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
all_files_test_fix,1,[0],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
buggless_if_many_lines_changed,2,[0],0.12790697674418605,0.12579281183932348,0.0412262156448203,92,29,0.7603305785123967
buggless_one_file,3,[0],0.3287526427061311,0.30761099365750527,0.2156448202959831,154,157,0.49517684887459806
bugless_if_at_least_2_removed_files,4,[0],0.012684989429175475,0.012684989429175475,0.003171247357293869,9,3,0.75
bugless_if_at_least_5_added_files,5,[0],0.035940803382663845,0.03488372093023256,0.011627906976744186,26,8,0.7647058823529411
bugless_if_many_files_changes,6,[0],0.07188160676532769,0.0708245243128964,0.022198731501057084,55,13,0.8088235294117647
bugless_if_not_code_files,7,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,8,[],0.0,0.0,0.0,0,0,0.0
refactoring_if_at_least_2_renamed,9,[0],0.016913319238900635,0.016913319238900635,0.0021141649048625794,16,0,1.0
fine_grained_changes_transformer_70,10,"[0, 1]",0.10570824524312897,0.09725158562367865,0.06342494714587738,66,34,0.66
fine_grained_changes_transformer_80,11,"[0, 1]",0.13847780126849896,0.12579281183932348,0.07610993657505286,88,43,0.6717557251908397
fine_grained_changes_transformer_90,12,"[0, 1]",0.1733615221987315,0.1553911205073996,0.08139534883720931,120,44,0.7317073170731707
bug_issue_body_keyword_bad,13,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_broken,14,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bug,15,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_close,16,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_correct,17,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_corrupt,18,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_crash,19,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_defect,20,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_disabl,21,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_endless,22,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_ensur,23,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_error,24,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_except,25,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_fail,26,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bugfix,27,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_garbag,28,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_handl,29,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incomplet,30,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_inconsist,31,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incorrect,32,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_infinit,33,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_invalid,34,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_issue,35,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_leak,36,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_loop,37,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_minor,38,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_mistak,39,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_npe,40,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|work,41,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|return,42,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_of|bound,43,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_patch,44,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_prevent,45,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_problem,46,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_properli,47,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_repair,48,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_resolv,49,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_threw,50,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_timeout,51,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unabl,52,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unclos,53,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unexpect,54,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unknown,55,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unsynchron,56,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_wrong,57,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_bug,58,[],0.0,0.0,0.0,0,0,0.0
