,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.20153550863723607,0.1765834932821497,0.0710172744721689,80,25,0.7619047619047619
fine_grained_changes_transformer_80,1,"[0, 1]",0.1036468330134357,0.08445297504798464,0.030710172744721688,37,17,0.6851851851851851
fine_grained_changes_transformer_70,2,"[0, 1]",0.08061420345489444,0.07869481765834933,0.036468330134357005,31,11,0.7380952380952381
all_files_test_add,3,[],0.0,0.0,0.0,0,0,0.0
all_files_test_fix,4,[],0.0,0.0,0.0,0,0,0.0
buggless_if_many_lines_changed,5,[0],0.23224568138195778,0.22840690978886757,0.07485604606525911,92,29,0.7603305785123967
buggless_one_file,6,[0],0.09596928982725528,0.08445297504798464,0.03262955854126679,36,14,0.72
bugless_if_at_least_2_removed_files,7,[0],0.023032629558541268,0.023032629558541268,0.005758157389635317,9,3,0.75
bugless_if_at_least_5_added_files,8,[0],0.06525911708253358,0.06333973128598848,0.02111324376199616,26,8,0.7647058823529411
bugless_if_many_files_changes,9,[0],0.13051823416506717,0.12859884836852206,0.04030710172744722,55,13,0.8088235294117647
bugless_if_not_code_files,10,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,11,[],0.0,0.0,0.0,0,0,0.0
refactoring_if_at_least_2_renamed,12,[0],0.030710172744721688,0.030710172744721688,0.003838771593090211,16,0,1.0
bug_message_keyword_bad,13,[1],0.003838771593090211,0.003838771593090211,0.0019193857965451055,2,0,1.0
bug_message_keyword_broken,14,[1],0.009596928982725527,0.009596928982725527,0.007677543186180422,4,1,0.8
bug_message_keyword_bug,15,[1],0.03262955854126679,0.030710172744721688,0.023032629558541268,17,0,1.0
bug_message_keyword_close,16,[1],0.05566218809980806,0.053742802303262956,0.053742802303262956,10,19,0.3448275862068966
bug_message_keyword_concurr,17,[1],0.007677543186180422,0.007677543186180422,0.007677543186180422,2,2,0.5
bug_message_keyword_correct,18,[1],0.009596928982725527,0.009596928982725527,0.007677543186180422,4,1,0.8
bug_message_keyword_corrupt,19,[1],0.0019193857965451055,0.0019193857965451055,0.0019193857965451055,0,1,0.0
bug_message_keyword_crash,20,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_deadlock,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,22,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,23,[1],0.003838771593090211,0.003838771593090211,0.003838771593090211,1,1,0.5
bug_message_keyword_endless,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,25,[1],0.005758157389635317,0.005758157389635317,0.003838771593090211,3,0,1.0
bug_message_keyword_error,26,[1],0.019193857965451054,0.01727447216890595,0.013435700575815739,5,5,0.5
bug_message_keyword_except,27,[1],0.02111324376199616,0.02111324376199616,0.019193857965451054,7,4,0.6363636363636364
bug_message_keyword_fail,28,[1],0.026871401151631478,0.026871401151631478,0.019193857965451054,10,4,0.7142857142857143
