,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
all_files_test_add,0,[0],0.001748931208705791,0.001748931208705791,0.0013602798289933929,4,5,0.4444444444444444
all_files_test_fix,1,[0],0.000388651379712398,0.000388651379712398,0.000194325689856199,2,0,1.0
buggless_if_many_lines_changed,2,[0],0.1710066070734551,0.16245627671978236,0.0394481150408084,787,93,0.8943181818181818
buggless_one_file,3,[0],0.31305868635833656,0.2833268558103381,0.2065682083171395,844,767,0.5238981998758535
bugless_if_at_least_2_removed_files,4,[0],0.022736105713175282,0.021958802953750484,0.003692188107267781,108,9,0.9230769230769231
bugless_if_at_least_5_added_files,5,[0],0.04003109211037699,0.04003109211037699,0.006024096385542169,198,8,0.9611650485436893
bugless_if_many_files_changes,6,[0],0.10085503303536728,0.09891177613680528,0.01554605518849592,491,28,0.9460500963391136
bugless_if_not_code_files,7,[0],0.017877963466770307,0.016906335017489314,0.006218422075398368,67,25,0.7282608695652174
no_files_have_modified_status,8,[0],0.02118150019432569,0.02118150019432569,0.00388651379712398,93,16,0.8532110091743119
refactoring_if_at_least_2_renamed,9,[0],0.02098717450446949,0.02098717450446949,0.002137582588418189,104,4,0.962962962962963
fine_grained_changes_transformer_70,10,"[0, 1]",0.09444228527011271,0.08802953750485815,0.05266226195102992,319,167,0.6563786008230452
fine_grained_changes_transformer_80,11,"[0, 1]",0.11931597357170617,0.10746210649047803,0.06937427127866304,421,193,0.6856677524429967
fine_grained_changes_transformer_90,12,"[0, 1]",0.21686746987951808,0.1931597357170618,0.09191605130198212,820,296,0.7347670250896057
bug_issue_body_keyword_bad,13,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_broken,14,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bug,15,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_close,16,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_correct,17,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_corrupt,18,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_crash,19,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_defect,20,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_disabl,21,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_endless,22,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_ensur,23,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_error,24,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_except,25,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_fail,26,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bugfix,27,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_garbag,28,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_handl,29,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incomplet,30,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_inconsist,31,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incorrect,32,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_infinit,33,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_invalid,34,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_issue,35,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_leak,36,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_loop,37,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_minor,38,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_mistak,39,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_npe,40,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|work,41,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|return,42,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_of|bound,43,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_patch,44,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_prevent,45,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_problem,46,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_properli,47,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_repair,48,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_resolv,49,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_threw,50,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_timeout,51,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unabl,52,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unclos,53,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unexpect,54,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unknown,55,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unsynchron,56,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_wrong,57,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_bug,58,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fixed,59,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fix,60,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_error,61,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bad,62,[1],0.00388651379712398,0.00388651379712398,0.003303536727555383,13,7,0.65
bug_message_keyword_broken,63,[1],0.004275165176836378,0.004080839486980179,0.003692188107267781,14,8,0.6363636363636364
bug_message_keyword_bug,64,[1],0.1352506801399145,0.1344733773804897,0.11290322580645161,380,316,0.5459770114942528
bug_message_keyword_close,65,[1],0.016906335017489314,0.014768752429071124,0.013019821220365333,58,29,0.6666666666666666
bug_message_keyword_correct,66,[1],0.01729498639720171,0.01671200932763311,0.014185775359502526,57,32,0.6404494382022472
bug_message_keyword_corrupt,67,[1],0.004858142246404975,0.004663816556548776,0.003497862417411582,20,5,0.8
bug_message_keyword_crash,68,[1],0.001165954139137194,0.001165954139137194,0.000971628449280995,5,1,0.8333333333333333
bug_message_keyword_defect,69,[1],0.000194325689856199,0.000194325689856199,0.000194325689856199,1,0,1.0
bug_message_keyword_disabl,70,[1],0.005635445005829771,0.005052467936261173,0.005052467936261173,12,17,0.41379310344827586
bug_message_keyword_endless,71,[1],0.000971628449280995,0.000971628449280995,0.000777302759424796,5,0,1.0
bug_message_keyword_ensur,72,[1],0.003109211037699184,0.0027205596579867857,0.002137582588418189,11,5,0.6875
bug_message_keyword_error,73,[1],0.017100660707345512,0.01671200932763311,0.015157403808783521,42,46,0.4772727272727273
