,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.22012578616352202,0.20125786163522014,0.09433962264150944,30,5,0.8571428571428572
fine_grained_changes_transformer_80,1,"[0, 1]",0.1320754716981132,0.11949685534591195,0.06918238993710692,11,10,0.5238095238095238
fine_grained_changes_transformer_70,2,"[0, 1]",0.1320754716981132,0.11949685534591195,0.08176100628930817,14,7,0.6666666666666666
all_files_test_add,3,[0],0.006289308176100629,0.006289308176100629,0.0,1,0,1.0
all_files_test_fix,4,[0],0.006289308176100629,0.006289308176100629,0.006289308176100629,1,0,1.0
buggless_if_many_lines_changed,5,[0],0.27044025157232704,0.2578616352201258,0.11320754716981132,35,8,0.813953488372093
buggless_one_file,6,[0],0.11320754716981132,0.1069182389937107,0.06289308176100629,16,2,0.8888888888888888
bugless_if_at_least_2_removed_files,7,[0],0.03773584905660377,0.03773584905660377,0.006289308176100629,5,1,0.8333333333333333
bugless_if_at_least_5_added_files,8,[0],0.05660377358490566,0.05660377358490566,0.031446540880503145,8,1,0.8888888888888888
bugless_if_many_files_changes,9,[0],0.10062893081761007,0.10062893081761007,0.0440251572327044,15,1,0.9375
bugless_if_not_code_files,10,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,11,[0],0.03773584905660377,0.03773584905660377,0.0,6,0,1.0
refactoring_if_at_least_2_renamed,12,[0],0.018867924528301886,0.018867924528301886,0.006289308176100629,3,0,1.0
bug_message_keyword_bad,13,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,14,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,15,[1],0.05660377358490566,0.05660377358490566,0.03773584905660377,8,1,0.8888888888888888
bug_message_keyword_close,16,[1],0.031446540880503145,0.031446540880503145,0.031446540880503145,2,3,0.4
bug_message_keyword_concurr,17,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,18,[1],0.012578616352201259,0.012578616352201259,0.006289308176100629,1,1,0.5
bug_message_keyword_corrupt,19,[1],0.006289308176100629,0.006289308176100629,0.006289308176100629,1,0,1.0
bug_message_keyword_crash,20,[1],0.006289308176100629,0.006289308176100629,0.006289308176100629,0,1,0.0
bug_message_keyword_deadlock,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,22,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,23,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_endless,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,25,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_error,26,[1],0.050314465408805034,0.0440251572327044,0.0440251572327044,1,7,0.125
bug_message_keyword_except,27,[1],0.012578616352201259,0.012578616352201259,0.012578616352201259,2,0,1.0
bug_message_keyword_fail,28,[1],0.012578616352201259,0.012578616352201259,0.006289308176100629,2,0,1.0
bug_message_keyword_bugfix,29,[1],0.3081761006289308,0.2830188679245283,0.2389937106918239,34,15,0.6938775510204082
