,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.37823834196891193,0.37305699481865284,0.2694300518134715,44,29,0.6027397260273972
fine_grained_changes_transformer_80,1,"[0, 1]",0.12953367875647667,0.12953367875647667,0.11398963730569948,17,8,0.6799999999999999
fine_grained_changes_transformer_70,2,"[0, 1]",0.13471502590673576,0.12953367875647667,0.11917098445595854,15,11,0.5769230769230769
all_files_test_add,3,[0],0.02072538860103627,0.02072538860103627,0.0051813471502590676,4,0,1.0
all_files_test_fix,4,[0],0.0051813471502590676,0.0051813471502590676,0.0,1,0,1.0
buggless_if_many_lines_changed,5,[],0.0,0.0,0.0,0,0,0.0
buggless_one_file,6,[0],0.5906735751295337,0.5595854922279793,0.45595854922279794,59,55,0.5175438596491229
bugless_if_at_least_2_removed_files,7,[],0.0,0.0,0.0,0,0,0.0
bugless_if_at_least_5_added_files,8,[],0.0,0.0,0.0,0,0,0.0
bugless_if_many_files_changes,9,[],0.0,0.0,0.0,0,0,0.0
bugless_if_not_code_files,10,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,11,[0],0.010362694300518135,0.010362694300518135,0.0051813471502590676,2,0,1.0
refactoring_if_at_least_2_renamed,12,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bad,13,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,14,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,15,[1],0.06735751295336788,0.06735751295336788,0.06217616580310881,10,3,0.7692307692307692
bug_message_keyword_close,16,[1],0.05699481865284974,0.05699481865284974,0.05699481865284974,6,5,0.5454545454545454
bug_message_keyword_concurr,17,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,18,[1],0.02072538860103627,0.02072538860103627,0.02072538860103627,3,1,0.75
bug_message_keyword_corrupt,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_crash,20,[1],0.025906735751295335,0.025906735751295335,0.02072538860103627,4,1,0.8
bug_message_keyword_deadlock,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,22,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,23,[1],0.010362694300518135,0.010362694300518135,0.0051813471502590676,1,1,0.5
bug_message_keyword_endless,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,25,[1],0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,0,1,0.0
bug_message_keyword_error,26,[1],0.06217616580310881,0.06217616580310881,0.046632124352331605,10,2,0.8333333333333333
bug_message_keyword_except,27,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_fail,28,[1],0.031088082901554404,0.031088082901554404,0.031088082901554404,3,3,0.5
bug_message_keyword_bugfix,29,[1],0.46113989637305697,0.44559585492227977,0.37823834196891193,75,14,0.8426966292134832
bug_message_keyword_garbag,30,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,31,[1],0.02072538860103627,0.02072538860103627,0.02072538860103627,3,1,0.75
bug_message_keyword_incomplet,32,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,33,[1],0.0051813471502590676,0.0051813471502590676,0.0,1,0,1.0
bug_message_keyword_incorrect,34,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_infinit,35,[1],0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,1,0,1.0
bug_message_keyword_invalid,36,[1],0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,1,0,1.0
bug_message_keyword_issue,37,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,38,[1],0.03626943005181347,0.03626943005181347,0.02072538860103627,7,0,1.0
bug_message_keyword_loop,39,[1],0.010362694300518135,0.010362694300518135,0.010362694300518135,2,0,1.0
bug_message_keyword_minor,40,[1],0.015544041450777202,0.015544041450777202,0.015544041450777202,1,2,0.33333333333333337
bug_message_keyword_mistak,41,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,42,[1],0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,1,0,1.0
bug_message_keyword_not|work,43,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|return,44,[1],0.0051813471502590676,0.0051813471502590676,0.0,1,0,1.0
bug_message_keyword_of|bound,45,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,46,[1],0.015544041450777202,0.015544041450777202,0.015544041450777202,2,1,0.6666666666666666
bug_message_keyword_prevent,47,[1],0.010362694300518135,0.010362694300518135,0.010362694300518135,2,0,1.0
bug_message_keyword_problem,48,[1],0.03626943005181347,0.03626943005181347,0.025906735751295335,6,1,0.8571428571428572
bug_message_keyword_properli,49,[1],0.02072538860103627,0.02072538860103627,0.015544041450777202,4,0,1.0
bug_message_keyword_race|condit,50,[1],0.015544041450777202,0.015544041450777202,0.015544041450777202,3,0,1.0
bug_message_keyword_repair,51,[1],0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,1,0,1.0
bug_message_keyword_resolv,52,[1],0.02072538860103627,0.02072538860103627,0.015544041450777202,1,3,0.25
bug_message_keyword_threw,53,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_timeout,54,[1],0.02072538860103627,0.02072538860103627,0.02072538860103627,3,1,0.75
bug_message_keyword_unabl,55,[1],0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,0,1,0.0
bug_message_keyword_unclos,56,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unexpect,57,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unknown,58,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unsynchron,59,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,60,[1],0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,1,0,1.0
bugless_message_keyword_abil,61,[0],0.031088082901554404,0.031088082901554404,0.025906735751295335,4,2,0.6666666666666666
bugless_message_keyword_ad,62,[0],0.05181347150259067,0.046632124352331605,0.04145077720207254,7,3,0.7
bugless_message_keyword_add,63,[0],0.11398963730569948,0.10880829015544041,0.07253886010362694,15,7,0.6818181818181819
bugless_message_keyword_addit,64,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_allow,65,[0],0.015544041450777202,0.015544041450777202,0.015544041450777202,2,1,0.6666666666666666
bugless_message_keyword_analysi,66,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_avoid,67,[0],0.015544041450777202,0.015544041450777202,0.015544041450777202,0,3,0.0
bugless_message_keyword_baselin,68,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_beautification,69,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_benchmark,70,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_better,71,[0],0.010362694300518135,0.010362694300518135,0.010362694300518135,2,0,1.0
