,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.23399692686962836,0.20508923897809972,0.08023909629704676,10522,3336,0.7592726223120219
fine_grained_changes_transformer_80,1,"[0, 1]",0.0991000118197322,0.08736470627965487,0.043682353139827435,3896,1973,0.6638268870335662
fine_grained_changes_transformer_70,2,"[0, 1]",0.09330834304239907,0.08229910676595242,0.04212890262229201,3627,1899,0.6563517915309446
all_files_test_add,3,[0],0.001975583810343954,0.001975583810343954,0.00042213329280853723,108,9,0.9230769230769231
all_files_test_fix,4,[0],0.0039680529524002495,0.003951167620687908,0.0013170558735626362,183,52,0.7787234042553192
buggless_if_many_lines_changed,5,[0],0.15671276362224135,0.1481012444489472,0.054269456123465544,7384,1897,0.7956039219911648
buggless_one_file,6,[0],0.14884419904429022,0.1358087229623626,0.052428954966820325,6628,2187,0.7519001701644923
bugless_if_at_least_2_removed_files,7,[0],0.048933691302365634,0.04749843810681661,0.012376948145146312,2523,375,0.870600414078675
bugless_if_at_least_5_added_files,8,[0],0.07490333147594684,0.07262381169478074,0.01588909714131334,3963,473,0.8933724075743914
bugless_if_many_files_changes,9,[0],0.15470340914847272,0.15092109484490823,0.04163922800263411,7805,1357,0.8518882340100415
bugless_if_not_code_files,10,[0],0.111105482667207,0.10637758978775139,0.032402951555983314,5330,1250,0.8100303951367781
no_files_have_modified_status,11,[0],0.011043006939871335,0.011043006939871335,0.0009118079124664405,628,26,0.9602446483180428
refactoring_if_at_least_2_renamed,12,[0],0.03187950627290073,0.031102781014133024,0.0077334819242524016,1653,235,0.8755296610169492
bug_message_keyword_bad,13,[1],0.00249902909342654,0.002414602434864833,0.002279519781166101,126,22,0.8513513513513513
bug_message_keyword_broken,14,[1],0.0055721594650726914,0.005470847474798642,0.004930516860003715,213,117,0.6454545454545455
bug_message_keyword_bug,15,[1],0.04174053999290816,0.040811846748729376,0.03476689799571112,2129,343,0.8612459546925566
bug_message_keyword_close,16,[1],0.049693531229421,0.0480218833898992,0.04310825186160782,2160,783,0.7339449541284404
bug_message_keyword_concurr,17,[1],0.0008104959221923915,0.0008104959221923915,0.0007091839319183426,26,22,0.5416666666666666
bug_message_keyword_correct,18,[1],0.02019485672796042,0.01916485149350759,0.01727369434172534,836,360,0.6989966555183946
bug_message_keyword_corrupt,19,[1],0.0006416426050689766,0.0006416426050689766,0.0005234452830825861,35,3,0.9210526315789473
bug_message_keyword_crash,20,[1],0.00430575958664708,0.004238218259797714,0.0036134609864410788,235,20,0.9215686274509804
bug_message_keyword_deadlock,21,[1],0.0005234452830825861,0.0005065599513702447,0.0004727892879455617,20,11,0.6451612903225806
bug_message_keyword_defect,22,[1],0.0007091839319183426,0.0005572159465072692,0.0004559039562332202,39,3,0.9285714285714286
bug_message_keyword_disabl,23,[1],0.008577748509869476,0.008307583202472012,0.007885449909663476,219,289,0.4311023622047244
bug_message_keyword_endless,24,[1],0.00023639464397278085,0.00021950931226043935,0.00016885331712341488,11,3,0.7857142857142857
bug_message_keyword_ensur,25,[1],0.0077334819242524016,0.00748020194856728,0.006720362021511913,320,138,0.6986899563318777
bug_message_keyword_error,26,[1],0.03062999172618746,0.029684413150296338,0.02644242946152677,1418,396,0.7816979051819184
bug_message_keyword_except,27,[1],0.007581513938841328,0.007362004626580889,0.00658527936781318,328,121,0.7305122494432071
bug_message_keyword_fail,28,[1],0.015500734511929487,0.01496040389713456,0.014031710652955777,557,361,0.6067538126361656
bug_message_keyword_bugfix,29,[1],0.2657920064839674,0.231852489742161,0.20900663593536295,12435,3306,0.7899752239374881
bug_message_keyword_garbag,30,[1],0.00037147729767151276,0.00037147729767151276,0.0003208213025344883,11,11,0.5
bug_message_keyword_handl,31,[1],0.023403069753305302,0.02255880316768823,0.02041436604022086,968,418,0.6984126984126984
