,j,Polarity,Coverage,Overlaps,Conflicts
all_files_test_add,0,[0],0.0074460571484886145,0.007429632022425772,0.0019764901695620515
all_files_test_fix,1,[0],0.004560710003449276,0.004549759919407381,0.0018560392451012061
buggless_if_many_lines_changed,2,[0],0.05081386499641385,0.048021593565730616,0.0175967850553253
buggless_one_file,3,[0],0.47720466254578503,0.44714120680876224,0.23913888539094538
bugless_if_at_least_2_removed_files,4,[0],0.021993243798146152,0.021100811948731705,0.005546217567219828
bugless_if_at_least_5_added_files,5,[0],0.0332006548150257,0.03199614557041725,0.006498874878864695
bugless_if_many_files_changes,6,[0],0.05272465466172453,0.05148729516499039,0.013851856312997202
bugless_if_not_code_files,7,[0],0.1932087578772167,0.1891846019918203,0.06648343526036563
no_files_have_modified_status,8,[0],0.05449856827651152,0.053299534073924015,0.01018357815896237
refactoring_if_at_least_2_renamed,9,[0],0.014246059338505423,0.013621904548117406,0.003504026893406407
fine_grained_changes_transformer_70,10,"[0, 1]",0.10782000251851932,0.09999069242856438,0.06281515710633079
fine_grained_changes_transformer_80,11,"[0, 1]",0.12584384085147854,0.11717137429029768,0.07449889677903278
fine_grained_changes_transformer_90,12,"[0, 1]",0.2645978307883513,0.24696819548090032,0.11982676967045722
bug_message_keyword_bad,13,[1],0.0021681166402952143,0.002140741430190477,0.001981965211582999
bug_message_keyword_broken,14,[1],0.005069888911397395,0.004982288239062235,0.0045114346252607485
bug_message_keyword_bug,15,[1],0.03567537380849398,0.035155244816503964,0.029899204476394357
bug_message_keyword_close,16,[1],0.04293527952827038,0.04158294414909634,0.03699485893554233
bug_message_keyword_concurr,17,[1],0.0006022546223042261,0.0005913045382623312,0.0005365541180528561
bug_message_keyword_correct,18,[1],0.01788696228243552,0.017125931441523815,0.015494368919281456
bug_message_keyword_corrupt,19,[1],0.0005913045382623312,0.0005913045382623312,0.0005091789079481185
bug_message_keyword_crash,20,[1],0.004987763281083182,0.004943962944915602,0.004226732440171479
bug_message_keyword_deadlock,21,[1],0.00038325294146632574,0.00037230285742443075,0.00032850252125685066
bug_message_keyword_defect,22,[1],0.0005967795802832786,0.0004982288239062235,0.0003942030255082208
bug_message_keyword_disabl,23,[1],0.008858617989893073,0.008590340930866644,0.008053786812813789
bug_message_keyword_endless,24,[1],0.00019162647073316287,0.00018615142871221537,0.00016425126062842533
bug_message_keyword_ensur,25,[1],0.006936878240540496,0.006723351601723543,0.006132047063461212
bug_message_keyword_error,26,[1],0.029811603804059197,0.029154598761545494,0.02575459766653709
bug_message_keyword_except,27,[1],0.006761676895870176,0.0065372001730113274,0.005798069500183414
bug_message_keyword_fail,28,[1],0.016069248331480945,0.015751695894265987,0.014793563540600175
bug_message_keyword_bugfix,29,[1],0.2823314918942003,0.25673019540424974,0.23116174916642485
bug_message_keyword_garbag,30,[1],0.00023542680690074295,0.00023542680690074295,0.0002135266388169529
bug_message_keyword_handl,31,[1],0.016178749171899893,0.01568599539001462,0.01401063253160468
bug_message_keyword_incomplet,32,[1],0.000750080756869809,0.0007336556308069664,0.0007008053786812814
bug_message_keyword_inconsist,33,[1],0.0007227055467650714,0.0007008053786812814,0.0006186797483670687
bug_message_keyword_incorrect,34,[1],0.003279550170547559,0.0031864744561914513,0.0027813213466413357
bug_message_keyword_infinit,35,[1],0.0008157812611211791,0.0008157812611211791,0.0006843802526184388
bug_message_keyword_invalid,36,[1],0.00387085470880989,0.0037777789944537826,0.0033726258849036666
bug_message_keyword_issue,37,[],0.0,0.0,0.0
