,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
all_files_test_add,0,[0],0.001748931208705791,0.001748931208705791,0.0013602798289933929,4,5,0.4444444444444444
all_files_test_fix,1,[0],0.000388651379712398,0.000388651379712398,0.000194325689856199,2,0,1.0
buggless_if_many_lines_changed,2,[0],0.1710066070734551,0.16245627671978236,0.0394481150408084,787,93,0.8943181818181818
buggless_one_file,3,[0],0.31305868635833656,0.2833268558103381,0.2065682083171395,844,767,0.5238981998758535
bugless_if_at_least_2_removed_files,4,[0],0.022736105713175282,0.021958802953750484,0.003692188107267781,108,9,0.9230769230769231
bugless_if_at_least_5_added_files,5,[0],0.04003109211037699,0.04003109211037699,0.006024096385542169,198,8,0.9611650485436893
bugless_if_many_files_changes,6,[0],0.10085503303536728,0.09891177613680528,0.01554605518849592,491,28,0.9460500963391136
bugless_if_not_code_files,7,[0],0.017877963466770307,0.016906335017489314,0.006218422075398368,67,25,0.7282608695652174
no_files_have_modified_status,8,[0],0.02118150019432569,0.02118150019432569,0.00388651379712398,93,16,0.8532110091743119
refactoring_if_at_least_2_renamed,9,[0],0.02098717450446949,0.02098717450446949,0.002137582588418189,104,4,0.962962962962963
fine_grained_changes_transformer_70,10,"[0, 1]",0.09444228527011271,0.08802953750485815,0.05266226195102992,319,167,0.6563786008230452
fine_grained_changes_transformer_80,11,"[0, 1]",0.11931597357170617,0.10746210649047803,0.06937427127866304,421,193,0.6856677524429967
fine_grained_changes_transformer_90,12,"[0, 1]",0.21686746987951808,0.1931597357170618,0.09191605130198212,820,296,0.7347670250896057
bug_message_keyword_bad,13,[1],0.00388651379712398,0.00388651379712398,0.003303536727555383,13,7,0.65
bug_message_keyword_broken,14,[1],0.004275165176836378,0.004080839486980179,0.003692188107267781,14,8,0.6363636363636364
bug_message_keyword_bug,15,[1],0.1352506801399145,0.1344733773804897,0.11290322580645161,380,316,0.5459770114942528
bug_message_keyword_close,16,[1],0.016906335017489314,0.014768752429071124,0.013019821220365333,58,29,0.6666666666666666
bug_message_keyword_correct,17,[1],0.01729498639720171,0.01671200932763311,0.014185775359502526,57,32,0.6404494382022472
bug_message_keyword_corrupt,18,[1],0.004858142246404975,0.004663816556548776,0.003497862417411582,20,5,0.8
bug_message_keyword_crash,19,[1],0.001165954139137194,0.001165954139137194,0.000971628449280995,5,1,0.8333333333333333
bug_message_keyword_defect,20,[1],0.000194325689856199,0.000194325689856199,0.000194325689856199,1,0,1.0
bug_message_keyword_disabl,21,[1],0.005635445005829771,0.005052467936261173,0.005052467936261173,12,17,0.41379310344827586
bug_message_keyword_endless,22,[1],0.000971628449280995,0.000971628449280995,0.000777302759424796,5,0,1.0
bug_message_keyword_ensur,23,[1],0.003109211037699184,0.0027205596579867857,0.002137582588418189,11,5,0.6875
bug_message_keyword_error,24,[1],0.017100660707345512,0.01671200932763311,0.015157403808783521,42,46,0.4772727272727273
bug_message_keyword_except,25,[1],0.028371550719005052,0.02701127089001166,0.023707734162456275,80,66,0.547945205479452
bug_message_keyword_fail,26,[1],0.04391760590750097,0.04061406917994559,0.0388651379712398,131,95,0.5796460176991151
bug_message_keyword_bugfix,27,[1],0.22172561212592304,0.20520792848814615,0.1737271667314419,664,477,0.581945661700263
bug_message_keyword_garbag,28,[1],0.003303536727555383,0.0029148853478429848,0.002331908278274388,9,8,0.5294117647058824
bug_message_keyword_handl,29,[1],0.020792848814613293,0.019626894675476098,0.01671200932763311,51,56,0.4766355140186916
bug_message_keyword_incomplet,30,[1],0.0013602798289933929,0.0013602798289933929,0.001165954139137194,4,3,0.5714285714285714
bug_message_keyword_inconsist,31,[1],0.004663816556548776,0.00388651379712398,0.003692188107267781,18,6,0.75
bug_message_keyword_incorrect,32,[1],0.009133307423241352,0.00777302759424796,0.006801399144966964,32,15,0.6808510638297872
bug_message_keyword_infinit,33,[1],0.0025262339681305867,0.0025262339681305867,0.001554605518849592,10,3,0.7692307692307692
bug_message_keyword_invalid,34,[1],0.006607073455110766,0.006218422075398368,0.005246793626117373,26,8,0.7647058823529411
bug_message_keyword_issue,35,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,36,[1],0.00388651379712398,0.003303536727555383,0.0027205596579867857,15,5,0.75
bug_message_keyword_loop,37,[1],0.006218422075398368,0.0058297706956859695,0.004469490866692577,23,9,0.71875
bug_message_keyword_minor,38,[1],0.007384376214535562,0.007384376214535562,0.007384376214535562,14,24,0.368421052631579
bug_message_keyword_mistak,39,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,40,[1],0.013019821220365333,0.012436844150796735,0.010299261562378547,62,5,0.9253731343283582
bug_message_keyword_not|work,41,[1],0.0058297706956859695,0.005441119315973571,0.004663816556548776,23,7,0.7666666666666666
bug_message_keyword_not|return,42,[1],0.00194325689856199,0.001554605518849592,0.001165954139137194,9,1,0.9
bug_message_keyword_of|bound,43,[1],0.000194325689856199,0.000194325689856199,0.000194325689856199,1,0,1.0
bug_message_keyword_patch,44,[1],0.07112320248736884,0.06859696851923824,0.06432180334240187,129,237,0.3524590163934426
bug_message_keyword_prevent,45,[1],0.009521958802953751,0.009133307423241352,0.006995724834823164,31,18,0.6326530612244898
bug_message_keyword_problem,46,[1],0.012048192771084338,0.011853867081228138,0.010687912942090944,41,21,0.6612903225806451
bug_message_keyword_properli,47,[1],0.008356004663816556,0.007967353284104159,0.006801399144966964,28,15,0.6511627906976745
bug_message_keyword_repair,48,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_resolv,49,[1],0.006995724834823164,0.006607073455110766,0.006024096385542169,13,23,0.3611111111111111
bug_message_keyword_threw,50,[1],0.026039642440730666,0.023319082782743878,0.019821220365332296,95,39,0.708955223880597
bug_message_keyword_timeout,51,[1],0.003109211037699184,0.0027205596579867857,0.002137582588418189,8,8,0.5
bug_message_keyword_unabl,52,[1],0.000971628449280995,0.000971628449280995,0.000971628449280995,5,0,1.0
bug_message_keyword_unclos,53,[1],0.000971628449280995,0.000971628449280995,0.000777302759424796,2,3,0.4
bug_message_keyword_unexpect,54,[1],0.001554605518849592,0.001554605518849592,0.0013602798289933929,5,3,0.625
bug_message_keyword_unknown,55,[1],0.000777302759424796,0.000777302759424796,0.000777302759424796,0,4,0.0
bug_message_keyword_unsynchron,56,[1],0.000582977069568597,0.000582977069568597,0.000582977069568597,3,0,1.0
bug_message_keyword_wrong,57,[1],0.009521958802953751,0.008938981733385153,0.0075787019043917605,39,10,0.7959183673469388
bugless_message_keyword_abil,58,[0],0.00194325689856199,0.00194325689856199,0.000194325689856199,9,1,0.9
bugless_message_keyword_ad,59,[0],0.04586086280606296,0.04411193159735717,0.017100660707345512,172,64,0.728813559322034
bugless_message_keyword_add,60,[0],0.10493587252234746,0.09696851923824329,0.030314807617567042,459,81,0.85
