,j,Polarity,Coverage,Overlaps,Conflicts
all_files_test_add,0,[0],0.01075,0.0106,0.00455
all_files_test_fix,1,[0],0.01175,0.0117,0.0061
buggless_if_many_lines_changed,2,[0],0.0849,0.07755,0.0177
buggless_one_file,3,[0],0.4733,0.39605,0.1782
bugless_if_at_least_2_removed_files,4,[0],0.0174,0.0167,0.002
bugless_if_at_least_5_added_files,5,[0],0.018,0.0178,0.0024
bugless_if_many_files_changes,6,[0],0.05095,0.0485,0.01095
bugless_if_not_code_files,7,[0],0.084,0.07965,0.0195
no_files_have_modified_status,8,[0],0.0301,0.02985,0.00405
refactoring_if_at_least_2_renamed,9,[0],0.01025,0.0099,0.0018
fine_grained_changes_transformer_70,10,[],0.0,0.0,0.0
fine_grained_changes_transformer_80,11,[],0.0,0.0,0.0
fine_grained_changes_transformer_90,12,[],0.0,0.0,0.0
bug_message_keyword_bad,13,[1],0.00205,0.00205,0.0018
bug_message_keyword_broken,14,[1],0.00675,0.00635,0.00575
bug_message_keyword_bug,15,[1],0.0642,0.063,0.05155
bug_message_keyword_close,16,[1],0.01565,0.01415,0.01245
bug_message_keyword_correct,17,[1],0.029,0.0267,0.02345
bug_message_keyword_corrupt,18,[1],0.00105,0.00085,0.00075
bug_message_keyword_crash,19,[1],0.0006,0.0005,0.0004
bug_message_keyword_defect,20,[],0.0,0.0,0.0
bug_message_keyword_disabl,21,[1],0.00835,0.00795,0.00765
bug_message_keyword_endless,22,[1],5e-05,5e-05,5e-05
bug_message_keyword_ensur,23,[1],0.0114,0.01035,0.0084
bug_message_keyword_error,24,[1],0.0235,0.02205,0.0193
bug_message_keyword_except,25,[1],0.017,0.01615,0.0134
bug_message_keyword_fail,26,[1],0.03695,0.03455,0.032
bug_message_keyword_bugfix,27,[1],0.20825,0.18605,0.16555
bug_message_keyword_garbag,28,[1],0.0006,0.00045,0.0004
bug_message_keyword_handl,29,[1],0.0207,0.01865,0.01575
bug_message_keyword_incomplet,30,[1],0.00065,0.0005,0.0005
bug_message_keyword_inconsist,31,[1],0.00175,0.00165,0.0013
bug_message_keyword_incorrect,32,[1],0.00355,0.00325,0.0027
bug_message_keyword_infinit,33,[1],0.001,0.001,0.00065
bug_message_keyword_invalid,34,[1],0.0042,0.0037,0.00305
bug_message_keyword_issue,35,[],0.0,0.0,0.0
bug_message_keyword_leak,36,[1],0.00535,0.00515,0.0038
bug_message_keyword_loop,37,[1],0.0032,0.003,0.0026
bug_message_keyword_minor,38,[1],0.01015,0.01005,0.00975
bug_message_keyword_mistak,39,[1],0.0007,0.0006,0.0005
bug_message_keyword_npe,40,[1],0.01025,0.00985,0.0077
bug_message_keyword_not|work,41,[1],0.0018,0.00145,0.00125
bug_message_keyword_not|return,42,[1],0.0005,0.0004,0.00035
bug_message_keyword_of|bound,43,[1],0.00015,0.00015,0.0001
bug_message_keyword_patch,44,[1],0.0218,0.021,0.01945
bug_message_keyword_prevent,45,[1],0.00775,0.007,0.00635
bug_message_keyword_problem,46,[1],0.0077,0.0077,0.00655
bug_message_keyword_properli,47,[1],0.00365,0.0034,0.0028
bug_message_keyword_repair,48,[1],0.0001,0.0001,0.0001
bug_message_keyword_resolv,49,[1],0.00355,0.0031,0.0029
bug_message_keyword_threw,50,[1],0.00945,0.0086,0.0067
bug_message_keyword_timeout,51,[1],0.0072,0.00645,0.006
bug_message_keyword_unabl,52,[1],0.00015,0.00015,0.00015
bug_message_keyword_unclos,53,[1],0.0003,0.0003,0.00025
bug_message_keyword_unexpect,54,[1],0.0009,0.00085,0.00065
bug_message_keyword_unknown,55,[1],0.0008,0.0008,0.0007
bug_message_keyword_unsynchron,56,[1],0.0001,5e-05,5e-05
bug_message_keyword_wrong,57,[1],0.0053,0.0049,0.0043
bugless_message_keyword_abil,58,[0],0.00225,0.00205,0.00095
