,j,Polarity,Coverage,Overlaps,Conflicts
all_files_test_add,0,[0],0.00545,0.00535,0.00185
all_files_test_fix,1,[0],0.00415,0.00415,0.00195
buggless_if_many_lines_changed,2,[0],0.14245,0.1312,0.04075
buggless_one_file,3,[0],0.37225,0.30275,0.14365
bugless_if_at_least_2_removed_files,4,[0],0.02345,0.02285,0.0045
bugless_if_at_least_5_added_files,5,[0],0.0335,0.03325,0.00875
bugless_if_many_files_changes,6,[0],0.08675,0.08255,0.02505
bugless_if_not_code_files,7,[0],0.0674,0.0635,0.01505
no_files_have_modified_status,8,[0],0.02785,0.0274,0.00405
refactoring_if_at_least_2_renamed,9,[0],0.02315,0.02265,0.00505
fine_grained_changes_transformer_70,10,[],0.0,0.0,0.0
fine_grained_changes_transformer_80,11,[],0.0,0.0,0.0
fine_grained_changes_transformer_90,12,[],0.0,0.0,0.0
bug_message_keyword_bad,13,[1],0.0025,0.0025,0.0021
bug_message_keyword_broken,14,[1],0.0063,0.00595,0.0054
bug_message_keyword_bug,15,[1],0.03085,0.0305,0.0249
bug_message_keyword_close,16,[1],0.037,0.03425,0.0313
bug_message_keyword_correct,17,[1],0.0204,0.01835,0.0161
bug_message_keyword_corrupt,18,[1],0.0015,0.0013,0.0012
bug_message_keyword_crash,19,[1],0.00265,0.0024,0.0021
bug_message_keyword_defect,20,[1],5e-05,5e-05,5e-05
bug_message_keyword_disabl,21,[1],0.0115,0.0108,0.0103
bug_message_keyword_endless,22,[1],0.00035,0.0003,0.00025
bug_message_keyword_ensur,23,[1],0.00875,0.00755,0.00665
bug_message_keyword_error,24,[1],0.02595,0.0241,0.0209
bug_message_keyword_except,25,[1],0.0161,0.01525,0.01345
bug_message_keyword_fail,26,[1],0.03905,0.0352,0.032
bug_message_keyword_bugfix,27,[1],0.2045,0.1749,0.15545
bug_message_keyword_garbag,28,[1],0.00035,0.0003,0.00025
bug_message_keyword_handl,29,[1],0.0223,0.01995,0.01755
bug_message_keyword_incomplet,30,[1],0.0008,0.0006,0.0005
bug_message_keyword_inconsist,31,[1],0.0015,0.0014,0.00115
bug_message_keyword_incorrect,32,[1],0.00375,0.0033,0.00295
bug_message_keyword_infinit,33,[1],0.00085,0.00085,0.00045
bug_message_keyword_invalid,34,[1],0.004,0.0036,0.00265
bug_message_keyword_issue,35,[],0.0,0.0,0.0
bug_message_keyword_leak,36,[1],0.00365,0.0034,0.00265
bug_message_keyword_loop,37,[1],0.00425,0.0041,0.0035
bug_message_keyword_minor,38,[1],0.0128,0.01235,0.01155
bug_message_keyword_mistak,39,[1],0.0009,0.0009,0.00085
bug_message_keyword_npe,40,[1],0.0081,0.00765,0.00545
bug_message_keyword_not|work,41,[1],0.00285,0.00225,0.0019
bug_message_keyword_not|return,42,[1],0.00045,0.0004,0.0004
bug_message_keyword_of|bound,43,[1],0.0001,0.0001,0.0001
bug_message_keyword_patch,44,[1],0.0234,0.0221,0.01935
bug_message_keyword_prevent,45,[1],0.00825,0.0076,0.0069
bug_message_keyword_problem,46,[1],0.01295,0.01285,0.01065
bug_message_keyword_properli,47,[1],0.0069,0.0063,0.0054
bug_message_keyword_repair,48,[1],0.0002,0.0002,0.0002
bug_message_keyword_resolv,49,[1],0.01005,0.0091,0.0082
bug_message_keyword_threw,50,[1],0.0069,0.00625,0.00495
bug_message_keyword_timeout,51,[1],0.0062,0.0056,0.00505
bug_message_keyword_unabl,52,[1],0.0008,0.0007,0.00065
bug_message_keyword_unclos,53,[1],0.0002,0.0002,0.0002
bug_message_keyword_unexpect,54,[1],0.0009,0.00085,0.0007
bug_message_keyword_unknown,55,[1],0.0013,0.00115,0.00095
bug_message_keyword_unsynchron,56,[1],5e-05,5e-05,5e-05
bug_message_keyword_wrong,57,[1],0.0058,0.00505,0.004
bugless_message_keyword_abil,58,[0],0.00315,0.003,0.0015
bugless_message_keyword_ad,59,[0],0.06145,0.0554,0.02005
bugless_message_keyword_add,60,[0],0.10845,0.0942,0.03165
bugless_message_keyword_addit,61,[0],0.0101,0.00985,0.0051
bugless_message_keyword_allow,62,[0],0.02985,0.0258,0.0131
bugless_message_keyword_analysi,63,[0],0.0028,0.0026,0.00125
bugless_message_keyword_avoid,64,[0],0.01625,0.01425,0.0073
bugless_message_keyword_baselin,65,[0],5e-05,5e-05,5e-05
bugless_message_keyword_benchmark,66,[0],0.00155,0.00145,0.0006
bugless_message_keyword_better,67,[0],0.01265,0.0118,0.0057
bugless_message_keyword_chang|log,68,[0],0.0005,0.0005,0.00015
bugless_message_keyword_clean,69,[0],0.02385,0.0206,0.00905
bugless_message_keyword_comment,70,[0],0.0122,0.01135,0.0053
bugless_message_keyword_complet,71,[0],0.0093,0.00865,0.0047
bugless_message_keyword_configur|chang,72,[0],0.0001,0.0,0.0
bugless_message_keyword_consolid,73,[0],0.00125,0.001,0.00035
bugless_message_keyword_convert,74,[0],0.00815,0.00725,0.0032
bugless_message_keyword_coverag,75,[0],0.00205,0.0019,0.00085
bugless_message_keyword_create,76,[],0.0,0.0,0.0
bugless_message_keyword_deprec,77,[0],0.0136,0.01215,0.00335
bugless_message_keyword_develop,78,[0],0.00225,0.0019,0.0004
bugless_message_keyword_doc,79,[0],0.04865,0.04595,0.01845
bugless_message_keyword_drop,80,[0],0.0038,0.00345,0.00125
bugless_message_keyword_enhanc,81,[0],0.0025,0.0021,0.0009
bugless_message_keyword_exampl,82,[0],0.0126,0.0117,0.00415
bugless_message_keyword_exclud,83,[0],0.00285,0.00275,0.0011
bugless_message_keyword_expand,84,[0],0.0028,0.00265,0.00155
bugless_message_keyword_extendgener,85,[],0.0,0.0,0.0
bugless_message_keyword_featur,86,[0],0.00635,0.00625,0.00325
bugless_message_keyword_forget,87,[0],0.00055,0.00055,0.00025
bugless_message_keyword_gitignor,88,[0],0.0004,0.0004,0.0002
bugless_message_keyword_idea,89,[0],0.0037,0.0035,0.0013
