,j,Polarity,Coverage,Overlaps,Conflicts
fine_grained_changes_transformer_90,0,[],0.0,0.0,0.0
fine_grained_changes_transformer_80,1,[],0.0,0.0,0.0
fine_grained_changes_transformer_70,2,[],0.0,0.0,0.0
all_files_test_add,3,[0],0.0013,0.0013,0.00045
all_files_test_fix,4,[0],0.0017,0.0017,0.00075
buggless_if_many_lines_changed,5,[0],0.1927,0.1788,0.057
buggless_one_file,6,[0],0.26755,0.21765,0.09685
bugless_if_at_least_2_removed_files,7,[0],0.02795,0.02765,0.00665
bugless_if_at_least_5_added_files,8,[0],0.0476,0.0471,0.0129
bugless_if_many_files_changes,9,[0],0.11955,0.11565,0.0352
bugless_if_not_code_files,10,[0],0.03895,0.037,0.00915
no_files_have_modified_status,11,[0],0.0234,0.0228,0.00295
refactoring_if_at_least_2_renamed,12,[0],0.0341,0.0335,0.0066
bug_message_keyword_bad,13,[1],0.0029,0.0029,0.0025
bug_message_keyword_broken,14,[1],0.0041,0.0038,0.0034
bug_message_keyword_bug,15,[1],0.0133,0.01305,0.01015
bug_message_keyword_close,16,[1],0.038,0.0348,0.0322
bug_message_keyword_concurr,17,[1],0.00465,0.00445,0.00385
bug_message_keyword_correct,18,[1],0.01485,0.0129,0.01135
bug_message_keyword_corrupt,19,[1],0.00115,0.001,0.0008
bug_message_keyword_crash,20,[1],0.00175,0.0015,0.00125
bug_message_keyword_deadlock,21,[1],0.00155,0.00125,0.00085
bug_message_keyword_defect,22,[],0.0,0.0,0.0
bug_message_keyword_disabl,23,[1],0.00975,0.00885,0.00845
bug_message_keyword_endless,24,[1],0.0004,0.00035,0.0003
bug_message_keyword_ensur,25,[1],0.008,0.0071,0.0064
bug_message_keyword_error,26,[1],0.02485,0.0228,0.0193
bug_message_keyword_except,27,[1],0.02,0.01885,0.0164
bug_message_keyword_fail,28,[1],0.04705,0.04115,0.03695
bug_message_keyword_bugfix,29,[1],0.18165,0.14965,0.1324
bug_message_keyword_garbag,30,[1],0.0004,0.00035,0.0003
bug_message_keyword_handl,31,[1],0.0203,0.01795,0.01565
bug_message_keyword_incomplet,32,[1],0.0013,0.0012,0.0009
bug_message_keyword_inconsist,33,[1],0.00125,0.0011,0.00095
bug_message_keyword_incorrect,34,[1],0.00445,0.00395,0.0034
bug_message_keyword_infinit,35,[1],0.001,0.001,0.00075
bug_message_keyword_invalid,36,[1],0.00395,0.00355,0.00265
bug_message_keyword_issue,37,[],0.0,0.0,0.0
bug_message_keyword_leak,38,[1],0.0031,0.00275,0.0023
bug_message_keyword_loop,39,[1],0.0034,0.00315,0.00265
bug_message_keyword_minor,40,[1],0.0153,0.01465,0.01395
bug_message_keyword_mistak,41,[1],0.0008,0.0008,0.00075
bug_message_keyword_npe,42,[1],0.0084,0.00785,0.0058
bug_message_keyword_not|work,43,[1],0.0034,0.0024,0.00195
bug_message_keyword_not|return,44,[1],0.0006,0.0004,0.0004
bug_message_keyword_of|bound,45,[1],0.0002,0.0002,0.0002
bug_message_keyword_patch,46,[1],0.00925,0.00785,0.0068
bug_message_keyword_prevent,47,[1],0.0059,0.00555,0.005
bug_message_keyword_problem,48,[1],0.0094,0.0093,0.0079
bug_message_keyword_properli,49,[1],0.00705,0.00635,0.0052
bug_message_keyword_race|condit,50,[1],0.0022,0.00205,0.00155
bug_message_keyword_repair,51,[1],0.00035,0.00035,0.00035
bug_message_keyword_resolv,52,[1],0.0151,0.0138,0.01245
bug_message_keyword_threw,53,[1],0.0085,0.00775,0.0065
bug_message_keyword_timeout,54,[1],0.0064,0.00585,0.00525
bug_message_keyword_unabl,55,[1],0.001,0.00085,0.0008
bug_message_keyword_unclos,56,[1],5e-05,5e-05,5e-05
bug_message_keyword_unexpect,57,[1],0.00095,0.00095,0.0008
bug_message_keyword_unknown,58,[1],0.00125,0.0011,0.0009
bug_message_keyword_unsynchron,59,[],0.0,0.0,0.0
bug_message_keyword_wrong,60,[1],0.00685,0.00575,0.005
bugless_message_keyword_abil,61,[0],0.0039,0.0037,0.0014
bugless_message_keyword_ad,62,[0],0.06885,0.06125,0.02335
bugless_message_keyword_add,63,[0],0.09945,0.0852,0.0305
bugless_message_keyword_addit,64,[0],0.00875,0.00865,0.00485
bugless_message_keyword_allow,65,[0],0.0317,0.0259,0.0124
bugless_message_keyword_analysi,66,[0],0.0027,0.00255,0.00135
bugless_message_keyword_avoid,67,[0],0.0175,0.01515,0.0083
bugless_message_keyword_baselin,68,[0],5e-05,5e-05,5e-05
bugless_message_keyword_beautification,69,[],0.0,0.0,0.0
bugless_message_keyword_benchmark,70,[0],0.00125,0.00115,0.00055
bugless_message_keyword_better,71,[0],0.01065,0.01005,0.00505
