,j,Polarity,Coverage,Overlaps,Conflicts
all_files_test_add,0,[0],0.00658921113576682,0.006574676111202628,0.0017490479558910455
all_files_test_fix,1,[0],0.0040358918206571765,0.004026201804281049,0.001642457775753641
buggless_if_many_lines_changed,2,[0],0.04496652099342048,0.04249556681750792,0.015571856316437175
buggless_one_file,3,[0],0.4222909136716441,0.39568697371098555,0.2116202676382523
bugless_if_at_least_2_removed_files,4,[0],0.019462397891452436,0.01867266155679803,0.004907993294508668
bugless_if_at_least_5_added_files,5,[0],0.029380129652419113,0.02831422785104507,0.005751024719231775
bugless_if_many_files_changes,6,[0],0.046657428851054755,0.04556245700055233,0.012257870715801509
bugless_if_not_code_files,7,[0],0.17097549394858477,0.16741441293035786,0.05883293442765918
no_files_have_modified_status,8,[0],0.04822721150398744,0.04716615471080146,0.009011715229798739
refactoring_if_at_least_2_renamed,9,[0],0.012606711305342105,0.012054380371902828,0.003100805240360856
fine_grained_changes_transformer_70,10,"[0, 1]",0.09541274624754116,0.08848438453860986,0.05558677894165641
fine_grained_changes_transformer_80,11,"[0, 1]",0.22643630267735151,0.16290855531545848,0.07634763902750996
fine_grained_changes_transformer_90,12,"[0, 1]",0.23414955571274915,0.2185486293471836,0.10603784920396515
bug_message_keyword_bad,13,[1],0.0020252134226106844,0.002000988381670365,0.0018604831442165137
bug_message_keyword_broken,14,[1],0.004631827827789029,0.0045543076967800075,0.004137636992606518
bug_message_keyword_bug,15,[1],0.03240341476177095,0.031943138983904884,0.0272919311233636
bug_message_keyword_close,16,[1],0.038382154865841726,0.03718543784338996,0.03312532098179246
bug_message_keyword_concurr,17,[1],0.0005474859252512137,0.000537795908875086,0.0004893458269944476
bug_message_keyword_correct,18,[1],0.016589308035930582,0.01591585189778971,0.014472039457746683
bug_message_keyword_corrupt,19,[1],0.0005329509006870222,0.0005329509006870222,0.0004602757778660646
bug_message_keyword_crash,20,[1],0.0045058576148993695,0.004467097549394858,0.0038324014767584956
bug_message_keyword_deadlock,21,[1],0.0003439955813525325,0.0003343055649764048,0.0002955454994718941
bug_message_keyword_defect,22,[1],0.0005426409170631499,0.00045543076967800075,0.00036337561410478784
bug_message_keyword_disabl,23,[1],0.00800395352668146,0.007766548125466332,0.007291737323036076
bug_message_keyword_endless,24,[1],0.00016957528658223433,0.00016473027839417049,0.00014535024564191513
bug_message_keyword_ensur,25,[1],0.006201610480721712,0.006012655161387223,0.005489394277076328
bug_message_keyword_error,26,[1],0.027064215738524598,0.026482814755956936,0.023474064671169293
bug_message_keyword_except,27,[1],0.006206455488909776,0.006007810153199159,0.005353734047810541
bug_message_keyword_fail,28,[1],0.014462349441370556,0.014181338966462854,0.013333462533551681
bug_message_keyword_bugfix,29,[1],0.25669822381999824,0.23404296553261175,0.21141677729435362
bug_message_keyword_garbag,30,[1],0.0002180253684628727,0.0002180253684628727,0.00019864533571061735
bug_message_keyword_handl,31,[1],0.014704599850773747,0.014268549113848002,0.012785976608300468
bug_message_keyword_incomplet,32,[1],0.0006831461545170011,0.0006686111299528096,0.0006395410808244266
bug_message_keyword_inconsist,33,[1],0.0006637661217647457,0.0006443860890124905,0.0005717109661915328
bug_message_keyword_incorrect,34,[1],0.0029506099865308773,0.002868244847333792,0.002509714241417068
bug_message_keyword_infinit,35,[1],0.0007412862527737672,0.0007412862527737672,0.0006250060562602351
bug_message_keyword_invalid,36,[1],0.003464180854465644,0.0033818157152685586,0.003023285109351835
bug_message_keyword_issue,37,[],0.0,0.0,0.0
bug_message_keyword_leak,38,[1],0.0014777274973594705,0.0014389674318549598,0.0012597021288965977
bug_message_keyword_loop,39,[1],0.0025533193151096424,0.0025339392823573873,0.002301378889330323
bug_message_keyword_minor,40,[1],0.007485537650558629,0.007223907208403183,0.006821771528793884
bug_message_keyword_mistak,41,[1],0.001104661866878555,0.001104661866878555,0.0010901268423143635
bug_message_keyword_npe,42,[1],0.001996143373482301,0.001942848283413599,0.00172966792313879
bug_message_keyword_not|work,43,[1],0.0024031240612796636,0.0023110689057064507,0.0018604831442165137
bug_message_keyword_not|return,44,[1],0.00031008052403608564,0.0003052355158480218,0.0002567854339673834
bug_message_keyword_of|bound,45,[1],0.000179265302958362,0.000179265302958362,0.00015019525382997898
bug_message_keyword_patch,46,[1],0.01200593029002219,0.011768524888807062,0.011303404102752934
bug_message_keyword_prevent,47,[1],0.0060368802023275416,0.005896374964873691,0.005310128974117966
bug_message_keyword_problem,48,[1],0.007567902789755714,0.007451622593242183,0.006676421283151968
bug_message_keyword_properli,49,[1],0.004786868089807072,0.004660897876917412,0.0041473270089826455
bug_message_keyword_race|condit,50,[1],0.0006395410808244266,0.0006395410808244266,0.000595936007131852
bug_message_keyword_repair,51,[1],0.00025194042577931955,0.00025194042577931955,0.00024225040940319188
bug_message_keyword_resolv,52,[1],0.011119293791606508,0.010542737817226911,0.009491371040417059
bug_message_keyword_threw,53,[1],0.0027325846180680045,0.0027132045853157493,0.0023110689057064507
bug_message_keyword_timeout,54,[1],0.0022238587583213016,0.0021366486109361525,0.00198160834891811
bug_message_keyword_unabl,55,[1],0.0006783011463289373,0.0006201610480721713,0.000537795908875086
