,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.3068181818181818,0.29545454545454547,0.1903409090909091,74,34,0.6851851851851851
buggless_if_one_file_markdown_ext,1,[],0.0,0.0,0.0,0,0,0.0
buggless_if_doc_extensions,2,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer_80,3,"[0, 1]",0.13068181818181818,0.125,0.09375,28,18,0.6086956521739131
fine_grained_changes_transformer_70,4,"[0, 1]",0.13352272727272727,0.125,0.10227272727272728,29,18,0.6170212765957447
all_files_test_add,5,[0],0.014204545454545454,0.014204545454545454,0.002840909090909091,5,0,1.0
all_files_test_fix,6,[0],0.005681818181818182,0.005681818181818182,0.002840909090909091,2,0,1.0
buggless_if_many_lines_changed,7,[0],0.12215909090909091,0.11647727272727272,0.05113636363636364,35,8,0.813953488372093
buggless_one_file,8,[0],0.375,0.35511363636363635,0.2784090909090909,75,57,0.5681818181818181
bugless_if_at_least_2_removed_files,9,[0],0.017045454545454544,0.017045454545454544,0.002840909090909091,5,1,0.8333333333333333
bugless_if_at_least_5_added_files,10,[0],0.02556818181818182,0.02556818181818182,0.014204545454545454,8,1,0.8888888888888888
bugless_if_many_files_changes,11,[0],0.045454545454545456,0.045454545454545456,0.019886363636363636,15,1,0.9375
bugless_if_not_code_files,12,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,13,[0],0.022727272727272728,0.022727272727272728,0.002840909090909091,8,0,1.0
refactoring_if_at_least_2_renamed,14,[0],0.008522727272727272,0.008522727272727272,0.002840909090909091,3,0,1.0
bug_message_keyword_bad,15,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,16,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,17,[1],0.0625,0.0625,0.05113636363636364,18,4,0.8181818181818181
bug_message_keyword_close,18,[1],0.045454545454545456,0.045454545454545456,0.045454545454545456,8,8,0.5
bug_message_keyword_concurr,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,20,[1],0.017045454545454544,0.017045454545454544,0.014204545454545454,4,2,0.6666666666666666
bug_message_keyword_corrupt,21,[1],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bug_message_keyword_crash,22,[1],0.017045454545454544,0.017045454545454544,0.014204545454545454,4,2,0.6666666666666666
bug_message_keyword_deadlock,23,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,25,[1],0.005681818181818182,0.005681818181818182,0.002840909090909091,1,1,0.5
bug_message_keyword_endless,26,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,27,[1],0.002840909090909091,0.002840909090909091,0.002840909090909091,0,1,0.0
bug_message_keyword_error,28,[1],0.056818181818181816,0.05397727272727273,0.045454545454545456,11,9,0.55
bug_message_keyword_except,29,[1],0.005681818181818182,0.005681818181818182,0.005681818181818182,2,0,1.0
bug_message_keyword_fail,30,[1],0.022727272727272728,0.022727272727272728,0.019886363636363636,5,3,0.625
bug_message_keyword_bugfix,31,[1],0.39204545454545453,0.3721590909090909,0.3153409090909091,109,29,0.7898550724637681
bug_message_keyword_garbag,32,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,33,[1],0.04261363636363636,0.04261363636363636,0.03977272727272727,7,8,0.4666666666666667
bug_message_keyword_incomplet,34,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,35,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bug_message_keyword_incorrect,36,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_infinit,37,[1],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bug_message_keyword_invalid,38,[1],0.005681818181818182,0.005681818181818182,0.002840909090909091,2,0,1.0
bug_message_keyword_issue,39,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,40,[1],0.019886363636363636,0.019886363636363636,0.011363636363636364,7,0,1.0
bug_message_keyword_loop,41,[1],0.005681818181818182,0.005681818181818182,0.005681818181818182,2,0,1.0
bug_message_keyword_minor,42,[1],0.014204545454545454,0.014204545454545454,0.014204545454545454,1,4,0.2
bug_message_keyword_mistak,43,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,44,[1],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bug_message_keyword_not|work,45,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|return,46,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bug_message_keyword_of|bound,47,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,48,[1],0.019886363636363636,0.019886363636363636,0.019886363636363636,3,4,0.4285714285714286
bug_message_keyword_prevent,49,[1],0.008522727272727272,0.008522727272727272,0.008522727272727272,2,1,0.6666666666666666
bug_message_keyword_problem,50,[1],0.022727272727272728,0.022727272727272728,0.017045454545454544,7,1,0.875
bug_message_keyword_properli,51,[1],0.014204545454545454,0.014204545454545454,0.011363636363636364,5,0,1.0
bug_message_keyword_race|condit,52,[1],0.008522727272727272,0.008522727272727272,0.008522727272727272,3,0,1.0
bug_message_keyword_repair,53,[1],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bug_message_keyword_resolv,54,[1],0.019886363636363636,0.019886363636363636,0.017045454545454544,2,5,0.2857142857142857
bug_message_keyword_threw,55,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_timeout,56,[1],0.014204545454545454,0.014204545454545454,0.014204545454545454,3,2,0.6
bug_message_keyword_unabl,57,[1],0.002840909090909091,0.002840909090909091,0.002840909090909091,0,1,0.0
bug_message_keyword_unclos,58,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unexpect,59,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unknown,60,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unsynchron,61,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,62,[1],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_abil,63,[0],0.022727272727272728,0.022727272727272728,0.017045454545454544,6,2,0.75
bugless_message_keyword_ad,64,[0],0.10227272727272728,0.09659090909090909,0.05113636363636364,30,6,0.8333333333333333
bugless_message_keyword_add,65,[0],0.12215909090909091,0.11363636363636363,0.0625,33,10,0.7674418604651163
bugless_message_keyword_addit,66,[0],0.008522727272727272,0.008522727272727272,0.002840909090909091,3,0,1.0
bugless_message_keyword_allow,67,[0],0.017045454545454544,0.017045454545454544,0.011363636363636364,5,1,0.8333333333333333
bugless_message_keyword_analysi,68,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_avoid,69,[0],0.008522727272727272,0.008522727272727272,0.008522727272727272,0,3,0.0
bugless_message_keyword_baselin,70,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_beautification,71,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_benchmark,72,[0],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bugless_message_keyword_better,73,[0],0.028409090909090908,0.028409090909090908,0.019886363636363636,10,0,1.0
bugless_message_keyword_bump,74,[0],0.011363636363636364,0.011363636363636364,0.008522727272727272,4,0,1.0
bugless_message_keyword_chang|log,75,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_clean,76,[0],0.036931818181818184,0.036931818181818184,0.019886363636363636,11,2,0.8461538461538461
bugless_message_keyword_comment,77,[0],0.014204545454545454,0.014204545454545454,0.005681818181818182,5,0,1.0
bugless_message_keyword_complet,78,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_configur|chang,79,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_consolid,80,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_convert,81,[0],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bugless_message_keyword_coverag,82,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_create,83,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_deprec,84,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_develop,85,[0],0.005681818181818182,0.005681818181818182,0.0,2,0,1.0
bugless_message_keyword_doc,86,[0],0.028409090909090908,0.028409090909090908,0.017045454545454544,9,1,0.9
bugless_message_keyword_drop,87,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_enhanc,88,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_exampl,89,[0],0.011363636363636364,0.008522727272727272,0.005681818181818182,3,1,0.75
bugless_message_keyword_exclud,90,[0],0.008522727272727272,0.008522727272727272,0.008522727272727272,2,1,0.6666666666666666
bugless_message_keyword_expand,91,[0],0.008522727272727272,0.008522727272727272,0.005681818181818182,3,0,1.0
bugless_message_keyword_extendgener,92,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_featur,93,[0],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bugless_message_keyword_forget,94,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_format,95,[0],0.014204545454545454,0.014204545454545454,0.008522727272727272,4,1,0.8
bugless_message_keyword_gitignor,96,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_idea,97,[0],0.017045454545454544,0.017045454545454544,0.014204545454545454,5,1,0.8333333333333333
bugless_message_keyword_implement,98,[0],0.019886363636363636,0.019886363636363636,0.011363636363636364,7,0,1.0
bugless_message_keyword_improv,99,[0],0.017045454545454544,0.017045454545454544,0.005681818181818182,4,2,0.6666666666666666
bugless_message_keyword_includ,100,[0],0.02556818181818182,0.02556818181818182,0.014204545454545454,7,2,0.7777777777777778
bugless_message_keyword_info,101,[0],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bugless_message_keyword_intorduc,102,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_limit,103,[0],0.005681818181818182,0.005681818181818182,0.005681818181818182,0,2,0.0
bugless_message_keyword_log,104,[0],0.011363636363636364,0.011363636363636364,0.005681818181818182,3,1,0.75
bugless_message_keyword_migrat,105,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_minim,106,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_modif,107,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_move,108,[0],0.02556818181818182,0.022727272727272728,0.014204545454545454,8,1,0.8888888888888888
bugless_message_keyword_new,109,[0],0.03409090909090909,0.028409090909090908,0.019886363636363636,8,4,0.6666666666666666
bugless_message_keyword_note,110,[0],0.008522727272727272,0.008522727272727272,0.005681818181818182,3,0,1.0
bugless_message_keyword_opinion,111,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_optim,112,[0],0.008522727272727272,0.008522727272727272,0.005681818181818182,2,1,0.6666666666666666
bugless_message_keyword_pass|test,113,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_perf|test,114,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_perfom|test,115,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_perform,116,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_plugin,117,[0],0.017045454545454544,0.017045454545454544,0.008522727272727272,5,1,0.8333333333333333
bugless_message_keyword_polish,118,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_possibl,119,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_prepar,120,[0],0.005681818181818182,0.005681818181818182,0.002840909090909091,1,1,0.5
bugless_message_keyword_propos,121,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_provid,122,[0],0.005681818181818182,0.005681818181818182,0.005681818181818182,0,2,0.0
bugless_message_keyword_publish,123,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_readm,124,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_reduc,125,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_refactor,126,[0],0.011363636363636364,0.011363636363636364,0.011363636363636364,3,1,0.75
bugless_message_keyword_refin,127,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_reformat,128,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_regress|test,129,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_reimplement,130,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_release,131,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_remov,132,[0],0.05113636363636364,0.048295454545454544,0.02556818181818182,13,5,0.7222222222222222
bugless_message_keyword_renam,133,[0],0.022727272727272728,0.022727272727272728,0.014204545454545454,4,4,0.5
bugless_message_keyword_reorgan,134,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_replac,135,[0],0.017045454545454544,0.017045454545454544,0.008522727272727272,4,2,0.6666666666666666
bugless_message_keyword_restrict,136,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_restructur,137,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_review,138,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_rewrit,139,[0],0.005681818181818182,0.005681818181818182,0.005681818181818182,1,1,0.5
bugless_message_keyword_rid,140,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,0,1,0.0
bugless_message_keyword_set|up,141,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_simplif,142,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_simplifi,143,[0],0.008522727272727272,0.008522727272727272,0.005681818181818182,3,0,1.0
bugless_message_keyword_speedup,144,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_stage,145,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_stat,146,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_statist,147,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_support,148,[0],0.05965909090909091,0.05965909090909091,0.03409090909090909,19,2,0.9047619047619048
bugless_message_keyword_switch,149,[0],0.019886363636363636,0.017045454545454544,0.008522727272727272,2,5,0.2857142857142857
bugless_message_keyword_test,150,[0],0.125,0.125,0.07386363636363637,31,13,0.7045454545454546
bugless_message_keyword_test|coverag,151,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_test|pass,152,[0],0.008522727272727272,0.008522727272727272,0.0,3,0,1.0
bugless_message_keyword_todo,153,[0],0.005681818181818182,0.005681818181818182,0.005681818181818182,2,0,1.0
bugless_message_keyword_tweak,154,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_unit,155,[0],0.028409090909090908,0.028409090909090908,0.014204545454545454,8,2,0.8
