,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.37823834196891193,0.35751295336787564,0.18652849740932642,44,29,0.6027397260273972
fine_grained_changes_transformer_80,1,"[0, 1]",0.12953367875647667,0.12435233160621761,0.06217616580310881,17,8,0.6799999999999999
fine_grained_changes_transformer_70,2,"[0, 1]",0.13471502590673576,0.12953367875647667,0.09326424870466321,15,11,0.5769230769230769
all_files_test_add,3,[0],0.02072538860103627,0.02072538860103627,0.0051813471502590676,4,0,1.0
all_files_test_fix,4,[0],0.0051813471502590676,0.0051813471502590676,0.0,1,0,1.0
buggless_if_many_lines_changed,5,[],0.0,0.0,0.0,0,0,0.0
bugless_if_at_least_2_removed_files,6,[],0.0,0.0,0.0,0,0,0.0
bugless_if_at_least_5_added_files,7,[],0.0,0.0,0.0,0,0,0.0
bugless_if_many_files_changes,8,[],0.0,0.0,0.0,0,0,0.0
bugless_if_not_code_files,9,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,10,[0],0.010362694300518135,0.010362694300518135,0.0051813471502590676,2,0,1.0
refactoring_if_at_least_2_renamed,11,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bad,12,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,13,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,14,[1],0.06735751295336788,0.06735751295336788,0.03626943005181347,10,3,0.7692307692307692
bug_message_keyword_close,15,[1],0.05699481865284974,0.05699481865284974,0.046632124352331605,6,5,0.5454545454545454
bug_message_keyword_concurr,16,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,17,[1],0.02072538860103627,0.02072538860103627,0.02072538860103627,3,1,0.75
bug_message_keyword_corrupt,18,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_crash,19,[1],0.025906735751295335,0.025906735751295335,0.015544041450777202,4,1,0.8
bug_message_keyword_deadlock,20,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,22,[1],0.010362694300518135,0.010362694300518135,0.0,1,1,0.5
bug_message_keyword_endless,23,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,24,[1],0.0051813471502590676,0.0,0.0,0,1,0.0
bug_message_keyword_error,25,[1],0.06217616580310881,0.06217616580310881,0.025906735751295335,10,2,0.8333333333333333
