,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.3068181818181818,0.2840909090909091,0.14488636363636365,74,34,0.6851851851851851
fine_grained_changes_transformer_80,1,"[0, 1]",0.13068181818181818,0.12215909090909091,0.06534090909090909,28,18,0.6086956521739131
fine_grained_changes_transformer_70,2,"[0, 1]",0.13352272727272727,0.125,0.08522727272727272,29,18,0.6170212765957447
all_files_test_add,3,[0],0.014204545454545454,0.014204545454545454,0.002840909090909091,5,0,1.0
all_files_test_fix,4,[0],0.005681818181818182,0.005681818181818182,0.002840909090909091,2,0,1.0
buggless_if_many_lines_changed,5,[0],0.12215909090909091,0.11647727272727272,0.05113636363636364,35,8,0.813953488372093
bugless_if_at_least_2_removed_files,6,[0],0.017045454545454544,0.017045454545454544,0.002840909090909091,5,1,0.8333333333333333
bugless_if_at_least_5_added_files,7,[0],0.02556818181818182,0.02556818181818182,0.014204545454545454,8,1,0.8888888888888888
bugless_if_many_files_changes,8,[0],0.045454545454545456,0.045454545454545456,0.019886363636363636,15,1,0.9375
bugless_if_not_code_files,9,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,10,[0],0.022727272727272728,0.022727272727272728,0.002840909090909091,8,0,1.0
refactoring_if_at_least_2_renamed,11,[0],0.008522727272727272,0.008522727272727272,0.002840909090909091,3,0,1.0
bug_message_keyword_bad,12,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,13,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,14,[1],0.0625,0.0625,0.036931818181818184,18,4,0.8181818181818181
bug_message_keyword_close,15,[1],0.045454545454545456,0.045454545454545456,0.03977272727272727,8,8,0.5
bug_message_keyword_concurr,16,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,17,[1],0.017045454545454544,0.017045454545454544,0.014204545454545454,4,2,0.6666666666666666
bug_message_keyword_corrupt,18,[1],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bug_message_keyword_crash,19,[1],0.017045454545454544,0.017045454545454544,0.011363636363636364,4,2,0.6666666666666666
bug_message_keyword_deadlock,20,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,22,[1],0.005681818181818182,0.005681818181818182,0.0,1,1,0.5
bug_message_keyword_endless,23,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,24,[1],0.002840909090909091,0.0,0.0,0,1,0.0
bug_message_keyword_error,25,[1],0.056818181818181816,0.05397727272727273,0.03409090909090909,11,9,0.55
bug_message_keyword_except,26,[1],0.005681818181818182,0.005681818181818182,0.005681818181818182,2,0,1.0
bug_message_keyword_fail,27,[1],0.022727272727272728,0.022727272727272728,0.011363636363636364,5,3,0.625
bug_message_keyword_bugfix,28,[1],0.39204545454545453,0.36363636363636365,0.23863636363636365,109,29,0.7898550724637681
bug_message_keyword_garbag,29,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,30,[1],0.04261363636363636,0.04261363636363636,0.03977272727272727,7,8,0.4666666666666667
bug_message_keyword_incomplet,31,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,32,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bug_message_keyword_incorrect,33,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_infinit,34,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bug_message_keyword_invalid,35,[1],0.005681818181818182,0.005681818181818182,0.002840909090909091,2,0,1.0
bug_message_keyword_issue,36,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,37,[1],0.019886363636363636,0.019886363636363636,0.008522727272727272,7,0,1.0
bug_message_keyword_loop,38,[1],0.005681818181818182,0.005681818181818182,0.002840909090909091,2,0,1.0
bug_message_keyword_minor,39,[1],0.014204545454545454,0.014204545454545454,0.011363636363636364,1,4,0.2
bug_message_keyword_mistak,40,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,41,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bug_message_keyword_not|work,42,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|return,43,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bug_message_keyword_of|bound,44,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,45,[1],0.019886363636363636,0.017045454545454544,0.017045454545454544,3,4,0.4285714285714286
bug_message_keyword_prevent,46,[1],0.008522727272727272,0.008522727272727272,0.008522727272727272,2,1,0.6666666666666666
bug_message_keyword_problem,47,[1],0.022727272727272728,0.022727272727272728,0.014204545454545454,7,1,0.875
bug_message_keyword_properli,48,[1],0.014204545454545454,0.011363636363636364,0.005681818181818182,5,0,1.0
bug_message_keyword_race|condit,49,[1],0.008522727272727272,0.008522727272727272,0.008522727272727272,3,0,1.0
bug_message_keyword_repair,50,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bug_message_keyword_resolv,51,[1],0.019886363636363636,0.019886363636363636,0.017045454545454544,2,5,0.2857142857142857
bug_message_keyword_threw,52,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_timeout,53,[1],0.014204545454545454,0.014204545454545454,0.008522727272727272,3,2,0.6
bug_message_keyword_unabl,54,[1],0.002840909090909091,0.002840909090909091,0.002840909090909091,0,1,0.0
bug_message_keyword_unclos,55,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unexpect,56,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unknown,57,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unsynchron,58,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,59,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bugless_message_keyword_abil,60,[0],0.022727272727272728,0.022727272727272728,0.017045454545454544,6,2,0.75
bugless_message_keyword_ad,61,[0],0.10227272727272728,0.09659090909090909,0.05113636363636364,30,6,0.8333333333333333
bugless_message_keyword_add,62,[0],0.12215909090909091,0.11363636363636363,0.0625,33,10,0.7674418604651163
bugless_message_keyword_addit,63,[0],0.008522727272727272,0.008522727272727272,0.002840909090909091,3,0,1.0
bugless_message_keyword_allow,64,[0],0.017045454545454544,0.017045454545454544,0.011363636363636364,5,1,0.8333333333333333
bugless_message_keyword_analysi,65,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_avoid,66,[0],0.008522727272727272,0.008522727272727272,0.008522727272727272,0,3,0.0
bugless_message_keyword_baselin,67,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_beautification,68,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_benchmark,69,[0],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bugless_message_keyword_better,70,[0],0.028409090909090908,0.028409090909090908,0.019886363636363636,10,0,1.0
bugless_message_keyword_bump,71,[0],0.011363636363636364,0.011363636363636364,0.008522727272727272,4,0,1.0
bugless_message_keyword_chang|log,72,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_clean,73,[0],0.036931818181818184,0.036931818181818184,0.019886363636363636,11,2,0.8461538461538461
bugless_message_keyword_comment,74,[0],0.014204545454545454,0.014204545454545454,0.005681818181818182,5,0,1.0
bugless_message_keyword_complet,75,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_configur|chang,76,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_consolid,77,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_convert,78,[0],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bugless_message_keyword_coverag,79,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_create,80,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_deprec,81,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_develop,82,[0],0.005681818181818182,0.005681818181818182,0.0,2,0,1.0
bugless_message_keyword_doc,83,[0],0.028409090909090908,0.028409090909090908,0.017045454545454544,9,1,0.9
bugless_message_keyword_drop,84,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_enhanc,85,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_exampl,86,[0],0.011363636363636364,0.008522727272727272,0.005681818181818182,3,1,0.75
bugless_message_keyword_exclud,87,[0],0.008522727272727272,0.008522727272727272,0.008522727272727272,2,1,0.6666666666666666
bugless_message_keyword_expand,88,[0],0.008522727272727272,0.008522727272727272,0.005681818181818182,3,0,1.0
bugless_message_keyword_extendgener,89,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_featur,90,[0],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bugless_message_keyword_forget,91,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_format,92,[0],0.014204545454545454,0.014204545454545454,0.008522727272727272,4,1,0.8
bugless_message_keyword_gitignor,93,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_idea,94,[0],0.017045454545454544,0.017045454545454544,0.014204545454545454,5,1,0.8333333333333333
bugless_message_keyword_implement,95,[0],0.019886363636363636,0.017045454545454544,0.011363636363636364,7,0,1.0
bugless_message_keyword_improv,96,[0],0.017045454545454544,0.014204545454545454,0.005681818181818182,4,2,0.6666666666666666
bugless_message_keyword_includ,97,[0],0.02556818181818182,0.02556818181818182,0.014204545454545454,7,2,0.7777777777777778
bugless_message_keyword_info,98,[0],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bugless_message_keyword_intorduc,99,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_limit,100,[0],0.005681818181818182,0.005681818181818182,0.005681818181818182,0,2,0.0
bugless_message_keyword_log,101,[0],0.011363636363636364,0.011363636363636364,0.005681818181818182,3,1,0.75
bugless_message_keyword_migrat,102,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_minim,103,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_modif,104,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_move,105,[0],0.02556818181818182,0.022727272727272728,0.014204545454545454,8,1,0.8888888888888888
bugless_message_keyword_new,106,[0],0.03409090909090909,0.028409090909090908,0.019886363636363636,8,4,0.6666666666666666
bugless_message_keyword_note,107,[0],0.008522727272727272,0.005681818181818182,0.005681818181818182,3,0,1.0
bugless_message_keyword_opinion,108,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_optim,109,[0],0.008522727272727272,0.008522727272727272,0.005681818181818182,2,1,0.6666666666666666
bugless_message_keyword_pass|test,110,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_perf|test,111,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_perfom|test,112,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_perform,113,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_plugin,114,[0],0.017045454545454544,0.017045454545454544,0.008522727272727272,5,1,0.8333333333333333
bugless_message_keyword_polish,115,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_possibl,116,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_prepar,117,[0],0.005681818181818182,0.005681818181818182,0.002840909090909091,1,1,0.5
bugless_message_keyword_propos,118,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_provid,119,[0],0.005681818181818182,0.005681818181818182,0.005681818181818182,0,2,0.0
bugless_message_keyword_publish,120,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_readm,121,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_reduc,122,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_refactor,123,[0],0.011363636363636364,0.011363636363636364,0.011363636363636364,3,1,0.75
bugless_message_keyword_refin,124,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_reformat,125,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_regress|test,126,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_reimplement,127,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_release,128,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_remov,129,[0],0.05113636363636364,0.045454545454545456,0.02556818181818182,13,5,0.7222222222222222
bugless_message_keyword_renam,130,[0],0.022727272727272728,0.022727272727272728,0.014204545454545454,4,4,0.5
bugless_message_keyword_reorgan,131,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_replac,132,[0],0.017045454545454544,0.017045454545454544,0.008522727272727272,4,2,0.6666666666666666
bugless_message_keyword_restrict,133,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_restructur,134,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_review,135,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_rewrit,136,[0],0.005681818181818182,0.005681818181818182,0.005681818181818182,1,1,0.5
bugless_message_keyword_rid,137,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,0,1,0.0
bugless_message_keyword_set|up,138,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_simplif,139,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_simplifi,140,[0],0.008522727272727272,0.008522727272727272,0.005681818181818182,3,0,1.0
bugless_message_keyword_speedup,141,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_stage,142,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_stat,143,[0],0.002840909090909091,0.002840909090909091,0.002840909090909091,1,0,1.0
bugless_message_keyword_statist,144,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_support,145,[0],0.05965909090909091,0.05965909090909091,0.03409090909090909,19,2,0.9047619047619048
bugless_message_keyword_switch,146,[0],0.019886363636363636,0.017045454545454544,0.008522727272727272,2,5,0.2857142857142857
bugless_message_keyword_test,147,[0],0.125,0.12215909090909091,0.07386363636363637,31,13,0.7045454545454546
bugless_message_keyword_test|coverag,148,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_test|pass,149,[0],0.008522727272727272,0.008522727272727272,0.0,3,0,1.0
bugless_message_keyword_todo,150,[0],0.005681818181818182,0.005681818181818182,0.005681818181818182,2,0,1.0
bugless_message_keyword_tweak,151,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_unit,152,[0],0.028409090909090908,0.028409090909090908,0.014204545454545454,8,2,0.8
bugless_message_keyword_unnecessari,153,[0],0.005681818181818182,0.005681818181818182,0.002840909090909091,1,1,0.5
bugless_message_keyword_updat,154,[0],0.05965909090909091,0.05113636363636364,0.03125,14,7,0.6666666666666666
bugless_message_keyword_upgrad,155,[0],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bugless_message_keyword_version,156,[0],0.03977272727272727,0.036931818181818184,0.019886363636363636,12,2,0.8571428571428572
