,j,Polarity,Coverage,Overlaps,Conflicts
bugless_message_keyword_move,0,[0],0.02704108164326573,0.02704108164326573,0.009620384815392615
bugless_message_keyword_refactor,1,[0],0.008320332813312533,0.008320332813312533,0.0033801352054082163
bugless_message_keyword_renam,2,[0],0.0070202808112324495,0.0070202808112324495,0.0026001040041601664
bugless_message_keyword_reorgan,3,[0],0.0010400416016640667,0.0010400416016640667,0.0005200208008320333
bugless_message_keyword_restructur,4,[0],0.0005200208008320333,0.0005200208008320333,0.0
bugless_message_keyword_rewrit,5,[0],0.0026001040041601664,0.0026001040041601664,0.0015600624024961
bugless_message_keyword_simplif,6,[0],0.0005200208008320333,0.0005200208008320333,0.0
bugless_message_keyword_simplifi,7,[0],0.0039001560062402497,0.0039001560062402497,0.0020800832033281333
fine_grained_changes_transformer_90,8,"[0, 1]",0.21580863234529382,0.21580863234529382,0.11622464898595944
buggless_if_one_file_markdown_ext,9,[],0.0,0.0,0.0
buggless_if_doc_extensions,10,[],0.0,0.0,0.0
fine_grained_changes_transformer_80,11,"[0, 1]",0.125065002600104,0.125065002600104,0.08606344253770151
fine_grained_changes_transformer_70,12,"[0, 1]",0.0969838793551742,0.0969838793551742,0.06448257930317212
all_files_test_add,13,[0],0.0013000520020800832,0.0013000520020800832,0.0010400416016640667
all_files_test_fix,14,[0],0.00026001040041601667,0.00026001040041601667,0.00026001040041601667
buggless_if_many_lines_changed,15,[0],0.16796671866874674,0.16796671866874674,0.041341653666146644
buggless_one_file,16,[0],0.312792511700468,0.312792511700468,0.2875715028601144
bugless_if_at_least_2_removed_files,17,[0],0.022880915236609463,0.022880915236609463,0.004160166406656267
bugless_if_at_least_5_added_files,18,[0],0.0405616224648986,0.0405616224648986,0.006760270410816433
bugless_if_many_files_changes,19,[0],0.10036401456058243,0.10036401456058243,0.01794071762870515
bugless_if_not_code_files,20,[0],0.018980759230369213,0.018980759230369213,0.014820592823712949
no_files_have_modified_status,21,[0],0.01950078003120125,0.01950078003120125,0.005980239209568383
refactoring_if_at_least_2_renamed,22,[0],0.02158086323452938,0.02158086323452938,0.0031201248049922
small_change,23,[1],0.42303692147685906,0.3998959958398336,0.3546541861674467
large_change,24,[0],0.5769630785231409,0.5371814872594903,0.2171086843473739
bug_message_keyword_bad,25,[1],0.003640145605824233,0.003640145605824233,0.003640145605824233
bug_message_keyword_broken,26,[1],0.004420176807072283,0.004420176807072283,0.004160166406656267
bug_message_keyword_bug,27,[1],0.1372854914196568,0.1372854914196568,0.12636505460218408
bug_message_keyword_close,28,[1],0.018200728029121163,0.018200728029121163,0.01690067602704108
bug_message_keyword_concurr,29,[1],0.008060322412896516,0.008060322412896516,0.0075403016120644826
bug_message_keyword_correct,30,[1],0.017420696827873113,0.017420696827873113,0.01638065522620905
bug_message_keyword_corrupt,31,[1],0.004420176807072283,0.004420176807072283,0.0039001560062402497
bug_message_keyword_crash,32,[1],0.0010400416016640667,0.0010400416016640667,0.0010400416016640667
bug_message_keyword_deadlock,33,[1],0.004940197607904316,0.004940197607904316,0.004420176807072283
bug_message_keyword_defect,34,[1],0.00026001040041601667,0.00026001040041601667,0.00026001040041601667
bug_message_keyword_disabl,35,[1],0.00546021840873635,0.00546021840873635,0.004940197607904316
bug_message_keyword_endless,36,[1],0.0005200208008320333,0.0005200208008320333,0.0005200208008320333
bug_message_keyword_ensur,37,[1],0.003640145605824233,0.003640145605824233,0.0033801352054082163
bug_message_keyword_error,38,[1],0.018200728029121163,0.018200728029121163,0.0171606864274571
bug_message_keyword_except,39,[1],0.03016120644825793,0.03016120644825793,0.02782111284451378
bug_message_keyword_fail,40,[1],0.0436817472698908,0.0436817472698908,0.0405616224648986
bug_message_keyword_bugfix,41,[1],0.2233489339573583,0.2233489339573583,0.19708788351534062
bug_message_keyword_garbag,42,[1],0.0033801352054082163,0.0033801352054082163,0.0031201248049922
bug_message_keyword_handl,43,[1],0.02080083203328133,0.02080083203328133,0.018980759230369213
bug_message_keyword_incomplet,44,[1],0.0015600624024961,0.0015600624024961,0.0013000520020800832
bug_message_keyword_inconsist,45,[1],0.004940197607904316,0.004940197607904316,0.0046801872074883
