,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.2345200540784137,0.20288418206399278,0.08066696710229833,1976,626,0.7594158339738662
fine_grained_changes_transformer_80,1,"[0, 1]",0.09860297431275349,0.08481297881928797,0.04497521406038756,710,384,0.6489945155393053
fine_grained_changes_transformer_70,2,"[0, 1]",0.09346552501126634,0.07994592158630014,0.03956737269040108,699,338,0.674059787849566
all_files_test_add,3,[0],0.0023433979269941417,0.0023433979269941417,0.00018026137899954936,25,1,0.9615384615384616
all_files_test_fix,4,[0],0.003334835511491663,0.003334835511491663,0.0014420910319963948,26,11,0.7027027027027027
buggless_if_many_lines_changed,5,[0],0.15953132041460116,0.15069851284362326,0.05570076611086075,1396,374,0.7887005649717513
bugless_if_at_least_2_removed_files,6,[0],0.04849031095087877,0.04713835060838215,0.01252816584046868,470,68,0.8736059479553904
bugless_if_at_least_5_added_files,7,[0],0.07318611987381704,0.0708427219468229,0.015412347904461469,726,86,0.8940886699507389
bugless_if_many_files_changes,8,[0],0.1526813880126183,0.14880576836412798,0.04155024785939612,1433,261,0.845926800472255
bugless_if_not_code_files,9,[0],0.11158179360072104,0.103199639477242,0.031095087877422264,1013,225,0.8182552504038771
no_files_have_modified_status,10,[0],0.011086074808472285,0.011086074808472285,0.0011716989634970709,114,9,0.9268292682926829
refactoring_if_at_least_2_renamed,11,[0],0.03370887787291573,0.0330779630464173,0.008742676881478144,320,54,0.8556149732620321
bug_message_keyword_bad,12,[1],0.0023433979269941417,0.002253267237494367,0.002163136547994592,20,6,0.7692307692307692
bug_message_keyword_broken,13,[1],0.005227579990986931,0.005137449301487156,0.004776926543488057,34,24,0.5862068965517242
bug_message_keyword_bug,14,[1],0.04100946372239748,0.03992789544840018,0.032897701667417754,399,56,0.8769230769230769
bug_message_keyword_close,15,[1],0.049031095087877424,0.04713835060838215,0.042000901306894996,410,134,0.7536764705882353
bug_message_keyword_concurr,16,[1],0.0004506534474988734,0.0004506534474988734,0.000270392068499324,4,1,0.8
bug_message_keyword_correct,17,[1],0.021270842721946823,0.020279405137449302,0.018206399278954483,169,67,0.7161016949152542
bug_message_keyword_corrupt,18,[1],0.0008111762054979721,0.0008111762054979721,0.0006309148264984228,8,1,0.8888888888888888
bug_message_keyword_crash,19,[1],0.0045966651644885085,0.004506534474988734,0.0036953582694907615,44,7,0.8627450980392157
bug_message_keyword_deadlock,20,[1],0.0003605227579990987,0.00018026137899954936,0.00018026137899954936,4,0,1.0
bug_message_keyword_defect,21,[1],0.0007210455159981974,0.0006309148264984228,0.000540784136998648,7,1,0.875
bug_message_keyword_disabl,22,[1],0.008201892744479496,0.007841369986480396,0.007390716538981523,40,51,0.43956043956043955
bug_message_keyword_endless,23,[1],0.000270392068499324,0.000270392068499324,0.00018026137899954936,2,1,0.6666666666666666
bug_message_keyword_ensur,24,[1],0.008201892744479496,0.0077512392969806216,0.00694006309148265,64,27,0.7032967032967032
bug_message_keyword_error,25,[1],0.030914826498422712,0.03010365029292474,0.026498422712933754,256,87,0.7463556851311953
bug_message_keyword_except,26,[1],0.008021631365479946,0.007570977917981073,0.006489409643983777,67,22,0.752808988764045
bug_message_keyword_fail,27,[1],0.01523208652546192,0.014781433077963046,0.01369986480396575,101,68,0.5976331360946745
bug_message_keyword_bugfix,28,[1],0.2707525912573231,0.22956286615592608,0.2049571879224876,2368,636,0.7882822902796272
bug_message_keyword_garbag,29,[1],0.0003605227579990987,0.0003605227579990987,0.000270392068499324,2,2,0.5
