,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.23399692686962836,0.20074970872802797,0.07959745369197778,10522,3336,0.7592726223120219
fine_grained_changes_transformer_80,1,"[0, 1]",0.0991000118197322,0.08545666379616028,0.04263546257366226,3896,1973,0.6638268870335662
fine_grained_changes_transformer_70,2,"[0, 1]",0.09330834304239907,0.08018844030190973,0.04055856677304426,3627,1899,0.6563517915309446
all_files_test_add,3,[0],0.001975583810343954,0.001975583810343954,0.00042213329280853723,108,9,0.9230769230769231
all_files_test_fix,4,[0],0.0039680529524002495,0.003951167620687908,0.0013170558735626362,183,52,0.7787234042553192
buggless_if_many_lines_changed,5,[0],0.15671276362224135,0.1473751751853165,0.054269456123465544,7384,1897,0.7956039219911648
bugless_if_at_least_2_removed_files,6,[0],0.048933691302365634,0.04749843810681661,0.012376948145146312,2523,375,0.870600414078675
bugless_if_at_least_5_added_files,7,[0],0.07490333147594684,0.07262381169478074,0.01588909714131334,3963,473,0.8933724075743914
bugless_if_many_files_changes,8,[0],0.15470340914847272,0.15092109484490823,0.04163922800263411,7805,1357,0.8518882340100415
bugless_if_not_code_files,9,[0],0.111105482667207,0.10200428887425493,0.032402951555983314,5330,1250,0.8100303951367781
no_files_have_modified_status,10,[0],0.011043006939871335,0.011043006939871335,0.0009118079124664405,628,26,0.9602446483180428
refactoring_if_at_least_2_renamed,11,[0],0.03187950627290073,0.031102781014133024,0.0077334819242524016,1653,235,0.8755296610169492
bug_message_keyword_bad,12,[1],0.00249902909342654,0.002414602434864833,0.0022288637860290767,126,22,0.8513513513513513
bug_message_keyword_broken,13,[1],0.0055721594650726914,0.005453962143086301,0.004829204869729666,213,117,0.6454545454545455
bug_message_keyword_bug,14,[1],0.04174053999290816,0.04072742009016767,0.033652466102696586,2129,343,0.8612459546925566
bug_message_keyword_close,15,[1],0.049693531229421,0.04778548874592641,0.04229775593941543,2160,783,0.7339449541284404
bug_message_keyword_concurr,16,[1],0.0008104959221923915,0.0008104959221923915,0.0007091839319183426,26,22,0.5416666666666666
bug_message_keyword_correct,17,[1],0.02019485672796042,0.018860915522685442,0.016615166404944023,836,360,0.6989966555183946
bug_message_keyword_corrupt,18,[1],0.0006416426050689766,0.0006416426050689766,0.0004559039562332202,35,3,0.9210526315789473
bug_message_keyword_crash,19,[1],0.00430575958664708,0.004204447596373031,0.003444607669317664,235,20,0.9215686274509804
bug_message_keyword_deadlock,20,[1],0.0005234452830825861,0.0004727892879455617,0.0004390186245208787,20,11,0.6451612903225806
bug_message_keyword_defect,21,[1],0.0007091839319183426,0.0005403306147949276,0.0004390186245208787,39,3,0.9285714285714286
bug_message_keyword_disabl,22,[1],0.008577748509869476,0.008223156543910305,0.007665940597403036,219,289,0.4311023622047244
bug_message_keyword_endless,23,[1],0.00023639464397278085,0.00021950931226043935,0.00016885331712341488,11,3,0.7857142857142857
bug_message_keyword_ensur,24,[1],0.0077334819242524016,0.007446431285142597,0.0066190500312378634,320,138,0.6986899563318777
bug_message_keyword_error,25,[1],0.03062999172618746,0.02959998649173463,0.02593586951015653,1418,396,0.7816979051819184
bug_message_keyword_except,26,[1],0.007581513938841328,0.007294463299731524,0.0063488847238404,328,121,0.7305122494432071
bug_message_keyword_fail,27,[1],0.015500734511929487,0.01485909190686051,0.013761545345558313,557,361,0.6067538126361656
bug_message_keyword_bugfix,28,[1],0.2657920064839674,0.22540229302804654,0.19892609290309507,12435,3306,0.7899752239374881
bug_message_keyword_garbag,29,[1],0.00037147729767151276,0.00037147729767151276,0.0003039359708221468,11,11,0.5
bug_message_keyword_handl,30,[1],0.023403069753305302,0.02245749117741418,0.02009354473768637,968,418,0.6984126984126984
bug_message_keyword_incomplet,31,[1],0.0011650878881515627,0.0010975465613021968,0.0010468905661651722,45,24,0.6521739130434783
bug_message_keyword_inconsist,32,[1],0.0009962345710281479,0.0009455785758911234,0.00079361059048005,51,8,0.8644067796610169
bug_message_keyword_incorrect,33,[1],0.003241983688769566,0.003073130371646151,0.0027523090691116627,172,20,0.8958333333333333
bug_message_keyword_infinit,34,[1],0.0009793492393158063,0.0009793492393158063,0.000861151917329416,39,19,0.6724137931034483
bug_message_keyword_invalid,35,[1],0.004136906269523665,0.0040018236158249326,0.0035121489961670296,186,59,0.7591836734693878
bug_message_keyword_issue,36,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,37,[1],0.0019080424834945883,0.0018405011566452222,0.0014352531955490265,102,11,0.9026548672566372
bug_message_keyword_loop,38,[1],0.003934282288975567,0.003900511625550884,0.0034783783327423465,114,119,0.4892703862660944
bug_message_keyword_minor,39,[1],0.009050537797815039,0.008780372490417574,0.008341353865896696,212,324,0.3955223880597015
bug_message_keyword_mistak,40,[1],0.0013001705418502947,0.0013001705418502947,0.0012832852101379532,11,66,0.14285714285714285
bug_message_keyword_npe,41,[1],0.001452138527261368,0.0013339412052749777,0.0010637758978775138,78,8,0.9069767441860466
bug_message_keyword_not|work,42,[1],0.0030224743765091266,0.0028367357276733703,0.0022626344494537597,167,12,0.9329608938547487
bug_message_keyword_not|return,43,[1],0.00037147729767151276,0.00037147729767151276,0.0003039359708221468,15,7,0.6818181818181819
bug_message_keyword_of|bound,44,[1],0.00018573864883575638,0.00018573864883575638,0.0001519679854110734,9,2,0.8181818181818181
bug_message_keyword_patch,45,[1],0.012714654779393141,0.012106782837748848,0.011532681559529237,311,442,0.4130146082337317
bug_message_keyword_prevent,46,[1],0.007243807304594499,0.007108724650895767,0.006331999392128058,247,182,0.5757575757575758
bug_message_keyword_problem,47,[1],0.009422015095486552,0.009151849788089087,0.007801023251101768,479,79,0.8584229390681004
bug_message_keyword_properli,48,[1],0.007243807304594499,0.006906100670347669,0.006078719416442936,361,68,0.8414918414918415
bug_message_keyword_race|condit,49,[1],0.0009793492393158063,0.0009793492393158063,0.0009286932441787819,48,10,0.8275862068965517
bug_message_keyword_repair,50,[1],0.00025327997568512235,0.00025327997568512235,0.00020262398054809788,13,2,0.8666666666666667
