,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.2792811770806326,0.2792811770806326,0.26887801400051853,24360,10110,0.7067014795474326
buggless_if_one_file_markdown_ext,1,[0],0.053846901737101376,0.053846901737101376,0.053846901737101376,5779,867,0.8695455913331327
buggless_if_doc_extensions,2,[0],0.06782311381903033,0.06782311381903033,0.06782311381903033,7214,1157,0.8617847330068092
fine_grained_changes_transformer_80,3,"[0, 1]",0.1386764324604615,0.1386764324604615,0.12812743064557947,9943,7173,0.5809184388875905
fine_grained_changes_transformer_70,4,"[0, 1]",0.11478318641431164,0.11478318641431164,0.10561155042779362,7924,6243,0.5593280158113927
all_files_test_add,5,[0],0.010070974850920405,0.010070974850920405,0.010070974850920405,994,249,0.7996781979082864
all_files_test_fix,6,[0],0.004845086855068706,0.004845086855068706,0.004845086855068706,393,205,0.657190635451505
buggless_if_many_lines_changed,7,[],0.0,0.0,0.0,0,0,0.0
buggless_one_file,8,[0],0.6347630930775214,0.6347630930775214,0.6347630930775214,52639,25706,0.6718871657412726
bugless_if_at_least_2_removed_files,9,[0],0.00906630801140783,0.00906630801140783,0.00906630801140783,1023,96,0.9142091152815013
bugless_if_at_least_5_added_files,10,[0],0.013190303344568317,0.013190303344568317,0.013190303344568317,1557,71,0.9563882063882063
bugless_if_many_files_changes,11,[0],0.003791807103966814,0.003791807103966814,0.003791807103966814,440,28,0.9401709401709402
bugless_if_not_code_files,12,[0],0.23260467980295566,0.23260467980295566,0.23260467980295566,22825,5884,0.7950468494200424
no_files_have_modified_status,13,[0],0.0753500129634431,0.0753500129634431,0.0753500129634431,8810,490,0.9473118279569892
refactoring_if_at_least_2_renamed,14,[0],0.0057849364791288565,0.0057849364791288565,0.0057849364791288565,636,78,0.8907563025210083
small_change,15,[1],1.0,1.0,0.9007972517500649,41017,82407,0.33232596577651025
long_change,16,[1],1.0,1.0,0.9007972517500649,41017,82407,0.33232596577651025
bug_message_keyword_bad,17,[1],0.002009333679025149,0.002009333679025149,0.0018391884884625357,234,14,0.9435483870967742
bug_message_keyword_broken,18,[1],0.0048288825512056,0.0048288825512056,0.004310344827586207,517,79,0.8674496644295302
bug_message_keyword_bug,19,[1],0.03276510241120042,0.03276510241120042,0.027563520871143377,3873,171,0.9577151335311573
bug_message_keyword_close,20,[1],0.039692442312678246,0.039692442312678246,0.0340614467202489,4155,744,0.8481322718922228
bug_message_keyword_concurr,21,[1],0.0005023334197562872,0.0005023334197562872,0.00045372050816696913,36,26,0.5806451612903226
bug_message_keyword_correct,22,[1],0.016779556650246306,0.016779556650246306,0.014640588540316309,1742,329,0.8411395461129889
bug_message_keyword_corrupt,23,[1],0.0005671506352087115,0.0005671506352087115,0.0005023334197562872,65,5,0.9285714285714286
bug_message_keyword_crash,24,[1],0.005315011667098781,0.005315011667098781,0.0045210007778065855,640,16,0.975609756097561
bug_message_keyword_deadlock,25,[1],0.0003159839253305678,0.0003159839253305678,0.00025926886180969663,31,8,0.7948717948717949
bug_message_keyword_defect,26,[1],0.0005428441794140524,0.0005428441794140524,0.0003645968369198859,64,3,0.9552238805970149
bug_message_keyword_disabl,27,[1],0.008993388644023853,0.008993388644023853,0.008134560539279233,752,358,0.6774774774774774
bug_message_keyword_endless,28,[1],0.00017014519056261342,0.00017014519056261342,0.0001620430386310604,15,6,0.7142857142857143
bug_message_keyword_ensur,29,[1],0.006554640912626393,0.006554640912626393,0.005849753694581281,652,157,0.8059332509270705
bug_message_keyword_error,30,[1],0.029418913663469017,0.029418913663469017,0.025424552761213377,3389,242,0.9333516937482786
bug_message_keyword_except,31,[1],0.0063682914182006745,0.0063682914182006745,0.005420339642208971,706,80,0.8982188295165394
bug_message_keyword_fail,32,[1],0.01634204044594244,0.01634204044594244,0.015159126263935702,1371,646,0.6797223599405057
bug_message_keyword_bugfix,33,[1],0.29026769509981853,0.29026769509981853,0.2417925200933368,31423,4403,0.8771004298554123
bug_message_keyword_garbag,34,[1],0.00017014519056261342,0.00017014519056261342,0.0001620430386310604,12,9,0.5714285714285714
bug_message_keyword_handl,35,[1],0.012712276380606688,0.012712276380606688,0.010937905107596577,1324,245,0.8438495857233907
bug_message_keyword_incomplet,36,[1],0.0005509463313456054,0.0005509463313456054,0.0005104355716878402,49,19,0.7205882352941176
bug_message_keyword_inconsist,37,[1],0.0005914570910033705,0.0005914570910033705,0.0005185377236193933,68,5,0.9315068493150684
bug_message_keyword_incorrect,38,[1],0.0032975758361420793,0.0032975758361420793,0.002770935960591133,393,14,0.9656019656019657
bug_message_keyword_infinit,39,[1],0.0007372958257713249,0.0007372958257713249,0.0005833549390718175,78,13,0.8571428571428572
bug_message_keyword_invalid,40,[1],0.0037431941923774955,0.0037431941923774955,0.0032813715322789734,430,32,0.9307359307359307
bug_message_keyword_issue,41,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,42,[1],0.0015151024112004148,0.0015151024112004148,0.0013125486129115893,184,3,0.9839572192513368
bug_message_keyword_loop,43,[1],0.0022523982369717396,0.0022523982369717396,0.0020012315270935962,189,89,0.6798561151079137
bug_message_keyword_minor,44,[1],0.007397264713507908,0.007397264713507908,0.006587049520352606,535,378,0.5859802847754655
bug_message_keyword_mistak,45,[1],0.0010694840549649988,0.0010694840549649988,0.0010451775991703396,68,64,0.5151515151515151
bug_message_keyword_npe,46,[1],0.0025683821623023076,0.0025683821623023076,0.002268602540834846,316,1,0.9968454258675079
bug_message_keyword_not|work,47,[1],0.0025197692507129893,0.0025197692507129893,0.001968822919367384,303,8,0.9742765273311897
bug_message_keyword_not|return,48,[1],0.00033218822919367383,0.00033218822919367383,0.0002754731656728027,41,0,1.0
bug_message_keyword_of|bound,49,[1],0.00021065595022037853,0.00021065595022037853,0.00017824734249416644,26,0,1.0
bug_message_keyword_patch,50,[1],0.013093077521389681,0.013093077521389681,0.012331475239823697,910,706,0.5631188118811881
bug_message_keyword_prevent,51,[1],0.006497925849105523,0.006497925849105523,0.005679608504018667,656,146,0.8179551122194514
bug_message_keyword_problem,52,[1],0.007648431423386052,0.007648431423386052,0.006822011926367643,867,77,0.9184322033898304
bug_message_keyword_properli,53,[1],0.004342753435312419,0.004342753435312419,0.0037512963443090486,504,32,0.9402985074626866
bug_message_keyword_race|condit,54,[1],0.0005833549390718175,0.0005833549390718175,0.0005266398755509464,70,2,0.9722222222222222
bug_message_keyword_repair,55,[1],0.00029977962146746177,0.00029977962146746177,0.00029167746953590875,35,2,0.9459459459459459
bug_message_keyword_resolv,56,[1],0.010395060928182525,0.010395060928182525,0.008782732693803474,967,316,0.7537022603273578
bug_message_keyword_threw,57,[1],0.002422543427534353,0.002422543427534353,0.001968822919367384,255,44,0.8528428093645485
bug_message_keyword_timeout,58,[1],0.002398236971739694,0.002398236971739694,0.0021470702618615503,205,91,0.6925675675675675
bug_message_keyword_unabl,59,[1],0.0007453979777028779,0.0007453979777028779,0.0006076613948664765,86,6,0.9347826086956521
bug_message_keyword_unclos,60,[1],4.05107596577651e-05,4.05107596577651e-05,3.240860772621208e-05,5,0,1.0
bug_message_keyword_unexpect,61,[1],0.0006400700025926886,0.0006400700025926886,0.0005671506352087115,57,22,0.7215189873417721
