,j,Polarity,Coverage,Overlaps,Conflicts
fine_grained_changes_transformer_90,0,"[0, 1]",0.2645978307883513,0.2645978307883513,0.21584258159181371
buggless_if_one_file_markdown_ext,1,[0],0.04122159137571381,0.04122159137571381,0.03731241137275729
buggless_if_doc_extensions,2,[0],0.05346926037657339,0.05346926037657339,0.04760001533011766
fine_grained_changes_transformer_80,3,"[0, 1]",0.12584384085147854,0.12584384085147854,0.10658264302178519
fine_grained_changes_transformer_70,4,"[0, 1]",0.10782000251851932,0.10782000251851932,0.09020131729511024
all_files_test_add,5,[0],0.0074460571484886145,0.0074460571484886145,0.007040904038938499
all_files_test_fix,6,[0],0.004560710003449276,0.004560710003449276,0.0037777789944537826
buggless_if_many_lines_changed,7,[0],0.05081386499641385,0.05081386499641385,0.020931085646082332
buggless_one_file,8,[0],0.47720466254578503,0.47720466254578503,0.448838469835256
bugless_if_at_least_2_removed_files,9,[0],0.021993243798146152,0.021993243798146152,0.01115266059667008
bugless_if_at_least_5_added_files,10,[0],0.0332006548150257,0.0332006548150257,0.015532694213428087
bugless_if_many_files_changes,11,[0],0.05272465466172453,0.05272465466172453,0.019042196148855443
bugless_if_not_code_files,12,[0],0.1932087578772167,0.1932087578772167,0.16968250231320525
no_files_have_modified_status,13,[0],0.05449856827651152,0.05449856827651152,0.051290193652236284
refactoring_if_at_least_2_renamed,14,[0],0.014246059338505423,0.014246059338505423,0.007024478912875656
small_change,15,[1],0.6757515863934256,0.6591019836077242,0.6273467398862286
large_change,16,[0],0.3242484136065744,0.3084529173761409,0.15070053162658023
bug_message_keyword_bad,17,[1],0.0021681166402952143,0.0021681166402952143,0.0020859910099810014
bug_message_keyword_broken,18,[1],0.005069888911397395,0.005069888911397395,0.004872787398643285
bug_message_keyword_bug,19,[1],0.03567537380849398,0.03567537380849398,0.03331015565544466
bug_message_keyword_close,20,[1],0.04293527952827038,0.04293527952827038,0.04095878935870833
bug_message_keyword_concurr,21,[1],0.0006022546223042261,0.0006022546223042261,0.0005803544542204362
bug_message_keyword_correct,22,[1],0.01788696228243552,0.01788696228243552,0.016879554550581176
bug_message_keyword_corrupt,23,[1],0.0005913045382623312,0.0005913045382623312,0.0005584542861366461
bug_message_keyword_crash,24,[1],0.004987763281083182,0.004987763281083182,0.004714011180035807
bug_message_keyword_deadlock,25,[1],0.00038325294146632574,0.00038325294146632574,0.0003668278154034832
bug_message_keyword_defect,26,[1],0.0005967795802832786,0.0005967795802832786,0.000492753781885276
bug_message_keyword_disabl,27,[1],0.008858617989893073,0.008858617989893073,0.008475365048426747
bug_message_keyword_endless,28,[1],0.00019162647073316287,0.00019162647073316287,0.00018615142871221537
bug_message_keyword_ensur,29,[1],0.006936878240540496,0.006936878240540496,0.006674076223535015
bug_message_keyword_error,30,[1],0.029811603804059197,0.029811603804059197,0.02810886573554452
bug_message_keyword_except,31,[1],0.006761676895870176,0.006761676895870176,0.0064167492485504825
bug_message_keyword_fail,32,[1],0.016069248331480945,0.016069248331480945,0.015625769927784194
bug_message_keyword_bugfix,33,[1],0.2823314918942003,0.2823314918942003,0.2617836591895843
bug_message_keyword_garbag,34,[1],0.00023542680690074295,0.00023542680690074295,0.00023542680690074295
bug_message_keyword_handl,35,[1],0.016178749171899893,0.016178749171899893,0.015445093541092927
bug_message_keyword_incomplet,36,[1],0.000750080756869809,0.000750080756869809,0.0007281805887860189
bug_message_keyword_inconsist,37,[1],0.0007227055467650714,0.0007227055467650714,0.0006953303366603339
bug_message_keyword_incorrect,38,[1],0.003279550170547559,0.003279550170547559,0.003148149162044819
bug_message_keyword_infinit,39,[1],0.0008157812611211791,0.0008157812611211791,0.000739130672827914
bug_message_keyword_invalid,40,[1],0.00387085470880989,0.00387085470880989,0.0036956533641395698
bug_message_keyword_issue,41,[],0.0,0.0,0.0
bug_message_keyword_leak,42,[1],0.0016425126062842533,0.0016425126062842533,0.0015384868078862505
bug_message_keyword_loop,43,[1],0.002797746472704178,0.002797746472704178,0.0026882456322852278
bug_message_keyword_minor,44,[1],0.007933335888352943,0.007933335888352943,0.007429632022425772
bug_message_keyword_mistak,45,[1],0.0011442837823780298,0.0011442837823780298,0.0011388087403570823
bug_message_keyword_npe,46,[1],0.0022064419344418468,0.0022064419344418468,0.0021352663881695293
bug_message_keyword_not|work,47,[1],0.0026827705902642803,0.0026827705902642803,0.002474718993468275
bug_message_keyword_not|return,48,[1],0.00034492764731969315,0.00034492764731969315,0.0003120773951940081
bug_message_keyword_of|bound,49,[1],0.0002025765547750579,0.0002025765547750579,0.00019162647073316287
bug_message_keyword_patch,50,[1],0.012970374547624654,0.012970374547624654,0.012521421101906956
bug_message_keyword_prevent,51,[1],0.006739776727786386,0.006739776727786386,0.0063838989964247975
bug_message_keyword_problem,52,[1],0.008223513115463162,0.008223513115463162,0.00787311042612252
bug_message_keyword_properli,53,[1],0.005283415550214348,0.005283415550214348,0.005069888911397395
bug_message_keyword_race|condit,54,[1],0.0007117554627231764,0.0007117554627231764,0.0007008053786812814
bug_message_keyword_repair,55,[1],0.0002847021850892706,0.0002847021850892706,0.00027922714306832303
bug_message_keyword_resolv,56,[1],0.0123188445471319,0.0123188445471319,0.011661839504618198
bug_message_keyword_threw,57,[1],0.0030167481535420784,0.0030167481535420784,0.0028798721030183906
bug_message_keyword_timeout,58,[1],0.0024309186573006946,0.0024309186573006946,0.0022995176487979547
bug_message_keyword_unabl,59,[1],0.000750080756869809,0.000750080756869809,0.0007227055467650714
bug_message_keyword_unclos,60,[1],4.92753781885276e-05,4.92753781885276e-05,4.380033616758009e-05
bug_message_keyword_unexpect,61,[1],0.0006515300004927538,0.0006515300004927538,0.0006241547903880162
bug_message_keyword_unknown,62,[1],0.0014344610094882478,0.0014344610094882478,0.0014070857993835103
bug_message_keyword_unsynchron,63,[],0.0,0.0,0.0
bug_message_keyword_wrong,64,[1],0.005316265802340033,0.005316265802340033,0.005020613533208867
bugless_message_keyword_abil,65,[0],0.0028579719349346006,0.0028579719349346006,0.002151691514232372
bugless_message_keyword_ad,66,[0],0.07062804207022289,0.07062804207022289,0.05624510668119378
bugless_message_keyword_add,67,[0],0.0998757165461245,0.0998757165461245,0.08201065443177276
bugless_message_keyword_addit,68,[0],0.004746861432161492,0.004746861432161492,0.003925605129019365
bugless_message_keyword_allow,69,[0],0.016063773289459998,0.016063773289459998,0.013632854632159302
bugless_message_keyword_analysi,70,[0],0.0010895333621685546,0.0010895333621685546,0.0008924318494144442
bugless_message_keyword_avoid,71,[0],0.00787311042612252,0.00787311042612252,0.007265380761797347
bugless_message_keyword_baselin,72,[0],0.0001971015127541104,0.0001971015127541104,0.00013687605052368777
bugless_message_keyword_beautification,73,[],0.0,0.0,0.0
