,j,Polarity,Coverage,Overlaps,Conflicts
all_files_test_add,0,[],0.0,0.0,0.0
all_files_test_fix,1,[0],0.025,0.025,0.025
buggless_if_many_lines_changed,2,[0],0.025,0.025,0.0
buggless_one_file,3,[0],0.475,0.475,0.45
bugless_if_at_least_2_removed_files,4,[],0.0,0.0,0.0
bugless_if_at_least_5_added_files,5,[0],0.05,0.05,0.0
bugless_if_many_files_changes,6,[],0.0,0.0,0.0
bugless_if_not_code_files,7,[0],0.2,0.2,0.15
no_files_have_modified_status,8,[0],0.025,0.025,0.025
refactoring_if_at_least_2_renamed,9,[],0.0,0.0,0.0
buggless_if_doc_extensions,10,[0],0.05,0.05,0.025
buggless_if_one_file_markdown_ext,11,[0],0.05,0.05,0.025
fine_grained_changes_transformer_70,12,"[0, 1]",0.075,0.075,0.075
fine_grained_changes_transformer_80,13,"[0, 1]",0.15,0.15,0.1
fine_grained_changes_transformer_90,14,"[0, 1]",0.275,0.275,0.225
bug_issue_body_keyword_bad,15,[],0.0,0.0,0.0
bug_issue_body_keyword_broken,16,[],0.0,0.0,0.0
bug_issue_body_keyword_bug,17,[1],0.05,0.05,0.05
bug_issue_body_keyword_close,18,[],0.0,0.0,0.0
bug_issue_body_keyword_correct,19,[],0.0,0.0,0.0
bug_issue_body_keyword_corrupt,20,[],0.0,0.0,0.0
bug_issue_body_keyword_crash,21,[1],0.025,0.025,0.025
bug_issue_body_keyword_defect,22,[],0.0,0.0,0.0
bug_issue_body_keyword_disabl,23,[1],0.025,0.025,0.025
bug_issue_body_keyword_endless,24,[],0.0,0.0,0.0
bug_issue_body_keyword_ensur,25,[],0.0,0.0,0.0
bug_issue_body_keyword_error,26,[1],0.05,0.05,0.05
bug_issue_body_keyword_except,27,[],0.0,0.0,0.0
bug_issue_body_keyword_fail,28,[],0.0,0.0,0.0
bug_issue_body_keyword_bugfix,29,[1],0.025,0.025,0.025
bug_issue_body_keyword_garbag,30,[],0.0,0.0,0.0
bug_issue_body_keyword_handl,31,[1],0.025,0.025,0.025
bug_issue_body_keyword_incomplet,32,[],0.0,0.0,0.0
bug_issue_body_keyword_inconsist,33,[],0.0,0.0,0.0
bug_issue_body_keyword_incorrect,34,[],0.0,0.0,0.0
bug_issue_body_keyword_infinit,35,[],0.0,0.0,0.0
bug_issue_body_keyword_invalid,36,[],0.0,0.0,0.0
bug_issue_body_keyword_issue,37,[],0.0,0.0,0.0
bug_issue_body_keyword_leak,38,[],0.0,0.0,0.0
bug_issue_body_keyword_loop,39,[],0.0,0.0,0.0
bug_issue_body_keyword_minor,40,[],0.0,0.0,0.0
bug_issue_body_keyword_mistak,41,[],0.0,0.0,0.0
bug_issue_body_keyword_npe,42,[],0.0,0.0,0.0
bug_issue_body_keyword_not|work,43,[],0.0,0.0,0.0
bug_issue_body_keyword_not|return,44,[],0.0,0.0,0.0
bug_issue_body_keyword_of|bound,45,[],0.0,0.0,0.0
bug_issue_body_keyword_patch,46,[],0.0,0.0,0.0
bug_issue_body_keyword_prevent,47,[],0.0,0.0,0.0
bug_issue_body_keyword_problem,48,[1],0.025,0.025,0.025
bug_issue_body_keyword_properli,49,[1],0.025,0.025,0.025
bug_issue_body_keyword_repair,50,[],0.0,0.0,0.0
bug_issue_body_keyword_resolv,51,[1],0.025,0.025,0.025
bug_issue_body_keyword_threw,52,[],0.0,0.0,0.0
bug_issue_body_keyword_timeout,53,[],0.0,0.0,0.0
bug_issue_body_keyword_unabl,54,[],0.0,0.0,0.0
bug_issue_body_keyword_unclos,55,[],0.0,0.0,0.0
bug_issue_body_keyword_unexpect,56,[],0.0,0.0,0.0
bug_issue_body_keyword_unknown,57,[],0.0,0.0,0.0
bug_issue_body_keyword_unsynchron,58,[],0.0,0.0,0.0
bug_issue_body_keyword_wrong,59,[1],0.025,0.025,0.025
bug_issue_label_keyword_bug,60,[1],0.2,0.2,0.2
bug_issue_label_keyword_fixed,61,[],0.0,0.0,0.0
bug_issue_label_keyword_fix,62,[1],0.025,0.025,0.025
bug_issue_label_keyword_error,63,[],0.0,0.0,0.0
bug_message_keyword_bad,64,[],0.0,0.0,0.0
bug_message_keyword_broken,65,[],0.0,0.0,0.0
bug_message_keyword_bug,66,[1],0.075,0.075,0.075
bug_message_keyword_close,67,[1],0.025,0.025,0.025
bug_message_keyword_correct,68,[],0.0,0.0,0.0
bug_message_keyword_corrupt,69,[],0.0,0.0,0.0
bug_message_keyword_crash,70,[],0.0,0.0,0.0
bug_message_keyword_defect,71,[],0.0,0.0,0.0
bug_message_keyword_disabl,72,[],0.0,0.0,0.0
bug_message_keyword_endless,73,[],0.0,0.0,0.0
bug_message_keyword_ensur,74,[],0.0,0.0,0.0
bug_message_keyword_error,75,[1],0.1,0.1,0.1
bug_message_keyword_except,76,[],0.0,0.0,0.0
bug_message_keyword_fail,77,[1],0.025,0.025,0.025
bug_message_keyword_bugfix,78,[1],0.375,0.375,0.35
bug_message_keyword_garbag,79,[],0.0,0.0,0.0
bug_message_keyword_handl,80,[],0.0,0.0,0.0
bug_message_keyword_incomplet,81,[],0.0,0.0,0.0
bug_message_keyword_inconsist,82,[],0.0,0.0,0.0
bug_message_keyword_incorrect,83,[],0.0,0.0,0.0
bug_message_keyword_infinit,84,[],0.0,0.0,0.0
bug_message_keyword_invalid,85,[],0.0,0.0,0.0
bug_message_keyword_issue,86,[],0.0,0.0,0.0
bug_message_keyword_leak,87,[],0.0,0.0,0.0
bug_message_keyword_loop,88,[],0.0,0.0,0.0
bug_message_keyword_minor,89,[],0.0,0.0,0.0
bug_message_keyword_mistak,90,[],0.0,0.0,0.0
bug_message_keyword_npe,91,[],0.0,0.0,0.0
bug_message_keyword_not|work,92,[1],0.025,0.025,0.025
bug_message_keyword_not|return,93,[],0.0,0.0,0.0
bug_message_keyword_of|bound,94,[],0.0,0.0,0.0
bug_message_keyword_patch,95,[],0.0,0.0,0.0
bug_message_keyword_prevent,96,[],0.0,0.0,0.0
bug_message_keyword_problem,97,[],0.0,0.0,0.0
bug_message_keyword_properli,98,[],0.0,0.0,0.0
bug_message_keyword_repair,99,[],0.0,0.0,0.0
bug_message_keyword_resolv,100,[],0.0,0.0,0.0
bug_message_keyword_threw,101,[],0.0,0.0,0.0
bug_message_keyword_timeout,102,[],0.0,0.0,0.0
bug_message_keyword_unabl,103,[],0.0,0.0,0.0
bug_message_keyword_unclos,104,[],0.0,0.0,0.0
bug_message_keyword_unexpect,105,[],0.0,0.0,0.0
bug_message_keyword_unknown,106,[],0.0,0.0,0.0
bug_message_keyword_unsynchron,107,[],0.0,0.0,0.0
bug_message_keyword_wrong,108,[],0.0,0.0,0.0
bugless_message_keyword_abil,109,[],0.0,0.0,0.0
bugless_message_keyword_ad,110,[0],0.025,0.025,0.0
bugless_message_keyword_add,111,[0],0.1,0.1,0.075
bugless_message_keyword_addit,112,[],0.0,0.0,0.0
bugless_message_keyword_allow,113,[],0.0,0.0,0.0
bugless_message_keyword_analysi,114,[],0.0,0.0,0.0
bugless_message_keyword_avoid,115,[],0.0,0.0,0.0
bugless_message_keyword_baselin,116,[],0.0,0.0,0.0
bugless_message_keyword_benchmark,117,[],0.0,0.0,0.0
bugless_message_keyword_better,118,[],0.0,0.0,0.0
bugless_message_keyword_chang|log,119,[],0.0,0.0,0.0
bugless_message_keyword_clean,120,[],0.0,0.0,0.0
bugless_message_keyword_comment,121,[],0.0,0.0,0.0
bugless_message_keyword_complet,122,[],0.0,0.0,0.0
bugless_message_keyword_configur|chang,123,[],0.0,0.0,0.0
bugless_message_keyword_consolid,124,[],0.0,0.0,0.0
bugless_message_keyword_convert,125,[0],0.025,0.025,0.025
bugless_message_keyword_coverag,126,[0],0.025,0.025,0.025
bugless_message_keyword_create,127,[],0.0,0.0,0.0
bugless_message_keyword_deprec,128,[],0.0,0.0,0.0
bugless_message_keyword_develop,129,[0],0.025,0.025,0.025
bugless_message_keyword_doc,130,[0],0.05,0.05,0.05
bugless_message_keyword_drop,131,[],0.0,0.0,0.0
bugless_message_keyword_enhanc,132,[],0.0,0.0,0.0
bugless_message_keyword_exampl,133,[],0.0,0.0,0.0
bugless_message_keyword_exclud,134,[],0.0,0.0,0.0
bugless_message_keyword_expand,135,[],0.0,0.0,0.0
bugless_message_keyword_extendgener,136,[],0.0,0.0,0.0
bugless_message_keyword_featur,137,[],0.0,0.0,0.0
