,j,Polarity,Coverage,Overlaps,Conflicts
fine_grained_changes_transformer_90,0,"[0, 1]",0.2664575586095392,0.2298916734033953,0.08967502021018593
fine_grained_changes_transformer_80,1,"[0, 1]",0.12648666127728375,0.10786095392077608,0.05591592562651576
fine_grained_changes_transformer_70,2,"[0, 1]",0.10825545675020211,0.09289571544058205,0.0494357316087308
all_files_test_add,3,[0],0.00832336297493937,0.008265157639450283,0.0021083265966046886
all_files_test_fix,4,[0],0.004966855295068714,0.004882780921584479,0.001978981406628941
buggless_if_many_lines_changed,5,[0],0.04336944219886823,0.04067906224737267,0.0158965238480194
bugless_if_at_least_2_removed_files,6,[0],0.018845594179466452,0.018088924818108327,0.004934518997574778
bugless_if_at_least_5_added_files,7,[0],0.02861115602263541,0.027608730800323365,0.005684721099434115
bugless_if_many_files_changes,8,[0],0.044818108326596606,0.04384155214227971,0.011990299110751819
bugless_if_not_code_files,9,[0],0.20144866612772838,0.18826839126919967,0.06619886822958772
no_files_have_modified_status,10,[0],0.05868391269199676,0.05462894098625708,0.010735650767987066
refactoring_if_at_least_2_renamed,11,[0],0.012481810832659661,0.011867421180274859,0.003091350040420372
bug_message_keyword_bad,12,[1],0.002276475343573161,0.002198868229587712,0.0017008892481810832
bug_message_keyword_broken,13,[1],0.004869846402586904,0.0047534357316087305,0.00378981406628941
bug_message_keyword_bug,14,[1],0.031295068714632175,0.0305642683912692,0.020649959579628133
bug_message_keyword_close,15,[1],0.04657073565076799,0.04429426030719483,0.03414713015359741
bug_message_keyword_concurr,16,[1],0.0005949878738884397,0.000582053354890865,0.0005238480194017785
bug_message_keyword_correct,17,[1],0.018871463217461602,0.017274050121261115,0.013419563459983831
bug_message_keyword_corrupt,18,[1],0.0006143896523848019,0.0006079223928860145,0.0004268391269199677
bug_message_keyword_crash,19,[1],0.005018593371059013,0.004940986257073565,0.0031495553759094586
bug_message_keyword_deadlock,20,[1],0.00038156831042845593,0.0003621665319320938,0.00030396119644300726
bug_message_keyword_defect,21,[1],0.000116410670978173,0.00010347615198059821,6.467259498787389e-05
bug_message_keyword_disabl,22,[1],0.009144704931285368,0.008362166531932095,0.006945836701697655
bug_message_keyword_endless,23,[1],0.00018755052546483427,0.0001746160064672595,0.00012934518997574778
bug_message_keyword_ensur,24,[1],0.007172190784155214,0.006894098625707356,0.005626515763945028
bug_message_keyword_error,25,[1],0.029924009700889247,0.02868229587712207,0.020895715440582052
bug_message_keyword_except,26,[1],0.006907033144704931,0.006518997574777688,0.0047534357316087305
bug_message_keyword_fail,27,[1],0.015786580436540017,0.015172190784155215,0.012714632174616006
bug_message_keyword_bugfix,28,[1],0.27269846402586906,0.22977526273241713,0.166053354890865
bug_message_keyword_garbag,29,[1],0.00023928860145513338,0.00023928860145513338,0.00018755052546483427
bug_message_keyword_handl,30,[1],0.016685529506871462,0.01590299110751819,0.01250767987065481
bug_message_keyword_incomplet,31,[1],0.000847210994341148,0.0008019401778496362,0.0007437348423605497
bug_message_keyword_inconsist,32,[1],0.0007113985448666128,0.0006725949878738885,0.000497978981406629
bug_message_keyword_incorrect,33,[1],0.003337105901374293,0.0031495553759094586,0.002114793856103476
bug_message_keyword_infinit,34,[1],0.0008730800323362975,0.0008666127728375101,0.0006143896523848019
