,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,[],0.0,0.0,0.0,0,0,0.0
buggless_if_one_file_markdown_ext,1,[0],0.029750479846449136,0.029750479846449136,0.005758157389635317,29,2,0.935483870967742
buggless_if_doc_extensions,2,[0],0.03934740882917467,0.03934740882917467,0.0067178502879078695,39,2,0.9512195121951219
fine_grained_changes_transformer_80,3,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer_70,4,[0],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
all_files_test_add,5,[0],0.005758157389635317,0.005758157389635317,0.0019193857965451055,4,2,0.6666666666666666
all_files_test_fix,6,[0],0.009596928982725527,0.009596928982725527,0.0009596928982725527,9,1,0.9
buggless_if_many_lines_changed,7,[0],0.08349328214971209,0.07773512476007678,0.02111324376199616,75,12,0.8620689655172413
buggless_one_file,8,[0],0.43857965451055664,0.3714011516314779,0.12284069097888675,351,106,0.7680525164113785
bugless_if_at_least_2_removed_files,9,[0],0.016314779270633396,0.016314779270633396,0.003838771593090211,15,2,0.8823529411764706
bugless_if_at_least_5_added_files,10,[0],0.01055662188099808,0.01055662188099808,0.003838771593090211,10,1,0.9090909090909092
bugless_if_many_files_changes,11,[0],0.03262955854126679,0.03262955854126679,0.009596928982725527,29,5,0.8529411764705883
bugless_if_not_code_files,12,[0],0.19961612284069097,0.18809980806142035,0.04030710172744722,181,27,0.8701923076923077
no_files_have_modified_status,13,[0],0.036468330134357005,0.0345489443378119,0.003838771593090211,36,2,0.9473684210526316
refactoring_if_at_least_2_renamed,14,[0],0.007677543186180422,0.007677543186180422,0.0009596928982725527,8,0,1.0
small_change,15,[1],0.0019193857965451055,0.0019193857965451055,0.0019193857965451055,1,1,0.5
large_change,16,[0],0.0028790786948176585,0.0028790786948176585,0.0028790786948176585,1,2,0.33333333333333337
bug_message_keyword_bad,17,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,18,[1],0.0028790786948176585,0.0028790786948176585,0.0028790786948176585,2,1,0.6666666666666666
bug_message_keyword_bug,19,[1],0.02783109404990403,0.02495201535508637,0.022072936660268713,21,8,0.7241379310344828
bug_message_keyword_close,20,[1],0.014395393474088292,0.013435700575815739,0.013435700575815739,6,9,0.4
bug_message_keyword_concurr,21,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
bug_message_keyword_correct,22,[1],0.011516314779270634,0.009596928982725527,0.008637236084452975,6,6,0.5
bug_message_keyword_corrupt,23,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bug_message_keyword_crash,24,[1],0.0028790786948176585,0.0028790786948176585,0.0028790786948176585,3,0,1.0
bug_message_keyword_deadlock,25,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,26,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
bug_message_keyword_disabl,27,[1],0.009596928982725527,0.007677543186180422,0.007677543186180422,0,10,0.0
bug_message_keyword_endless,28,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,29,[1],0.0067178502879078695,0.005758157389635317,0.005758157389635317,3,4,0.4285714285714286
bug_message_keyword_error,30,[1],0.029750479846449136,0.028790786948176585,0.023032629558541268,17,14,0.5483870967741935
bug_message_keyword_except,31,[1],0.003838771593090211,0.003838771593090211,0.0028790786948176585,1,3,0.25
bug_message_keyword_fail,32,[1],0.009596928982725527,0.009596928982725527,0.007677543186180422,7,3,0.7
bug_message_keyword_bugfix,33,[1],0.1765834932821497,0.15067178502879078,0.1362763915547025,149,35,0.8097826086956521
bug_message_keyword_garbag,34,[1],0.0019193857965451055,0.0019193857965451055,0.0009596928982725527,2,0,1.0
bug_message_keyword_handl,35,[1],0.013435700575815739,0.011516314779270634,0.01055662188099808,6,8,0.4285714285714286
bug_message_keyword_incomplet,36,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,37,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_incorrect,38,[1],0.003838771593090211,0.003838771593090211,0.0028790786948176585,2,2,0.5
bug_message_keyword_infinit,39,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_invalid,40,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_issue,41,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,42,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bug_message_keyword_loop,43,[1],0.0019193857965451055,0.0019193857965451055,0.0019193857965451055,0,2,0.0
bug_message_keyword_minor,44,[1],0.008637236084452975,0.008637236084452975,0.0067178502879078695,6,3,0.6666666666666666
bug_message_keyword_mistak,45,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,46,[1],0.0028790786948176585,0.0028790786948176585,0.0028790786948176585,2,1,0.6666666666666666
bug_message_keyword_not|work,47,[1],0.0028790786948176585,0.0028790786948176585,0.0009596928982725527,3,0,1.0
bug_message_keyword_not|return,48,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_of|bound,49,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,50,[1],0.014395393474088292,0.014395393474088292,0.013435700575815739,3,12,0.2
bug_message_keyword_prevent,51,[1],0.005758157389635317,0.0047984644913627635,0.0047984644913627635,4,2,0.6666666666666666
bug_message_keyword_problem,52,[1],0.007677543186180422,0.007677543186180422,0.007677543186180422,6,2,0.75
bug_message_keyword_properli,53,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bug_message_keyword_race|condit,54,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_repair,55,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_resolv,56,[1],0.0028790786948176585,0.0028790786948176585,0.0028790786948176585,1,2,0.33333333333333337
bug_message_keyword_threw,57,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_timeout,58,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
bug_message_keyword_unabl,59,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unclos,60,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unexpect,61,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unknown,62,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
bug_message_keyword_unsynchron,63,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,64,[1],0.007677543186180422,0.0067178502879078695,0.005758157389635317,5,3,0.625
bugless_message_keyword_abil,65,[0],0.0009596928982725527,0.0009596928982725527,0.0,1,0,1.0
bugless_message_keyword_ad,66,[0],0.06429942418426103,0.0508637236084453,0.016314779270633396,56,11,0.835820895522388
bugless_message_keyword_add,67,[0],0.11516314779270634,0.0873320537428023,0.02495201535508637,107,13,0.8916666666666666
bugless_message_keyword_addit,68,[0],0.008637236084452975,0.0067178502879078695,0.0047984644913627635,6,3,0.6666666666666666
bugless_message_keyword_allow,69,[0],0.014395393474088292,0.011516314779270634,0.005758157389635317,14,1,0.9333333333333333
bugless_message_keyword_analysi,70,[0],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bugless_message_keyword_avoid,71,[0],0.005758157389635317,0.005758157389635317,0.0019193857965451055,3,3,0.5
bugless_message_keyword_baselin,72,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_beautification,73,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_benchmark,74,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_better,75,[0],0.007677543186180422,0.0067178502879078695,0.003838771593090211,6,2,0.75
bugless_message_keyword_bump,76,[0],0.02111324376199616,0.016314779270633396,0.0009596928982725527,21,1,0.9545454545454546
bugless_message_keyword_chang|log,77,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_clean,78,[0],0.022072936660268713,0.019193857965451054,0.0047984644913627635,21,2,0.9130434782608696
bugless_message_keyword_comment,79,[0],0.014395393474088292,0.012476007677543186,0.0028790786948176585,14,1,0.9333333333333333
bugless_message_keyword_complet,80,[0],0.0067178502879078695,0.005758157389635317,0.0028790786948176585,6,1,0.8571428571428572
bugless_message_keyword_configur|chang,81,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_consolid,82,[0],0.0009596928982725527,0.0009596928982725527,0.0,1,0,1.0
bugless_message_keyword_convert,83,[0],0.005758157389635317,0.005758157389635317,0.0009596928982725527,6,0,1.0
bugless_message_keyword_coverag,84,[0],0.0009596928982725527,0.0009596928982725527,0.0,1,0,1.0
bugless_message_keyword_create,85,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_deprec,86,[0],0.0047984644913627635,0.0047984644913627635,0.0009596928982725527,5,0,1.0
bugless_message_keyword_develop,87,[0],0.008637236084452975,0.003838771593090211,0.0,9,0,1.0
