,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.14390243902439023,0.14390243902439023,0.13170731707317074,40,19,0.6779661016949152
buggless_if_one_file_markdown_ext,1,[],0.0,0.0,0.0,0,0,0.0
buggless_if_doc_extensions,2,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer_80,3,"[0, 1]",0.15121951219512195,0.15121951219512195,0.13414634146341464,43,19,0.6935483870967742
fine_grained_changes_transformer_70,4,"[0, 1]",0.14146341463414633,0.14146341463414633,0.12195121951219512,35,23,0.603448275862069
all_files_test_add,5,[0],0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,1,0,1.0
all_files_test_fix,6,[0],0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,1,0,1.0
buggless_if_many_lines_changed,7,[],0.0,0.0,0.0,0,0,0.0
buggless_one_file,8,[0],0.6219512195121951,0.6219512195121951,0.6219512195121951,115,140,0.45098039215686275
bugless_if_at_least_2_removed_files,9,[],0.0,0.0,0.0,0,0,0.0
bugless_if_at_least_5_added_files,10,[],0.0,0.0,0.0,0,0,0.0
bugless_if_many_files_changes,11,[],0.0,0.0,0.0,0,0,0.0
bugless_if_not_code_files,12,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,13,[],0.0,0.0,0.0,0,0,0.0
refactoring_if_at_least_2_renamed,14,[],0.0,0.0,0.0,0,0,0.0
small_change,15,[1],1.0,1.0,0.8463414634146341,219,191,0.5341463414634147
long_change,16,[1],1.0,1.0,0.8463414634146341,219,191,0.5341463414634147
bug_message_keyword_bad,17,[1],0.004878048780487805,0.004878048780487805,0.004878048780487805,1,1,0.5
bug_message_keyword_broken,18,[1],0.004878048780487805,0.004878048780487805,0.004878048780487805,2,0,1.0
bug_message_keyword_bug,19,[1],0.03414634146341464,0.03414634146341464,0.02195121951219512,13,1,0.9285714285714286
bug_message_keyword_close,20,[1],0.041463414634146344,0.041463414634146344,0.03902439024390244,10,7,0.5882352941176471
bug_message_keyword_concurr,21,[1],0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,1,0,1.0
bug_message_keyword_correct,22,[1],0.012195121951219513,0.012195121951219513,0.00975609756097561,3,2,0.6
bug_message_keyword_corrupt,23,[1],0.004878048780487805,0.004878048780487805,0.004878048780487805,2,0,1.0
bug_message_keyword_crash,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_deadlock,25,[1],0.004878048780487805,0.004878048780487805,0.0024390243902439024,2,0,1.0
bug_message_keyword_defect,26,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,27,[1],0.007317073170731708,0.007317073170731708,0.007317073170731708,1,2,0.33333333333333337
bug_message_keyword_endless,28,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,29,[1],0.004878048780487805,0.004878048780487805,0.004878048780487805,2,0,1.0
bug_message_keyword_error,30,[1],0.04390243902439024,0.04390243902439024,0.03902439024390244,12,6,0.6666666666666666
bug_message_keyword_except,31,[1],0.026829268292682926,0.026829268292682926,0.01951219512195122,7,4,0.6363636363636364
bug_message_keyword_fail,32,[1],0.04878048780487805,0.04878048780487805,0.04390243902439024,18,2,0.9
bug_message_keyword_bugfix,33,[1],0.34146341463414637,0.34146341463414637,0.2780487804878049,129,11,0.9214285714285715
bug_message_keyword_garbag,34,[1],0.004878048780487805,0.004878048780487805,0.004878048780487805,1,1,0.5
bug_message_keyword_handl,35,[1],0.024390243902439025,0.024390243902439025,0.02195121951219512,7,3,0.7
bug_message_keyword_incomplet,36,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,37,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_incorrect,38,[1],0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,1,0,1.0
bug_message_keyword_infinit,39,[1],0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,1,0,1.0
bug_message_keyword_invalid,40,[1],0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,0,1,0.0
bug_message_keyword_issue,41,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,42,[1],0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,1,0,1.0
bug_message_keyword_loop,43,[1],0.012195121951219513,0.012195121951219513,0.012195121951219513,4,1,0.8
bug_message_keyword_minor,44,[1],0.02195121951219512,0.02195121951219512,0.02195121951219512,2,7,0.2222222222222222
bug_message_keyword_mistak,45,[1],0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,1,0,1.0
bug_message_keyword_npe,46,[1],0.02195121951219512,0.02195121951219512,0.014634146341463415,9,0,1.0
bug_message_keyword_not|work,47,[1],0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,1,0,1.0
bug_message_keyword_not|return,48,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_of|bound,49,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,50,[1],0.007317073170731708,0.007317073170731708,0.004878048780487805,2,1,0.6666666666666666
