,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.288,0.26666666666666666,0.136,74,34,0.6851851851851851
fine_grained_changes_transformer_80,1,"[0, 1]",0.184,0.17333333333333334,0.096,46,23,0.6666666666666666
fine_grained_changes_transformer_70,2,"[0, 1]",0.12533333333333332,0.11733333333333333,0.08,29,18,0.6170212765957447
all_files_test_add,3,[0],0.013333333333333334,0.013333333333333334,0.0026666666666666666,5,0,1.0
all_files_test_fix,4,[0],0.005333333333333333,0.005333333333333333,0.0026666666666666666,2,0,1.0
buggless_if_many_lines_changed,5,[0],0.11466666666666667,0.10933333333333334,0.048,35,8,0.813953488372093
bugless_if_at_least_2_removed_files,6,[0],0.016,0.016,0.0026666666666666666,5,1,0.8333333333333333
bugless_if_at_least_5_added_files,7,[0],0.024,0.024,0.013333333333333334,8,1,0.8888888888888888
bugless_if_many_files_changes,8,[0],0.042666666666666665,0.042666666666666665,0.018666666666666668,15,1,0.9375
bugless_if_not_code_files,9,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,10,[0],0.021333333333333333,0.021333333333333333,0.0026666666666666666,8,0,1.0
refactoring_if_at_least_2_renamed,11,[0],0.008,0.008,0.0026666666666666666,3,0,1.0
bug_message_keyword_bad,12,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,13,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,14,[1],0.06133333333333333,0.06133333333333333,0.037333333333333336,19,4,0.8260869565217391
bug_message_keyword_close,15,[1],0.042666666666666665,0.042666666666666665,0.037333333333333336,8,8,0.5
bug_message_keyword_concurr,16,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,17,[1],0.021333333333333333,0.021333333333333333,0.018666666666666668,5,3,0.625
bug_message_keyword_corrupt,18,[1],0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,1,0,1.0
bug_message_keyword_crash,19,[1],0.016,0.016,0.010666666666666666,4,2,0.6666666666666666
bug_message_keyword_deadlock,20,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,22,[1],0.005333333333333333,0.005333333333333333,0.0,1,1,0.5
bug_message_keyword_endless,23,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,24,[1],0.0026666666666666666,0.0,0.0,0,1,0.0
bug_message_keyword_error,25,[1],0.05333333333333334,0.050666666666666665,0.032,11,9,0.55
bug_message_keyword_except,26,[1],0.005333333333333333,0.005333333333333333,0.005333333333333333,2,0,1.0
