,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
buggless_if_doc_extensions,0,[],0.0,0.0,0.0,0,0,0.0
buggless_if_one_file_markdown_ext,1,[],0.0,0.0,0.0,0,0,0.0
all_files_test_add,2,[0],0.001748931208705791,0.001748931208705791,0.001554605518849592,4,5,0.4444444444444444
all_files_test_fix,3,[0],0.000388651379712398,0.000388651379712398,0.000194325689856199,2,0,1.0
buggless_if_many_lines_changed,4,[0],0.1710066070734551,0.1710066070734551,0.04061406917994559,787,93,0.8943181818181818
buggless_one_file,5,[0],0.31305868635833656,0.31305868635833656,0.2874076952973183,844,767,0.5238981998758535
bugless_if_at_least_2_removed_files,6,[0],0.022736105713175282,0.022736105713175282,0.00388651379712398,108,9,0.9230769230769231
bugless_if_at_least_5_added_files,7,[0],0.04003109211037699,0.04003109211037699,0.006412747765254567,198,8,0.9611650485436893
bugless_if_many_files_changes,8,[0],0.10085503303536728,0.10085503303536728,0.015934706568208317,491,28,0.9460500963391136
bugless_if_not_code_files,9,[0],0.017877963466770307,0.017877963466770307,0.014380101049358725,67,25,0.7282608695652174
no_files_have_modified_status,10,[0],0.02118150019432569,0.02118150019432569,0.006607073455110766,93,16,0.8532110091743119
refactoring_if_at_least_2_renamed,11,[0],0.02098717450446949,0.02098717450446949,0.003109211037699184,104,4,0.962962962962963
fine_grained_changes_transformer_70,12,"[0, 1]",0.09444228527011271,0.09444228527011271,0.06198989506412748,319,167,0.6563786008230452
fine_grained_changes_transformer_80,13,"[0, 1]",0.11931597357170617,0.11931597357170617,0.08239409249902838,421,193,0.6856677524429967
fine_grained_changes_transformer_90,14,"[0, 1]",0.21686746987951808,0.21686746987951808,0.11387485425573261,820,296,0.7347670250896057
bug_issue_body_keyword_bad,15,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_broken,16,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bug,17,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_close,18,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_concurr,19,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_correct,20,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_corrupt,21,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_crash,22,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_deadlock,23,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_defect,24,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_disabl,25,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_endless,26,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_ensur,27,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_error,28,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_except,29,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_fail,30,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bugfix,31,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_garbag,32,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_handl,33,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incomplet,34,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_inconsist,35,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incorrect,36,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_infinit,37,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_invalid,38,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_issue,39,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_leak,40,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_loop,41,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_minor,42,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_mistak,43,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_npe,44,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|work,45,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|return,46,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_of|bound,47,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_patch,48,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_prevent,49,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_problem,50,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_properli,51,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_race|condit,52,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_repair,53,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_resolv,54,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_threw,55,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_timeout,56,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unabl,57,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unclos,58,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unexpect,59,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unknown,60,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unsynchron,61,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_wrong,62,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_bug,63,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fixed,64,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fix,65,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_error,66,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bad,67,[1],0.00388651379712398,0.00388651379712398,0.00388651379712398,13,7,0.65
bug_message_keyword_broken,68,[1],0.004275165176836378,0.004275165176836378,0.004080839486980179,14,8,0.6363636363636364
bug_message_keyword_bug,69,[1],0.1352506801399145,0.1352506801399145,0.12436844150796736,380,316,0.5459770114942528
bug_message_keyword_close,70,[1],0.016906335017489314,0.016906335017489314,0.01554605518849592,58,29,0.6666666666666666
bug_message_keyword_concurr,71,[1],0.00777302759424796,0.00777302759424796,0.007384376214535562,27,13,0.675
bug_message_keyword_correct,72,[1],0.01729498639720171,0.01729498639720171,0.016129032258064516,57,32,0.6404494382022472
bug_message_keyword_corrupt,73,[1],0.004858142246404975,0.004858142246404975,0.004469490866692577,20,5,0.8
bug_message_keyword_crash,74,[1],0.001165954139137194,0.001165954139137194,0.000971628449280995,5,1,0.8333333333333333
bug_message_keyword_deadlock,75,[1],0.005441119315973571,0.005441119315973571,0.005052467936261173,28,0,1.0
bug_message_keyword_defect,76,[1],0.000194325689856199,0.000194325689856199,0.000194325689856199,1,0,1.0
