,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.14273281114012185,0.12706701479547433,0.058311575282854654,120,44,0.7317073170731707
fine_grained_changes_transformer_80,1,"[0, 1]",0.2906875543951262,0.2463011314186249,0.11401218450826806,191,143,0.5718562874251497
fine_grained_changes_transformer_70,2,"[0, 1]",0.08703220191470844,0.07745865970409051,0.038294168842471714,66,34,0.66
all_files_test_add,3,[0],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
all_files_test_fix,4,[0],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
buggless_if_many_lines_changed,5,[0],0.10530896431679722,0.10269799825935597,0.033942558746736295,92,29,0.7603305785123967
bugless_if_at_least_2_removed_files,6,[0],0.010443864229765013,0.010443864229765013,0.0026109660574412533,9,3,0.75
bugless_if_at_least_5_added_files,7,[0],0.02959094865100087,0.028720626631853787,0.009573542210617928,26,8,0.7647058823529411
bugless_if_many_files_changes,8,[0],0.05918189730200174,0.058311575282854654,0.018276762402088774,55,13,0.8088235294117647
bugless_if_not_code_files,9,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,10,[],0.0,0.0,0.0,0,0,0.0
refactoring_if_at_least_2_renamed,11,[0],0.01392515230635335,0.01392515230635335,0.0017406440382941688,16,0,1.0
bug_message_keyword_bad,12,[1],0.004351610095735422,0.004351610095735422,0.0026109660574412533,4,1,0.8
bug_message_keyword_broken,13,[1],0.006962576153176675,0.006962576153176675,0.006092254134029591,7,1,0.875
bug_message_keyword_bug,14,[1],0.028720626631853787,0.0278503046127067,0.019147084421235857,32,1,0.9696969696969697
bug_message_keyword_close,15,[1],0.040905134899912966,0.0391644908616188,0.03307223672758921,21,26,0.44680851063829785
bug_message_keyword_concurr,16,[1],0.006092254134029591,0.006092254134029591,0.005221932114882507,3,4,0.4285714285714286
bug_message_keyword_correct,17,[1],0.012184508268059183,0.011314186248912098,0.008703220191470844,11,3,0.7857142857142857
bug_message_keyword_corrupt,18,[1],0.0026109660574412533,0.0026109660574412533,0.0008703220191470844,2,1,0.6666666666666666
bug_message_keyword_crash,19,[1],0.0008703220191470844,0.0008703220191470844,0.0008703220191470844,1,0,1.0
bug_message_keyword_deadlock,20,[1],0.0034812880765883376,0.0034812880765883376,0.0026109660574412533,4,0,1.0
bug_message_keyword_defect,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,22,[1],0.006092254134029591,0.006092254134029591,0.006092254134029591,4,3,0.5714285714285714
bug_message_keyword_endless,23,[1],0.0008703220191470844,0.0008703220191470844,0.0008703220191470844,1,0,1.0
bug_message_keyword_ensur,24,[1],0.004351610095735422,0.004351610095735422,0.0026109660574412533,5,0,1.0
bug_message_keyword_error,25,[1],0.02610966057441253,0.024369016536118365,0.016536118363794605,19,11,0.6333333333333333
bug_message_keyword_except,26,[1],0.020017406440382943,0.019147084421235857,0.012184508268059183,14,9,0.6086956521739131
bug_message_keyword_fail,27,[1],0.04264577893820714,0.04003481288076589,0.03307223672758921,39,10,0.7959183673469388
bug_message_keyword_bugfix,28,[1],0.2689295039164491,0.23063533507397738,0.16536118363794605,278,31,0.8996763754045307
bug_message_keyword_garbag,29,[1],0.0017406440382941688,0.0017406440382941688,0.0017406440382941688,1,1,0.5
bug_message_keyword_handl,30,[1],0.02175805047867711,0.020887728459530026,0.017406440382941687,13,12,0.52
bug_message_keyword_incomplet,31,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,32,[1],0.0017406440382941688,0.0017406440382941688,0.0017406440382941688,2,0,1.0
bug_message_keyword_incorrect,33,[1],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
bug_message_keyword_infinit,34,[1],0.0017406440382941688,0.0017406440382941688,0.0008703220191470844,2,0,1.0
bug_message_keyword_invalid,35,[1],0.0034812880765883376,0.0034812880765883376,0.0017406440382941688,2,2,0.5
bug_message_keyword_issue,36,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,37,[1],0.004351610095735422,0.004351610095735422,0.0034812880765883376,5,0,1.0
bug_message_keyword_loop,38,[1],0.008703220191470844,0.007832898172323759,0.006092254134029591,8,2,0.8
bug_message_keyword_minor,39,[1],0.016536118363794605,0.015665796344647518,0.013054830287206266,4,15,0.21052631578947367
bug_message_keyword_mistak,40,[1],0.0008703220191470844,0.0008703220191470844,0.0008703220191470844,1,0,1.0
bug_message_keyword_npe,41,[1],0.020887728459530026,0.017406440382941687,0.011314186248912098,22,2,0.9166666666666667
bug_message_keyword_not|work,42,[1],0.0017406440382941688,0.0017406440382941688,0.0017406440382941688,1,1,0.5
bug_message_keyword_not|return,43,[1],0.0008703220191470844,0.0008703220191470844,0.0008703220191470844,1,0,1.0
bug_message_keyword_of|bound,44,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,45,[1],0.012184508268059183,0.011314186248912098,0.008703220191470844,6,8,0.4285714285714286
bug_message_keyword_prevent,46,[1],0.010443864229765013,0.008703220191470844,0.007832898172323759,7,5,0.5833333333333334
bug_message_keyword_problem,47,[1],0.01392515230635335,0.01392515230635335,0.007832898172323759,13,3,0.8125
bug_message_keyword_properli,48,[1],0.011314186248912098,0.010443864229765013,0.006092254134029591,12,1,0.9230769230769231
bug_message_keyword_race|condit,49,[1],0.0034812880765883376,0.0034812880765883376,0.0026109660574412533,4,0,1.0
bug_message_keyword_repair,50,[1],0.0017406440382941688,0.0017406440382941688,0.0017406440382941688,1,1,0.5
bug_message_keyword_resolv,51,[1],0.008703220191470844,0.007832898172323759,0.006092254134029591,7,3,0.7
bug_message_keyword_threw,52,[1],0.006962576153176675,0.006962576153176675,0.004351610095735422,6,2,0.75
bug_message_keyword_timeout,53,[1],0.008703220191470844,0.007832898172323759,0.004351610095735422,7,3,0.7
bug_message_keyword_unabl,54,[1],0.0017406440382941688,0.0017406440382941688,0.0017406440382941688,2,0,1.0
bug_message_keyword_unclos,55,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unexpect,56,[1],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
bug_message_keyword_unknown,57,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unsynchron,58,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,59,[1],0.004351610095735422,0.0034812880765883376,0.0017406440382941688,4,1,0.8
bugless_message_keyword_abil,60,[0],0.004351610095735422,0.004351610095735422,0.0017406440382941688,5,0,1.0
bugless_message_keyword_ad,61,[0],0.08703220191470844,0.08093994778067885,0.033942558746736295,81,19,0.81
bugless_message_keyword_add,62,[0],0.07571801566579635,0.06962576153176675,0.017406440382941687,74,13,0.8505747126436782
