,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer_80,1,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer_70,2,[],0.0,0.0,0.0,0,0,0.0
all_files_test_add,3,[0],0.0062047569803516025,0.0062047569803516025,0.002068252326783868,5,1,0.8333333333333333
all_files_test_fix,4,[0],0.002068252326783868,0.002068252326783868,0.001034126163391934,1,1,0.5
buggless_if_many_lines_changed,5,[0],0.10341261633919338,0.09927611168562564,0.023784901758014478,87,13,0.87
bugless_if_at_least_2_removed_files,6,[0],0.03205791106514995,0.03205791106514995,0.005170630816959669,28,3,0.9032258064516129
bugless_if_at_least_5_added_files,7,[0],0.03205791106514995,0.03205791106514995,0.004136504653567736,27,4,0.8709677419354839
bugless_if_many_files_changes,8,[0],0.0672182006204757,0.0641158221302999,0.011375387797311272,60,5,0.9230769230769231
bugless_if_not_code_files,9,[0],0.5387797311271976,0.4612202688728025,0.27714581178903824,287,234,0.5508637236084453
no_files_have_modified_status,10,[0],0.04963805584281282,0.04860392967942089,0.001034126163391934,41,7,0.8541666666666667
refactoring_if_at_least_2_renamed,11,[0],0.01964839710444674,0.01861427094105481,0.0031023784901758012,18,1,0.9473684210526316
bug_message_keyword_bad,12,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,13,[1],0.007238883143743537,0.007238883143743537,0.007238883143743537,6,1,0.8571428571428572
bug_message_keyword_bug,14,[1],0.2078593588417787,0.20682523267838676,0.19441571871768357,134,67,0.6666666666666666
bug_message_keyword_close,15,[1],0.002068252326783868,0.001034126163391934,0.001034126163391934,2,0,1.0
bug_message_keyword_concurr,16,[1],0.001034126163391934,0.001034126163391934,0.0,1,0,1.0
bug_message_keyword_correct,17,[1],0.010341261633919338,0.009307135470527405,0.008273009307135471,5,5,0.5
bug_message_keyword_corrupt,18,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,0,1,0.0
bug_message_keyword_crash,19,[1],0.0031023784901758012,0.0031023784901758012,0.0031023784901758012,3,0,1.0
bug_message_keyword_deadlock,20,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,22,[1],0.005170630816959669,0.004136504653567736,0.001034126163391934,4,1,0.8
bug_message_keyword_endless,23,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,24,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,0,1,0.0
bug_message_keyword_error,25,[1],0.033092037228541885,0.033092037228541885,0.025853154084798345,19,13,0.59375
bug_message_keyword_except,26,[1],0.007238883143743537,0.0062047569803516025,0.0062047569803516025,3,4,0.4285714285714286
bug_message_keyword_fail,27,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,1,0,1.0
bug_message_keyword_bugfix,28,[1],0.39710444674250256,0.3453981385729059,0.3154084798345398,274,110,0.7135416666666666
bug_message_keyword_garbag,29,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,30,[1],0.02688728024819028,0.02481902792140641,0.020682523267838676,13,13,0.5
bug_message_keyword_incomplet,31,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,32,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_incorrect,33,[1],0.001034126163391934,0.001034126163391934,0.0,1,0,1.0
bug_message_keyword_infinit,34,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,1,0,1.0
bug_message_keyword_invalid,35,[1],0.004136504653567736,0.004136504653567736,0.002068252326783868,4,0,1.0
bug_message_keyword_issue,36,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,37,[1],0.0031023784901758012,0.0031023784901758012,0.0031023784901758012,3,0,1.0
bug_message_keyword_loop,38,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,1,0,1.0
bug_message_keyword_minor,39,[1],0.015511892450879007,0.015511892450879007,0.008273009307135471,6,9,0.4
bug_message_keyword_mistak,40,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,41,[1],0.0062047569803516025,0.0062047569803516025,0.004136504653567736,5,1,0.8333333333333333
bug_message_keyword_not|work,42,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|return,43,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,1,0,1.0
bug_message_keyword_of|bound,44,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,45,[1],0.015511892450879007,0.014477766287487074,0.014477766287487074,5,10,0.33333333333333337
bug_message_keyword_prevent,46,[1],0.009307135470527405,0.008273009307135471,0.005170630816959669,5,4,0.5555555555555556
bug_message_keyword_problem,47,[1],0.004136504653567736,0.004136504653567736,0.002068252326783868,4,0,1.0
bug_message_keyword_properli,48,[1],0.0031023784901758012,0.0031023784901758012,0.0031023784901758012,3,0,1.0
bug_message_keyword_race|condit,49,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_repair,50,[],0.0,0.0,0.0,0,0,0.0
