,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer_80,1,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer_70,2,[],0.0,0.0,0.0,0,0,0.0
all_files_test_add,3,[0],0.00683371298405467,0.00683371298405467,0.002277904328018223,5,1,0.8333333333333333
all_files_test_fix,4,[0],0.002277904328018223,0.002277904328018223,0.0011389521640091116,1,1,0.5
buggless_if_many_lines_changed,5,[0],0.11389521640091116,0.10933940774487472,0.02619589977220957,87,13,0.87
bugless_if_at_least_2_removed_files,6,[0],0.03530751708428246,0.03530751708428246,0.0056947608200455585,28,3,0.9032258064516129
bugless_if_at_least_5_added_files,7,[0],0.03530751708428246,0.03530751708428246,0.004555808656036446,27,4,0.8709677419354839
bugless_if_many_files_changes,8,[0],0.07403189066059225,0.07061503416856492,0.012528473804100227,60,5,0.9230769230769231
bugless_if_not_code_files,9,[0],0.5933940774487472,0.5079726651480638,0.3052391799544419,287,234,0.5508637236084453
no_files_have_modified_status,10,[0],0.05466970387243736,0.05353075170842825,0.0011389521640091116,41,7,0.8541666666666667
refactoring_if_at_least_2_renamed,11,[0],0.02164009111617312,0.02050113895216401,0.003416856492027335,18,1,0.9473684210526316
bug_message_keyword_bad,12,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,13,[1],0.00683371298405467,0.00683371298405467,0.00683371298405467,5,1,0.8333333333333333
bug_message_keyword_bug,14,[1],0.22323462414578588,0.22209567198177677,0.20956719817767655,134,62,0.6836734693877551
bug_message_keyword_close,15,[1],0.002277904328018223,0.0011389521640091116,0.0011389521640091116,2,0,1.0
bug_message_keyword_concurr,16,[1],0.0011389521640091116,0.0011389521640091116,0.0,1,0,1.0
bug_message_keyword_correct,17,[1],0.009111617312072893,0.007972665148063782,0.007972665148063782,5,3,0.625
bug_message_keyword_corrupt,18,[1],0.0011389521640091116,0.0011389521640091116,0.0011389521640091116,0,1,0.0
bug_message_keyword_crash,19,[1],0.003416856492027335,0.003416856492027335,0.003416856492027335,3,0,1.0
bug_message_keyword_deadlock,20,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,22,[1],0.002277904328018223,0.0011389521640091116,0.0011389521640091116,1,1,0.5
bug_message_keyword_endless,23,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,24,[1],0.0011389521640091116,0.0011389521640091116,0.0011389521640091116,0,1,0.0
bug_message_keyword_error,25,[1],0.02847380410022779,0.02847380410022779,0.025056947608200455,13,12,0.52
bug_message_keyword_except,26,[1],0.007972665148063782,0.00683371298405467,0.00683371298405467,3,4,0.4285714285714286
bug_message_keyword_fail,27,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bugfix,28,[1],0.3724373576309795,0.34851936218678814,0.32915717539863326,232,95,0.709480122324159
bug_message_keyword_garbag,29,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,30,[1],0.02619589977220957,0.023917995444191344,0.02164009111617312,10,13,0.43478260869565216
bug_message_keyword_incomplet,31,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,32,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_incorrect,33,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_infinit,34,[1],0.0011389521640091116,0.0011389521640091116,0.0011389521640091116,1,0,1.0
bug_message_keyword_invalid,35,[1],0.002277904328018223,0.002277904328018223,0.002277904328018223,2,0,1.0
bug_message_keyword_issue,36,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,37,[1],0.003416856492027335,0.003416856492027335,0.003416856492027335,3,0,1.0
bug_message_keyword_loop,38,[1],0.0011389521640091116,0.0011389521640091116,0.0011389521640091116,1,0,1.0
bug_message_keyword_minor,39,[1],0.014806378132118452,0.014806378132118452,0.007972665148063782,6,7,0.46153846153846156
bug_message_keyword_mistak,40,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,41,[1],0.00683371298405467,0.00683371298405467,0.004555808656036446,5,1,0.8333333333333333
bug_message_keyword_not|work,42,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|return,43,[1],0.0011389521640091116,0.0011389521640091116,0.0011389521640091116,1,0,1.0
bug_message_keyword_of|bound,44,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,45,[1],0.017084282460136675,0.015945330296127564,0.015945330296127564,5,10,0.33333333333333337
bug_message_keyword_prevent,46,[1],0.010250569476082005,0.009111617312072893,0.0056947608200455585,5,4,0.5555555555555556
bug_message_keyword_problem,47,[1],0.003416856492027335,0.003416856492027335,0.002277904328018223,3,0,1.0
bug_message_keyword_properli,48,[1],0.003416856492027335,0.003416856492027335,0.003416856492027335,3,0,1.0
bug_message_keyword_race|condit,49,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_repair,50,[],0.0,0.0,0.0,0,0,0.0
