,j,Polarity,Coverage,Overlaps,Conflicts
all_files_test_add,0,[0],0.0012015620306398318,0.0012015620306398318,2.4225040940319188e-05
all_files_test_fix,1,[0],4.845008188063838e-06,4.845008188063838e-06,0.0
buggless_if_many_lines_changed,2,[0],0.002054283471739067,0.002054283471739067,0.0008236513919708525
bugless_if_at_least_2_removed_files,3,[0],0.019462397891452436,0.019462397891452436,0.005155088712099924
bugless_if_at_least_5_added_files,4,[0],0.029380129652419113,0.029380129652419113,0.006293665636294925
bugless_if_many_files_changes,5,[0],0.046657428851054755,0.046657428851054755,0.008968110156106164
bugless_if_not_code_files,6,[0],0.17097549394858477,0.17097549394858477,0.05101309121212415
no_files_have_modified_status,7,[0],0.04822721150398744,0.04822721150398744,0.018982742080834118
refactoring_if_at_least_2_renamed,8,[0],0.012606711305342105,0.012606711305342105,0.003347900657952112
fine_grained_changes_transformer,9,"[0, 1]",1.0,0.2552980164536478,0.07656566439597283
