,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
gitcproc_buggless_no_keywords_matched,0,[0],0.5823863636363636,0.0,0.0,176,29,0.8585365853658536
gitcproc_message_keyword_bug,1,[1],0.0625,0.05397727272727273,0.0,18,4,0.8181818181818181
gitcproc_message_keyword_fix,2,[1],0.3778409090909091,0.10227272727272728,0.0,104,29,0.7819548872180451
gitcproc_message_keyword_issu,3,[1],0.0625,0.048295454545454544,0.0,13,9,0.5909090909090909
gitcproc_message_keyword_mistak,4,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_incorrect,5,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_fault,6,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
gitcproc_message_keyword_defect,7,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_flaw,8,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_type,9,[1],0.045454545454545456,0.028409090909090908,0.0,10,6,0.625
