,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
gitcproc_buggless_no_keywords_matched,0,[0],0.6415094339622641,0.0,0.0,94,8,0.9215686274509804
gitcproc_message_keyword_bug,1,[1],0.05660377358490566,0.050314465408805034,0.0,8,1,0.8888888888888888
gitcproc_message_keyword_fix,2,[1],0.3018867924528302,0.08176100628930817,0.0,33,15,0.6875
gitcproc_message_keyword_issu,3,[1],0.05660377358490566,0.031446540880503145,0.0,4,5,0.4444444444444444
gitcproc_message_keyword_mistak,4,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_incorrect,5,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_fault,6,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_defect,7,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_flaw,8,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_type,9,[1],0.06289308176100629,0.03773584905660377,0.0,5,5,0.5
