,j,Polarity,Coverage,Overlaps,Conflicts
gitcproc_buggless_no_keywords_matched,0,[0],0.7059903681237222,0.0,0.0
gitcproc_message_keyword_bug,1,[1],0.032398569753582886,0.023672710006879913,0.0
gitcproc_message_keyword_fix,2,[1],0.2515722051570267,0.05450634211571818,0.0
gitcproc_message_keyword_issu,3,[1],0.04965164391127821,0.02862915338326922,0.0
gitcproc_message_keyword_mistak,4,[1],0.001104661866878555,0.0008333414083469801,0.0
gitcproc_message_keyword_incorrect,5,[1],0.0029506099865308773,0.002238393782885493,0.0
gitcproc_message_keyword_fault,6,[1],0.000358530605916724,0.0002034903438986812,0.0
gitcproc_message_keyword_defect,7,[1],0.0005426409170631499,0.0001889553193344897,0.0
gitcproc_message_keyword_flaw,8,[1],7.267512282095756e-05,4.360507369257454e-05,0.0
gitcproc_message_keyword_type,9,[1],0.01721915910037888,0.007960348452988885,0.0
