,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
gitcproc_buggless_no_keywords_matched,0,[0],0.7202288091523661,0.0,0.0,1958,812,0.7068592057761733
gitcproc_message_keyword_bug,1,[1],0.1372854914196568,0.11804472178887156,0.0,279,249,0.5284090909090909
gitcproc_message_keyword_fix,2,[1],0.22282891315652625,0.13000520020800832,0.0,492,365,0.574095682613769
gitcproc_message_keyword_issu,3,[1],0.041341653666146644,0.03016120644825793,0.0,84,75,0.5283018867924528
gitcproc_message_keyword_mistak,4,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_incorrect,5,[1],0.008320332813312533,0.004420176807072283,0.0,19,13,0.59375
gitcproc_message_keyword_fault,6,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_defect,7,[1],0.00026001040041601667,0.00026001040041601667,0.0,1,0,1.0
gitcproc_message_keyword_flaw,8,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_type,9,[1],0.027301092043681748,0.0070202808112324495,0.0,48,57,0.45714285714285713
