,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
gitcproc_buggless_no_keywords_matched,0,[0],0.6757916416373466,0.0,0.0,14255,1495,0.9050793650793652
gitcproc_message_keyword_bug,1,[1],0.03351068394404874,0.02497211018621814,0.0,751,30,0.9615877080665813
gitcproc_message_keyword_fix,2,[1],0.28284561915386597,0.057624646013902,0.0,5783,809,0.8772754854368932
gitcproc_message_keyword_issu,3,[1],0.05157470179352956,0.029863554449497984,0.0,721,481,0.5998336106489185
gitcproc_message_keyword_mistak,4,[1],0.0012014073629108384,0.0008152407105466404,0.0,16,12,0.5714285714285714
gitcproc_message_keyword_incorrect,5,[1],0.003389685059641294,0.0026602591607311423,0.0,77,2,0.9746835443037974
gitcproc_message_keyword_fault,6,[1],0.0005148888698189308,0.0002574444349094654,0.0,11,1,0.9166666666666667
gitcproc_message_keyword_defect,7,[1],0.0003003518407277096,8.581481163648846e-05,0.0,7,0,1.0
gitcproc_message_keyword_flaw,8,[1],4.290740581824423e-05,0.0,0.0,1,0,1.0
gitcproc_message_keyword_type,9,[1],0.014073629108384108,0.006436110872736634,0.0,148,180,0.45121951219512196
