,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
gitcproc_buggless_no_keywords_matched,0,[0],0.6859497154821607,0.0,0.0,37361,3263,0.9196780228436392
gitcproc_message_keyword_bug,1,[1],0.04174053999290816,0.03003900511625551,0.0,2129,343,0.8612459546925566
gitcproc_message_keyword_fix,2,[1],0.26015230569204534,0.06867264407409283,0.0,12160,3247,0.7892516388654507
gitcproc_message_keyword_issu,3,[1],0.06201982337943029,0.03716461509886362,0.0,1926,1747,0.5243670024503131
gitcproc_message_keyword_mistak,4,[1],0.0013001705418502947,0.0011650878881515627,0.0,11,66,0.14285714285714285
gitcproc_message_keyword_incorrect,5,[1],0.003241983688769566,0.0026003410837005894,0.0,172,20,0.8958333333333333
gitcproc_message_keyword_fault,6,[1],0.00038836262938385423,0.00020262398054809788,0.0,15,8,0.6521739130434783
gitcproc_message_keyword_defect,7,[1],0.0007091839319183426,0.00018573864883575638,0.0,39,3,0.9285714285714286
gitcproc_message_keyword_flaw,8,[1],0.0001350826536987319,0.00010131199027404894,0.0,5,3,0.625
gitcproc_message_keyword_type,9,[1],0.02576701619303311,0.012326292150009287,0.0,522,1004,0.3420707732634338
