,j,Polarity,Coverage,Overlaps,Conflicts
gitcproc_buggless_no_keywords_matched,0,[0],0.6766002179066725,0.0,0.0
gitcproc_message_keyword_bug,1,[1],0.03566989876647303,0.026115950439919627,0.0
gitcproc_message_keyword_fix,2,[1],0.2766757734865615,0.060285687692653044,0.0
gitcproc_message_keyword_issu,3,[1],0.05536362491582123,0.03187021960393546,0.0
gitcproc_message_keyword_mistak,4,[1],0.0011442837823780298,0.0008979068914353917,0.0
gitcproc_message_keyword_incorrect,5,[1],0.003279550170547559,0.0024911441195311175,0.0
gitcproc_message_keyword_fault,6,[1],0.0003613527733825357,0.0002135266388169529,0.0
gitcproc_message_keyword_defect,7,[1],0.0005967795802832786,0.0002025765547750579,0.0
gitcproc_message_keyword_flaw,8,[1],8.212563031421267e-05,4.92753781885276e-05,0.0
gitcproc_message_keyword_type,9,[1],0.01871369362759859,0.008792917485641703,0.0
