,j,Polarity,Coverage,Overlaps,Conflicts
gitcproc_buggless_no_keywords_matched,0,[0],0.6900565885206144,0.0,0.0
gitcproc_message_keyword_bug,1,[1],0.03128860145513339,0.025028294260307195,0.0
gitcproc_message_keyword_fix,2,[1],0.269445432497979,0.057629749393694425,0.0
gitcproc_message_keyword_issu,3,[1],0.04986903799514956,0.029199676637025062,0.0
gitcproc_message_keyword_mistak,4,[1],0.0012675828617623281,0.000995957962813258,0.0
gitcproc_message_keyword_incorrect,5,[1],0.003337105901374293,0.0024704931285367826,0.0
gitcproc_message_keyword_fault,6,[1],0.0004074373484236055,0.0002457558609539208,0.0
gitcproc_message_keyword_defect,7,[1],0.000116410670978173,6.467259498787389e-05,0.0
gitcproc_message_keyword_flaw,8,[1],9.054163298302344e-05,5.173807599029911e-05,0.0
gitcproc_message_keyword_type,9,[1],0.019679870654810024,0.009151172190784155,0.0
