,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
gitcproc_buggless_no_keywords_matched,0,[0],0.3630295995356936,0.0,0.0,1251,0,1.0
gitcproc_message_keyword_bug,1,[1],0.0240858966918166,0.02379570516540917,0.0,58,25,0.6987951807228916
gitcproc_message_keyword_fix,2,[1],0.6120139291932676,0.12507254788160185,0.0,1566,543,0.7425320056899004
gitcproc_message_keyword_issu,3,[1],0.07080673244341265,0.06297156123041207,0.0,169,75,0.6926229508196722
gitcproc_message_keyword_mistak,4,[1],0.00261172373766686,0.0023215322112594312,0.0,1,8,0.1111111111111111
gitcproc_message_keyword_incorrect,5,[1],0.011317469529889728,0.010737086477074869,0.0,28,11,0.717948717948718
gitcproc_message_keyword_fault,6,[1],0.0008705745792222867,0.0008705745792222867,0.0,2,1,0.6666666666666666
gitcproc_message_keyword_defect,7,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_flaw,8,[1],0.0008705745792222867,0.0005803830528148578,0.0,2,1,0.6666666666666666
gitcproc_message_keyword_type,9,[1],0.06035983749274521,0.0461404526987812,0.0,131,77,0.6298076923076923
