,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
gitcproc_buggless_no_keywords_matched,0,[0],0.7840690978886756,0.0,0.0,747,70,0.9143206854345165
gitcproc_message_keyword_bug,1,[1],0.02783109404990403,0.013435700575815739,0.0,21,8,0.7241379310344828
gitcproc_message_keyword_fix,2,[1],0.17178502879078694,0.03262955854126679,0.0,146,33,0.8156424581005586
gitcproc_message_keyword_issu,3,[1],0.02495201535508637,0.014395393474088292,0.0,12,14,0.46153846153846156
gitcproc_message_keyword_mistak,4,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_incorrect,5,[1],0.003838771593090211,0.0028790786948176585,0.0,2,2,0.5
gitcproc_message_keyword_fault,6,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_defect,7,[1],0.0009596928982725527,0.0,0.0,0,1,0.0
gitcproc_message_keyword_flaw,8,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_type,9,[1],0.02399232245681382,0.008637236084452975,0.0,8,17,0.32
