,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
gitcproc_buggless_no_keywords_matched,0,[0],0.5786666666666667,0.0,0.0,187,30,0.8617511520737327
gitcproc_message_keyword_bug,1,[1],0.06133333333333333,0.05333333333333334,0.0,19,4,0.8260869565217391
gitcproc_message_keyword_fix,2,[1],0.384,0.09866666666666667,0.0,108,36,0.75
gitcproc_message_keyword_issu,3,[1],0.058666666666666666,0.04533333333333334,0.0,13,9,0.5909090909090909
gitcproc_message_keyword_mistak,4,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_incorrect,5,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_fault,6,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
gitcproc_message_keyword_defect,7,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_flaw,8,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_type,9,[1],0.042666666666666665,0.02666666666666667,0.0,10,6,0.625
