,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
gitcproc_buggless_no_keywords_matched,0,[0],0.6657963446475196,0.0,0.0,573,192,0.7490196078431373
gitcproc_message_keyword_bug,1,[1],0.028720626631853787,0.025239338555265448,0.0,32,1,0.9696969696969697
gitcproc_message_keyword_fix,2,[1],0.2689295039164491,0.08181026979982593,0.0,278,31,0.8996763754045307
gitcproc_message_keyword_issu,3,[1],0.09573542210617929,0.05657093124456049,0.0,76,34,0.6909090909090909
gitcproc_message_keyword_mistak,4,[1],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
gitcproc_message_keyword_incorrect,5,[1],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
gitcproc_message_keyword_fault,6,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_defect,7,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_flaw,8,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_type,9,[1],0.030461270670147953,0.010443864229765013,0.0,15,20,0.4285714285714286
