,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
gitcproc_buggless_no_keywords_matched,0,[0],0.5842824601366743,0.0,0.0,418,95,0.8148148148148149
gitcproc_message_keyword_bug,1,[1],0.22323462414578588,0.2164009111617312,0.0,134,62,0.6836734693877551
gitcproc_message_keyword_fix,2,[1],0.3712984054669704,0.26879271070615035,0.0,231,95,0.7085889570552147
gitcproc_message_keyword_issu,3,[1],0.04783599088838269,0.03189066059225513,0.0,20,22,0.47619047619047616
gitcproc_message_keyword_mistak,4,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_incorrect,5,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_fault,6,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_defect,7,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_flaw,8,[],0.0,0.0,0.0,0,0,0.0
gitcproc_message_keyword_type,9,[1],0.07061503416856492,0.0489749430523918,0.0,44,18,0.7096774193548387
