,j,Polarity,Coverage,Overlaps,Conflicts
bugless_if_at_least_5_added_files,0,[0],0.029380129652419113,0.02772313685210128,0.006366340759115883
all_files_test_add,1,[0],0.0012015620306398318,0.0012015620306398318,0.0003197705404122133
bugless_if_not_code_files,2,[0],0.17097549394858477,0.1478308898342038,0.05500053295090069
bugless_if_many_files_changes,3,[0],0.046657428851054755,0.04294615257899786,0.01405052374538513
bugless_if_at_least_2_removed_files,4,[0],0.019462397891452436,0.01830444093450518,0.005227763834920881
all_files_test_fix,5,[0],4.845008188063838e-06,4.845008188063838e-06,0.0
refactoring_if_at_least_2_renamed,6,[0],0.012606711305342105,0.011870270060756402,0.00316863535499375
buggless_if_many_lines_changed,7,[0],0.002054283471739067,0.0020494384635510034,0.0019622283161658542
no_files_have_modified_status,8,[0],0.04822721150398744,0.04226300642448086,0.004922528319072859
bug_message_keyword_bad,9,[1],0.0020252134226106844,0.0018895531933448967,0.001497107530111726
bug_message_keyword_broken,10,[1],0.004631827827789029,0.004423492475702284,0.003696741247492708
bug_message_keyword_bug,11,[1],0.03240341476177095,0.03114371263287435,0.022955648795046465
bug_message_keyword_close,12,[1],0.038382154865841726,0.03581430052616789,0.03067859184682022
bug_message_keyword_concurr,13,[1],0.0005474859252512137,0.0004990358433705753,0.00046512078605412844
bug_message_keyword_correct,14,[1],0.016589308035930582,0.014191028982838982,0.011894495101696722
bug_message_keyword_corrupt,15,[1],0.0005329509006870222,0.0005135708679347668,0.00039244566323317086
bug_message_keyword_crash,16,[1],0.0045058576148993695,0.0043265923119410075,0.003226775453250516
bug_message_keyword_deadlock,17,[1],0.0003439955813525325,0.00033915057316446866,0.00031008052403608564
bug_message_keyword_defect,18,[1],0.0005426409170631499,0.0004263607205496177,0.00028101047490770257
bug_message_keyword_disabl,19,[1],0.00800395352668146,0.007049486913632884,0.006240370546226223
bug_message_keyword_endless,20,[1],0.00016957528658223433,0.00015504026201804282,0.00011143518832546826
bug_message_keyword_ensur,21,[1],0.006201610480721712,0.005702574637351137,0.005053343540150583
bug_message_keyword_error,22,[1],0.027064215738524598,0.025533193151096426,0.020024418841267842
bug_message_keyword_except,23,[1],0.006206455488909776,0.005838234866616924,0.004806248122559327
bug_message_keyword_fail,24,[1],0.014462349441370556,0.01363385304121164,0.012015620306398318
bug_message_keyword_bugfix,25,[1],0.25669822381999824,0.20619870347580888,0.17233209624124265
bug_message_keyword_garbag,26,[1],0.0002180253684628727,0.00021318036027480886,0.00015988527020610664
bug_message_keyword_handl,27,[1],0.014704599850773747,0.013541797885638427,0.01140030426651421
bug_message_keyword_incomplet,28,[1],0.0006831461545170011,0.0006443860890124905,0.000595936007131852
bug_message_keyword_inconsist,29,[1],0.0006637661217647457,0.0006346960726363628,0.0005620209498154051
bug_message_keyword_incorrect,30,[1],0.0029506099865308773,0.002844019806393473,0.002340138954834834
bug_message_keyword_infinit,31,[1],0.0007412862527737672,0.000717061211833448,0.0005281058924989583
bug_message_keyword_invalid,32,[1],0.003464180854465644,0.0033285206251998565,0.0027616546671963877
bug_message_keyword_issue,33,[],0.0,0.0,0.0
