,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bugless_if_at_least_5_added_files,0,[0],0.024,0.024,0.013333333333333334,8,1,0.8888888888888888
all_files_test_add,1,[0],0.013333333333333334,0.013333333333333334,0.0026666666666666666,5,0,1.0
bugless_if_not_code_files,2,[],0.0,0.0,0.0,0,0,0.0
bugless_if_many_files_changes,3,[0],0.042666666666666665,0.042666666666666665,0.018666666666666668,15,1,0.9375
bugless_if_at_least_2_removed_files,4,[0],0.016,0.016,0.0026666666666666666,5,1,0.8333333333333333
all_files_test_fix,5,[0],0.005333333333333333,0.005333333333333333,0.0026666666666666666,2,0,1.0
refactoring_if_at_least_2_renamed,6,[0],0.008,0.008,0.0026666666666666666,3,0,1.0
buggless_if_many_lines_changed,7,[0],0.224,0.2,0.09333333333333334,70,14,0.8333333333333333
no_files_have_modified_status,8,[0],0.021333333333333333,0.021333333333333333,0.0026666666666666666,8,0,1.0
bug_message_keyword_bad,9,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,10,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,11,[1],0.06133333333333333,0.06133333333333333,0.037333333333333336,19,4,0.8260869565217391
bug_message_keyword_close,12,[1],0.042666666666666665,0.037333333333333336,0.034666666666666665,8,8,0.5
bug_message_keyword_concurr,13,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,14,[1],0.021333333333333333,0.018666666666666668,0.013333333333333334,5,3,0.625
bug_message_keyword_corrupt,15,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_crash,16,[1],0.016,0.016,0.010666666666666666,4,2,0.6666666666666666
bug_message_keyword_deadlock,17,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,18,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,19,[1],0.005333333333333333,0.0026666666666666666,0.0,1,1,0.5
bug_message_keyword_endless,20,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,21,[1],0.0026666666666666666,0.0,0.0,0,1,0.0
bug_message_keyword_error,22,[1],0.05333333333333334,0.050666666666666665,0.032,11,9,0.55
bug_message_keyword_except,23,[1],0.005333333333333333,0.005333333333333333,0.0026666666666666666,2,0,1.0
bug_message_keyword_fail,24,[1],0.021333333333333333,0.018666666666666668,0.010666666666666666,5,3,0.625
bug_message_keyword_bugfix,25,[1],0.4,0.296,0.216,114,36,0.76
bug_message_keyword_garbag,26,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,27,[1],0.042666666666666665,0.042666666666666665,0.032,8,8,0.5
bug_message_keyword_incomplet,28,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,29,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_incorrect,30,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_infinit,31,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_invalid,32,[1],0.005333333333333333,0.005333333333333333,0.0026666666666666666,2,0,1.0
bug_message_keyword_issue,33,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,34,[1],0.018666666666666668,0.018666666666666668,0.008,7,0,1.0
bug_message_keyword_loop,35,[1],0.005333333333333333,0.005333333333333333,0.0026666666666666666,2,0,1.0
bug_message_keyword_minor,36,[1],0.013333333333333334,0.010666666666666666,0.010666666666666666,1,4,0.2
bug_message_keyword_mistak,37,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,38,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_not|work,39,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|return,40,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_of|bound,41,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,42,[1],0.018666666666666668,0.013333333333333334,0.010666666666666666,3,4,0.4285714285714286
bug_message_keyword_prevent,43,[1],0.008,0.008,0.008,2,1,0.6666666666666666
bug_message_keyword_problem,44,[1],0.021333333333333333,0.021333333333333333,0.010666666666666666,7,1,0.875
bug_message_keyword_properli,45,[1],0.013333333333333334,0.005333333333333333,0.0026666666666666666,5,0,1.0
bug_message_keyword_race|condit,46,[1],0.008,0.008,0.008,3,0,1.0
bug_message_keyword_repair,47,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_resolv,48,[1],0.018666666666666668,0.018666666666666668,0.016,2,5,0.2857142857142857
bug_message_keyword_threw,49,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_timeout,50,[1],0.013333333333333334,0.013333333333333334,0.005333333333333333,3,2,0.6
bug_message_keyword_unabl,51,[1],0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0,1,0.0
