,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bugless_if_at_least_5_added_files,0,[0],0.02959094865100087,0.02959094865100087,0.009573542210617928,26,8,0.7647058823529411
all_files_test_add,1,[0],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
bugless_if_not_code_files,2,[],0.0,0.0,0.0,0,0,0.0
bugless_if_many_files_changes,3,[0],0.05918189730200174,0.05918189730200174,0.018276762402088774,55,13,0.8088235294117647
bugless_if_at_least_2_removed_files,4,[0],0.010443864229765013,0.010443864229765013,0.0026109660574412533,9,3,0.75
all_files_test_fix,5,[0],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
refactoring_if_at_least_2_renamed,6,[0],0.01392515230635335,0.01392515230635335,0.0017406440382941688,16,0,1.0
buggless_if_many_lines_changed,7,[0],0.26457789382071367,0.23411662315056572,0.09051348999129678,220,84,0.7236842105263158
no_files_have_modified_status,8,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bad,9,[1],0.004351610095735422,0.0034812880765883376,0.0026109660574412533,4,1,0.8
bug_message_keyword_broken,10,[1],0.006962576153176675,0.006092254134029591,0.005221932114882507,7,1,0.875
bug_message_keyword_bug,11,[1],0.028720626631853787,0.0278503046127067,0.019147084421235857,32,1,0.9696969696969697
bug_message_keyword_close,12,[1],0.040905134899912966,0.03742384682332463,0.02959094865100087,21,26,0.44680851063829785
bug_message_keyword_concurr,13,[1],0.006092254134029591,0.006092254134029591,0.005221932114882507,3,4,0.4285714285714286
bug_message_keyword_correct,14,[1],0.012184508268059183,0.009573542210617928,0.006962576153176675,11,3,0.7857142857142857
bug_message_keyword_corrupt,15,[1],0.0026109660574412533,0.0026109660574412533,0.0008703220191470844,2,1,0.6666666666666666
bug_message_keyword_crash,16,[1],0.0008703220191470844,0.0008703220191470844,0.0008703220191470844,1,0,1.0
bug_message_keyword_deadlock,17,[1],0.0034812880765883376,0.0026109660574412533,0.0017406440382941688,4,0,1.0
bug_message_keyword_defect,18,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,19,[1],0.006092254134029591,0.006092254134029591,0.006092254134029591,4,3,0.5714285714285714
bug_message_keyword_endless,20,[1],0.0008703220191470844,0.0008703220191470844,0.0008703220191470844,1,0,1.0
bug_message_keyword_ensur,21,[1],0.004351610095735422,0.004351610095735422,0.0034812880765883376,5,0,1.0
bug_message_keyword_error,22,[1],0.02610966057441253,0.02349869451697128,0.015665796344647518,19,11,0.6333333333333333
bug_message_keyword_except,23,[1],0.020017406440382943,0.018276762402088774,0.011314186248912098,14,9,0.6086956521739131
bug_message_keyword_fail,24,[1],0.04264577893820714,0.03742384682332463,0.0278503046127067,39,10,0.7959183673469388
bug_message_keyword_bugfix,25,[1],0.2689295039164491,0.1888598781549173,0.13664055700609226,278,31,0.8996763754045307
