,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.22012578616352202,0.1949685534591195,0.09433962264150944,30,5,0.8571428571428572
fine_grained_changes_transformer_80,1,"[0, 1]",0.1320754716981132,0.11949685534591195,0.06918238993710692,11,10,0.5238095238095238
fine_grained_changes_transformer_70,2,"[0, 1]",0.1320754716981132,0.11949685534591195,0.07547169811320754,14,7,0.6666666666666666
all_files_test_add,3,[0],0.006289308176100629,0.006289308176100629,0.0,1,0,1.0
all_files_test_fix,4,[0],0.006289308176100629,0.006289308176100629,0.006289308176100629,1,0,1.0
buggless_if_many_lines_changed,5,[0],0.27044025157232704,0.2578616352201258,0.11320754716981132,35,8,0.813953488372093
bugless_if_at_least_2_removed_files,6,[0],0.03773584905660377,0.03773584905660377,0.006289308176100629,5,1,0.8333333333333333
bugless_if_at_least_5_added_files,7,[0],0.05660377358490566,0.05660377358490566,0.031446540880503145,8,1,0.8888888888888888
bugless_if_many_files_changes,8,[0],0.10062893081761007,0.10062893081761007,0.0440251572327044,15,1,0.9375
bugless_if_not_code_files,9,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,10,[0],0.03773584905660377,0.03773584905660377,0.0,6,0,1.0
refactoring_if_at_least_2_renamed,11,[0],0.018867924528301886,0.018867924528301886,0.006289308176100629,3,0,1.0
bug_message_keyword_combined_bad,12,[1],0.025157232704402517,0.025157232704402517,0.018867924528301886,2,2,0.5
bug_message_keyword_combined_broken,13,[1],0.03773584905660377,0.03773584905660377,0.03773584905660377,3,3,0.5
bug_message_keyword_combined_disabl,14,[1],0.050314465408805034,0.050314465408805034,0.050314465408805034,3,5,0.375
bug_message_keyword_combined_correct,15,[1],0.09433962264150944,0.09433962264150944,0.07547169811320754,7,8,0.4666666666666667
bug_message_keyword_combined_bug,16,[1],0.1069182389937107,0.10062893081761007,0.08176100628930817,9,8,0.5294117647058824
bug_message_keyword_combined_close,17,[1],0.031446540880503145,0.031446540880503145,0.031446540880503145,2,3,0.4
bug_message_keyword_combined_bugfix,18,[1],0.3081761006289308,0.2830188679245283,0.23270440251572327,34,15,0.6938775510204082
bugless_message_keyword_combined_abil,19,[0],0.11949685534591195,0.11949685534591195,0.06289308176100629,17,2,0.8947368421052632
bugless_message_keyword_combined_addit,20,[0],0.15723270440251572,0.15723270440251572,0.07547169811320754,22,3,0.88
bugless_message_keyword_combined_bump,21,[0],0.10062893081761007,0.09433962264150944,0.012578616352201259,16,0,1.0
bugless_message_keyword_combined_allow,22,[0],0.1069182389937107,0.10062893081761007,0.05660377358490566,15,2,0.8823529411764706
bugless_message_keyword_combined_clean,23,[0],0.22012578616352202,0.2138364779874214,0.11949685534591195,31,4,0.8857142857142857
bugless_message_keyword_combined_doc,24,[0],0.11320754716981132,0.10062893081761007,0.050314465408805034,15,3,0.8333333333333333
bugless_message_keyword_combined_remov,25,[0],0.05660377358490566,0.050314465408805034,0.018867924528301886,7,2,0.7777777777777778
bugless_message_keyword_combined_test,26,[0],0.12578616352201258,0.12578616352201258,0.06918238993710692,15,5,0.75
bugless_message_keyword_combined_ad,27,[0],0.2893081761006289,0.27044025157232704,0.11320754716981132,40,6,0.8695652173913043
bugless_message_keyword_combined_updat,28,[0],0.06918238993710692,0.06289308176100629,0.025157232704402517,9,2,0.8181818181818181
