,j,Polarity,Coverage,Overlaps,Conflicts
fine_grained_changes_transformer_90,0,"[0, 1]",0.23414955571274915,0.20056395895309062,0.080373840831791
fine_grained_changes_transformer_80,1,"[0, 1]",0.22643630267735151,0.15384839000377912,0.05992790627816161
fine_grained_changes_transformer_70,2,"[0, 1]",0.09541274624754116,0.08158509287880697,0.04358569365982228
all_files_test_add,3,[0],0.0012015620306398318,0.0012015620306398318,0.00012112520470159594
all_files_test_fix,4,[0],4.845008188063838e-06,4.845008188063838e-06,0.0
buggless_if_many_lines_changed,5,[0],0.04496652099342048,0.0422436263917286,0.015571856316437175
bugless_if_at_least_2_removed_files,6,[0],0.019462397891452436,0.018662971540421902,0.004907993294508668
bugless_if_at_least_5_added_files,7,[0],0.029380129652419113,0.028309382842857004,0.005751024719231775
bugless_if_many_files_changes,8,[0],0.046657428851054755,0.04556245700055233,0.012257870715801509
bugless_if_not_code_files,9,[0],0.17097549394858477,0.1595025145592496,0.05883293442765918
no_files_have_modified_status,10,[0],0.04822721150398744,0.04481148073140244,0.009011715229798739
refactoring_if_at_least_2_renamed,11,[0],0.012606711305342105,0.012049535363714765,0.003100805240360856
bug_message_keyword_combined_bad,12,[1],0.0318607738447078,0.030421806412852838,0.02144885124855861
bug_message_keyword_combined_broken,13,[1],0.03730656304809155,0.035320109690985375,0.026894640451942363
bug_message_keyword_combined_disabl,14,[1],0.03617283113208462,0.03379877711993333,0.027476041434510025
bug_message_keyword_combined_correct,15,[1],0.04243742671925116,0.03983081231407281,0.0317396486400062
bug_message_keyword_combined_bug,16,[1],0.057321291872983265,0.05542204866326224,0.03933177647070223
bug_message_keyword_combined_close,17,[1],0.038382154865841726,0.03637147646779523,0.028096202482582197
bug_message_keyword_combined_bugfix,18,[1],0.25669822381999824,0.21631508057248616,0.15852866791344877
bugless_message_keyword_combined_abil,19,[0],0.05789784784736286,0.05301407959379451,0.028803573678039516
bugless_message_keyword_combined_addit,20,[0],0.07680791480537602,0.07110534016802489,0.039074991036734855
bugless_message_keyword_combined_bump,21,[0],0.08390100679270147,0.07785928158218587,0.03751974340836636
bugless_message_keyword_combined_allow,22,[0],0.07450169090785763,0.06751518910066959,0.03814474946462659
bugless_message_keyword_combined_clean,23,[0],0.07062568435740657,0.06436108877024002,0.02705452572214847
bugless_message_keyword_combined_doc,24,[0],0.09394470876655782,0.08997664706053353,0.03702555257318385
bugless_message_keyword_combined_remov,25,[0],0.05361486060911443,0.04634250331883061,0.02582873865056832
bugless_message_keyword_combined_test,26,[0],0.061710869291369104,0.058440488764426014,0.030542931617554434
bugless_message_keyword_combined_ad,27,[0],0.1590761538387,0.14399848835744533,0.056894931152433645
bugless_message_keyword_combined_updat,28,[0],0.12149827033207686,0.10866868865008382,0.030470256494733478
