,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.21580863234529382,0.18408736349453977,0.0748829953198128,605,225,0.7289156626506024
fine_grained_changes_transformer_80,1,"[0, 1]",0.125065002600104,0.10270410816432657,0.04654186167446698,327,154,0.6798336798336798
fine_grained_changes_transformer_70,2,"[0, 1]",0.0969838793551742,0.0845033801352054,0.03848153926157046,242,131,0.6487935656836461
all_files_test_add,3,[0],0.0013000520020800832,0.0013000520020800832,0.00078003120124805,3,2,0.6
all_files_test_fix,4,[0],0.00026001040041601667,0.00026001040041601667,0.00026001040041601667,1,0,1.0
buggless_if_many_lines_changed,5,[0],0.16796671866874674,0.16016640665626625,0.041341653666146644,573,73,0.8869969040247678
bugless_if_at_least_2_removed_files,6,[0],0.022880915236609463,0.02262090483619345,0.0039001560062402497,82,6,0.9318181818181819
bugless_if_at_least_5_added_files,7,[0],0.0405616224648986,0.0405616224648986,0.006760270410816433,150,6,0.9615384615384616
bugless_if_many_files_changes,8,[0],0.10036401456058243,0.09854394175767031,0.01794071762870515,364,22,0.9430051813471503
bugless_if_not_code_files,9,[0],0.018980759230369213,0.017420696827873113,0.006760270410816433,55,18,0.7534246575342466
no_files_have_modified_status,10,[0],0.01950078003120125,0.01950078003120125,0.0031201248049922,66,9,0.88
refactoring_if_at_least_2_renamed,11,[0],0.02158086323452938,0.02158086323452938,0.00234009360374415,81,2,0.9759036144578312
bug_message_keyword_combined_bad,12,[1],0.10244409776391056,0.08710348413936557,0.057722308892355696,279,115,0.7081218274111676
bug_message_keyword_combined_broken,13,[1],0.06812272490899636,0.06318252730109204,0.04316172646905876,151,111,0.5763358778625954
bug_message_keyword_combined_disabl,14,[1],0.09412376495059803,0.08840353614144565,0.06994279771190848,132,230,0.36464088397790057
bug_message_keyword_combined_correct,15,[1],0.07878315132605304,0.06942277691107644,0.05096203848153926,166,137,0.5478547854785478
bug_message_keyword_combined_bug,16,[1],0.14898595943837753,0.14768590743629745,0.09256370254810192,300,273,0.5235602094240838
bug_message_keyword_combined_close,17,[1],0.018200728029121163,0.014560582423296931,0.007280291211648466,46,24,0.6571428571428571
bug_message_keyword_combined_bugfix,18,[1],0.2233489339573583,0.1996879875195008,0.12844513780551223,494,365,0.5750873108265425
bugless_message_keyword_combined_abil,19,[0],0.10660426417056683,0.09542381695267811,0.03848153926157046,339,71,0.826829268292683
bugless_message_keyword_combined_addit,20,[0],0.10166406656266251,0.09412376495059803,0.054602184087363496,284,107,0.7263427109974425
bugless_message_keyword_combined_bump,21,[0],0.0514820592823713,0.04654186167446698,0.02626105044201768,158,40,0.797979797979798
bugless_message_keyword_combined_allow,22,[0],0.11596463858554343,0.10244409776391056,0.04784191367654706,376,70,0.8430493273542601
bugless_message_keyword_combined_clean,23,[0],0.07436297451898076,0.06786271450858035,0.0249609984399376,225,61,0.7867132867132867
bugless_message_keyword_combined_doc,24,[0],0.10686427457098284,0.10088403536141445,0.050442017680707225,297,114,0.7226277372262774
bugless_message_keyword_combined_remov,25,[0],0.059802392095683825,0.0499219968798752,0.02002080083203328,185,45,0.8043478260869565
bugless_message_keyword_combined_test,26,[0],0.07228289131565263,0.06656266250650027,0.03692147685907436,194,84,0.697841726618705
bugless_message_keyword_combined_ad,27,[0],0.1497659906396256,0.13442537701508062,0.04498179927197088,474,102,0.8229166666666667
bugless_message_keyword_combined_updat,28,[0],0.0187207488299532,0.017420696827873113,0.008060322412896516,52,20,0.7222222222222222
