,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.2345200540784137,0.20261378999549345,0.08057683641279856,1976,626,0.7594158339738662
fine_grained_changes_transformer_80,1,"[0, 1]",0.09860297431275349,0.08481297881928797,0.044885083370887785,710,384,0.6489945155393053
fine_grained_changes_transformer_70,2,"[0, 1]",0.09346552501126634,0.07994592158630014,0.03956737269040108,699,338,0.674059787849566
all_files_test_add,3,[0],0.0023433979269941417,0.0023433979269941417,0.00018026137899954936,25,1,0.9615384615384616
all_files_test_fix,4,[0],0.003334835511491663,0.003334835511491663,0.0014420910319963948,26,11,0.7027027027027027
buggless_if_many_lines_changed,5,[0],0.15953132041460116,0.15060838215412348,0.05570076611086075,1396,374,0.7887005649717513
bugless_if_at_least_2_removed_files,6,[0],0.04849031095087877,0.04704821991888238,0.01252816584046868,470,68,0.8736059479553904
bugless_if_at_least_5_added_files,7,[0],0.07318611987381704,0.07075259125732312,0.015412347904461469,726,86,0.8940886699507389
bugless_if_many_files_changes,8,[0],0.1526813880126183,0.14880576836412798,0.04155024785939612,1433,261,0.845926800472255
bugless_if_not_code_files,9,[0],0.11158179360072104,0.10292924740874268,0.031095087877422264,1013,225,0.8182552504038771
no_files_have_modified_status,10,[0],0.011086074808472285,0.011086074808472285,0.0011716989634970709,114,9,0.9268292682926829
refactoring_if_at_least_2_renamed,11,[0],0.03370887787291573,0.0330779630464173,0.008742676881478144,320,54,0.8556149732620321
bug_message_keyword_combined_bad,12,[1],0.03650292924740874,0.03533123028391167,0.030193780982424517,326,79,0.8049382716049382
bug_message_keyword_combined_broken,13,[1],0.044614691302388466,0.042181162685894544,0.037043713384407394,345,150,0.696969696969697
bug_message_keyword_combined_disabl,14,[1],0.04398377647589004,0.041369986480396574,0.03749436683190627,283,205,0.5799180327868853
bug_message_keyword_combined_correct,15,[1],0.053988283010365026,0.05155475439387111,0.04632717440288418,416,183,0.6944908180300501
bug_message_keyword_combined_bug,16,[1],0.06750788643533123,0.06561514195583597,0.055430374042361424,630,119,0.8411214953271028
bug_message_keyword_combined_close,17,[1],0.049031095087877424,0.04713835060838215,0.042000901306894996,410,134,0.7536764705882353
bug_message_keyword_combined_bugfix,18,[1],0.2707525912573231,0.22938260477692654,0.20468679585398827,2368,636,0.7882822902796272
bugless_message_keyword_combined_abil,19,[0],0.08400180261378999,0.07742226228030645,0.04308246958089229,771,161,0.8272532188841202
bugless_message_keyword_combined_addit,20,[0],0.1042812077512393,0.09671022983325822,0.054078413699864804,930,227,0.8038029386343993
bugless_message_keyword_combined_bump,21,[0],0.09770166741775575,0.09094186570527264,0.045606128886885984,885,199,0.816420664206642
bugless_message_keyword_combined_allow,22,[0],0.1327625056331681,0.12050473186119874,0.0615592609283461,1173,300,0.7963340122199593
bugless_message_keyword_combined_clean,23,[0],0.09301487156376746,0.08418206399278955,0.03722397476340694,902,130,0.874031007751938
bugless_message_keyword_combined_doc,24,[0],0.09977467327625056,0.09508787742226228,0.046146913023884635,975,132,0.8807588075880759
bugless_message_keyword_combined_remov,25,[0],0.05696259576385759,0.05164488508337089,0.02956286615592609,500,132,0.7911392405063291
bugless_message_keyword_combined_test,26,[0],0.07922487607030194,0.07643082469580892,0.041279855790896804,702,177,0.7986348122866894
bugless_message_keyword_combined_ad,27,[0],0.17494366831906263,0.16178458765209555,0.07147363677332132,1632,309,0.8408037094281298
bugless_message_keyword_combined_updat,28,[0],0.11689950428120775,0.1042812077512393,0.037764758900405586,1211,86,0.9336931380107941
