,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.2773963786149489,0.2365914356817987,0.0954689779455934,4499,1966,0.6959010054137664
fine_grained_changes_transformer_80,1,"[0, 1]",0.1371749764009268,0.11632197717326011,0.06071397923281558,1855,1342,0.5802314670003128
fine_grained_changes_transformer_70,2,"[0, 1]",0.11610744014416888,0.09830086672959752,0.05457822020080666,1502,1204,0.5550628233555063
all_files_test_add,3,[0],0.010169055178923882,0.010126147773105639,0.0032609628421865614,181,56,0.7637130801687764
all_files_test_fix,4,[0],0.005706684973826482,0.00557796275637175,0.0024886295374581652,90,43,0.6766917293233082
buggless_if_many_lines_changed,5,[],0.0,0.0,0.0,0,0,0.0
bugless_if_at_least_2_removed_files,6,[0],0.009697073714923196,0.008753110786921823,0.0027031665665493863,205,21,0.9070796460176991
bugless_if_at_least_5_added_files,7,[0],0.012571869904745559,0.012099888440744873,0.001887925856002746,279,14,0.9522184300341296
bugless_if_many_files_changes,8,[0],0.003218055436368317,0.003218055436368317,0.000557796275637175,72,3,0.96
bugless_if_not_code_files,9,[0],0.23221488028833775,0.21638204754140564,0.08405560799794044,4292,1120,0.7930524759793052
no_files_have_modified_status,10,[0],0.0754741268342916,0.06912383077319145,0.015189221659658457,1661,98,0.9442865264354747
refactoring_if_at_least_2_renamed,11,[0],0.00527761091564404,0.004548185016733888,0.0010297777396378615,114,9,0.9268292682926829
bug_message_keyword_combined_bad,12,[1],0.03428301724877714,0.032738350639320346,0.020552647386938985,701,98,0.8773466833541927
bug_message_keyword_combined_broken,13,[1],0.038874109671329274,0.036342572728052865,0.02347035098257959,745,161,0.8222958057395143
bug_message_keyword_combined_disabl,14,[1],0.03745816527932721,0.03428301724877714,0.025401184244400583,619,254,0.709049255441008
bug_message_keyword_combined_correct,15,[1],0.044022998369518576,0.041019479962241485,0.029177035956406076,793,233,0.7729044834307992
bug_message_keyword_combined_bug,16,[1],0.06015618295717841,0.05835407191281215,0.03664292456878057,1336,66,0.9529243937232525
bug_message_keyword_combined_close,17,[1],0.03930318372951171,0.03668583197459881,0.025315369432764096,767,149,0.8373362445414847
bug_message_keyword_combined_bugfix,18,[1],0.28855230412769245,0.24122543551016906,0.15858577190423068,5894,831,0.8764312267657992
bugless_message_keyword_combined_abil,19,[0],0.053848794301896506,0.049257701879344376,0.027675276752767528,1016,239,0.8095617529880479
bugless_message_keyword_combined_addit,20,[0],0.06950999742555565,0.06320260877027375,0.03775851712005492,1245,375,0.7685185185185186
bugless_message_keyword_combined_bump,21,[0],0.08671586715867159,0.07997940444520724,0.04007551703424011,1700,321,0.8411677387431964
bugless_message_keyword_combined_allow,22,[0],0.05822534969535742,0.05269029434480391,0.03303870248004805,1022,335,0.7531319086219602
bugless_message_keyword_combined_clean,23,[0],0.06457564575645756,0.05921222002917704,0.025701536085128294,1335,170,0.8870431893687707
bugless_message_keyword_combined_doc,24,[0],0.0888612374495838,0.08457049686775937,0.0375439800909637,1810,261,0.8739739256397876
bugless_message_keyword_combined_remov,25,[0],0.05702394233244658,0.04698360937097743,0.027632369346949282,1049,280,0.7893152746425884
bugless_message_keyword_combined_test,26,[0],0.06114305329099803,0.05813953488372093,0.03063588775422638,1060,365,0.743859649122807
bugless_message_keyword_combined_ad,27,[0],0.16184673474641723,0.14313910580966274,0.06071397923281558,3273,499,0.8677094379639448
bugless_message_keyword_combined_updat,28,[0],0.11559255127434995,0.10066077404960096,0.030206813696043937,2573,121,0.9550853749072012
