,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.23399692686962836,0.20061462607432923,0.07954679769684075,10522,3336,0.7592726223120219
fine_grained_changes_transformer_80,1,"[0, 1]",0.0991000118197322,0.08540600780102325,0.04260169191023758,3896,1973,0.6638268870335662
fine_grained_changes_transformer_70,2,"[0, 1]",0.09330834304239907,0.08015466963848505,0.04049102544619489,3627,1899,0.6563517915309446
all_files_test_add,3,[0],0.001975583810343954,0.001975583810343954,0.00042213329280853723,108,9,0.9230769230769231
all_files_test_fix,4,[0],0.0039680529524002495,0.003951167620687908,0.0013170558735626362,183,52,0.7787234042553192
buggless_if_many_lines_changed,5,[0],0.15671276362224135,0.1472569778633301,0.054269456123465544,7384,1897,0.7956039219911648
bugless_if_at_least_2_removed_files,6,[0],0.048933691302365634,0.04748155277510427,0.012376948145146312,2523,375,0.870600414078675
bugless_if_at_least_5_added_files,7,[0],0.07490333147594684,0.0726069263630684,0.01588909714131334,3963,473,0.8933724075743914
bugless_if_many_files_changes,8,[0],0.15470340914847272,0.15092109484490823,0.04163922800263411,7805,1357,0.8518882340100415
bugless_if_not_code_files,9,[0],0.111105482667207,0.10193674754740557,0.032402951555983314,5330,1250,0.8100303951367781
no_files_have_modified_status,10,[0],0.011043006939871335,0.011043006939871335,0.0009118079124664405,628,26,0.9602446483180428
refactoring_if_at_least_2_renamed,11,[0],0.03187950627290073,0.03108589568242068,0.0077334819242524016,1653,235,0.8755296610169492
bug_message_keyword_combined_bad,12,[1],0.03709707377201425,0.03542542593249244,0.03029228509194063,1717,480,0.781520254893036
bug_message_keyword_combined_broken,13,[1],0.04364858247640275,0.04202759063201797,0.0371983857622883,1773,812,0.6858800773694391
bug_message_keyword_combined_disabl,14,[1],0.04287185721763504,0.0403728281242085,0.036641169815781034,1508,1031,0.5939346199291059
bug_message_keyword_combined_correct,15,[1],0.05310436823531398,0.05011566452222954,0.044881211691403675,2169,976,0.6896661367249602
bug_message_keyword_combined_bug,16,[1],0.06855444675210645,0.0664606656197761,0.055957989294699695,3432,628,0.8453201970443349
bug_message_keyword_combined_close,17,[1],0.049693531229421,0.04776860341421407,0.04228087060770309,2160,783,0.7339449541284404
bug_message_keyword_combined_bugfix,18,[1],0.2657920064839674,0.22528409570606014,0.19862215693227295,12435,3306,0.7899752239374881
bugless_message_keyword_combined_abil,19,[0],0.08250173074650051,0.075899566046975,0.041689883997771134,4053,833,0.829512893982808
bugless_message_keyword_combined_addit,20,[0],0.10519561656788748,0.09803623592185469,0.05480978673826047,4983,1247,0.7998394863563403
bugless_message_keyword_combined_bump,21,[0],0.09785049727301892,0.09143407122232916,0.04552285429647265,4792,1003,0.8269197584124245
bugless_message_keyword_combined_allow,22,[0],0.13234722996133258,0.11954814852337774,0.0629991726187461,6227,1611,0.7944628731819341
bugless_message_keyword_combined_clean,23,[0],0.09801935059014234,0.08815831687013491,0.04022086013879743,5070,735,0.8733850129198966
bugless_message_keyword_combined_doc,24,[0],0.10021444371274674,0.09616196410178478,0.04523580365736285,5230,705,0.8812131423757372
bugless_message_keyword_combined_remov,25,[0],0.05869341303209902,0.053509616196410176,0.031119666345845363,2805,671,0.8069620253164558
bugless_message_keyword_combined_test,26,[0],0.0798507336676629,0.075899566046975,0.04243283859311416,3746,983,0.7921336434764221
bugless_message_keyword_combined_ad,27,[0],0.18112895327828715,0.16659068267396113,0.07314725697786333,9114,1613,0.8496317702992449
bugless_message_keyword_combined_updat,28,[0],0.11421238370227783,0.10262904614761156,0.037907569694206646,6293,471,0.9303666469544648
