,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.2792811770806326,0.23957253046409127,0.09623736064298678,24360,10110,0.7067014795474326
fine_grained_changes_transformer_80,1,"[0, 1]",0.1386764324604615,0.11752171376717656,0.06234605911330049,9943,7173,0.5809184388875905
fine_grained_changes_transformer_70,2,"[0, 1]",0.11478318641431164,0.09802793621986,0.05345799844438683,7924,6243,0.5593280158113927
all_files_test_add,3,[0],0.010070974850920405,0.009981851179673321,0.0027223230490018148,994,249,0.7996781979082864
all_files_test_fix,4,[0],0.004845086855068706,0.004739758879958517,0.0021146616541353382,393,205,0.657190635451505
buggless_if_many_lines_changed,5,[],0.0,0.0,0.0,0,0,0.0
bugless_if_at_least_2_removed_files,6,[0],0.00906630801140783,0.008426238008815142,0.002268602540834846,1023,96,0.9142091152815013
bugless_if_at_least_5_added_files,7,[0],0.013190303344568317,0.012501620430386311,0.001993129375162043,1557,71,0.9563882063882063
bugless_if_many_files_changes,8,[0],0.003791807103966814,0.0037756028001037075,0.0005185377236193933,440,28,0.9401709401709402
bugless_if_not_code_files,9,[0],0.23260467980295566,0.21790737619911849,0.08283640134819809,22825,5884,0.7950468494200424
no_files_have_modified_status,10,[0],0.0753500129634431,0.0696379958516982,0.014632486388384755,8810,490,0.9473118279569892
refactoring_if_at_least_2_renamed,11,[0],0.0057849364791288565,0.005233990147783251,0.0014745916515426498,636,78,0.8907563025210083
bug_message_keyword_combined_bad,12,[1],0.03411816178376977,0.03251393570132227,0.01997990666320975,3766,445,0.894324388506293
bug_message_keyword_combined_broken,13,[1],0.039425071298937,0.03688099559242935,0.025116670987814362,4038,828,0.8298397040690506
bug_message_keyword_combined_disabl,14,[1],0.03799909255898366,0.035252463054187194,0.026469730360383716,3330,1360,0.7100213219616205
bug_message_keyword_combined_correct,15,[1],0.04322498055483536,0.04030010370754472,0.029305483536427274,4205,1130,0.7881911902530458
bug_message_keyword_combined_bug,16,[1],0.06046635986518019,0.05829498314752398,0.03645968369198859,7089,374,0.9498861047835991
bug_message_keyword_combined_close,17,[1],0.039692442312678246,0.03726179673321234,0.026056520611874513,4155,744,0.8481322718922228
bug_message_keyword_combined_bugfix,18,[1],0.29026769509981853,0.24230295566502463,0.1585267046927664,31423,4403,0.8771004298554123
bugless_message_keyword_combined_abil,19,[0],0.052858439201451904,0.04788371791547835,0.027263741249675913,5307,1217,0.8134580012262416
bugless_message_keyword_combined_addit,20,[0],0.06986485610578169,0.06376393570132227,0.037772232304900184,6535,2088,0.7578568943523136
bugless_message_keyword_combined_bump,21,[0],0.08648236971739694,0.07947400829660357,0.039757259528130674,8782,1892,0.8227468615326963
bugless_message_keyword_combined_allow,22,[0],0.05656922478610319,0.051051659320715585,0.0324572206378014,5227,1755,0.748639358350043
bugless_message_keyword_combined_clean,23,[0],0.06470378532538242,0.058967461757842884,0.025108568835882812,7111,875,0.8904332582018533
bugless_message_keyword_combined_doc,24,[0],0.09007972517500648,0.08541288566243194,0.03910908737360643,9679,1439,0.8705702464472027
bugless_message_keyword_combined_remov,25,[0],0.0568609022556391,0.047203137153227895,0.027498703655690952,5632,1386,0.8025078369905956
bugless_message_keyword_combined_test,26,[0],0.06113883847549909,0.05788177339901478,0.029767306196525796,5711,1835,0.756824807845216
bugless_message_keyword_combined_ad,27,[0],0.15882648431423385,0.14063715322789733,0.058197757324345345,17068,2535,0.8706830587155028
bugless_message_keyword_combined_updat,28,[0],0.11902061187451388,0.10316470054446461,0.031622698988851436,13968,722,0.9508509189925118
