,j,Polarity,Coverage,Overlaps,Conflicts
fine_grained_changes_transformer_90,0,"[0, 1]",0.2645978307883513,0.22694049176827433,0.09082547208549825
fine_grained_changes_transformer_80,1,"[0, 1]",0.12584384085147854,0.10710824705579615,0.05594397937004166
fine_grained_changes_transformer_70,2,"[0, 1]",0.10782000251851932,0.09223255788488177,0.04925347802044381
all_files_test_add,3,[0],0.0074460571484886145,0.0073858316862581925,0.0019764901695620515
all_files_test_fix,4,[0],0.004560710003449276,0.0044840594151560114,0.0018560392451012061
buggless_if_many_lines_changed,5,[0],0.05081386499641385,0.04774784146468324,0.0175967850553253
buggless_if_one_file_markdown_ext,6,[0],0.04122159137571381,0.04122159137571381,0.008409664544175377
bugless_if_at_least_2_removed_files,7,[0],0.021993243798146152,0.02108986186468981,0.005546217567219828
bugless_if_at_least_5_added_files,8,[0],0.0332006548150257,0.031990670528396305,0.006498874878864695
bugless_if_many_files_changes,9,[0],0.05272465466172453,0.05148729516499039,0.013851856312997202
bugless_if_not_code_files,10,[0],0.1932087578772167,0.18102678938060848,0.06648343526036563
no_files_have_modified_status,11,[0],0.05449856827651152,0.05063866365174353,0.01018357815896237
refactoring_if_at_least_2_renamed,12,[0],0.014246059338505423,0.01361642950609646,0.003504026893406407
bug_message_keyword_combined_bad,13,[1],0.03508406927023165,0.033457981790010236,0.023323679009236396
bug_message_keyword_combined_broken,14,[1],0.040794538098079904,0.03854977086949142,0.02903414783708465
bug_message_keyword_combined_disabl,15,[1],0.03957907876942956,0.03691273330522812,0.029767803467891617
bug_message_keyword_combined_correct,16,[1],0.04642835633763489,0.043482783730365134,0.03435588868144563
bug_message_keyword_combined_bug,17,[1],0.06308890920737817,0.06094269273516674,0.04278197835168385
bug_message_keyword_combined_close,18,[1],0.04293527952827038,0.04066861213159811,0.03131724035981976
bug_message_keyword_combined_bugfix,19,[1],0.2823314918942003,0.23678461732193795,0.17152759147426455
bugless_message_keyword_combined_abil,20,[0],0.062470229459011095,0.05696781222795885,0.03194139515020778
bugless_message_keyword_combined_addit,21,[0],0.08132079913713337,0.07487667467847815,0.04329663230165291
bugless_message_keyword_combined_bump,22,[0],0.09016846704298455,0.0833520397269049,0.041626744485263927
bugless_message_keyword_combined_allow,23,[0],0.0811401227504421,0.07326153728229864,0.04236040011607089
bugless_message_keyword_combined_clean,24,[0],0.07550630451088712,0.06843255021982293,0.030008705316813305
bugless_message_keyword_combined_doc,25,[0],0.0933658915832179,0.08889825729412473,0.04109566540923201
bugless_message_keyword_combined_remov,26,[0],0.057455090967823176,0.04924800297842286,0.028672795063702114
bugless_message_keyword_combined_test,27,[0],0.0672061408071307,0.06372401408180808,0.03387408498360225
bugless_message_keyword_combined_ad,28,[0],0.166058024495338,0.14905254397827503,0.06304510887121059
bugless_message_keyword_combined_updat,29,[0],0.11746155151740789,0.10299101545604362,0.0336605583447853
