,j,Polarity,Coverage,Overlaps,Conflicts
fine_grained_changes_transformer_90,0,"[0, 1]",0.2664575586095392,0.22982700080840743,0.08956507679870655
fine_grained_changes_transformer_80,1,"[0, 1]",0.12648666127728375,0.10782861762328214,0.0558447857720291
fine_grained_changes_transformer_70,2,"[0, 1]",0.10825545675020211,0.0928698464025869,0.04935812449474535
all_files_test_add,3,[0],0.00832336297493937,0.008265157639450283,0.0021083265966046886
all_files_test_fix,4,[0],0.004966855295068714,0.004882780921584479,0.001978981406628941
buggless_if_many_lines_changed,5,[0],0.04336944219886823,0.04064672594987874,0.0158965238480194
bugless_if_at_least_2_removed_files,6,[0],0.018845594179466452,0.018088924818108327,0.004934518997574778
bugless_if_at_least_5_added_files,7,[0],0.02861115602263541,0.027602263540824575,0.005684721099434115
bugless_if_many_files_changes,8,[0],0.044818108326596606,0.04384155214227971,0.011990299110751819
bugless_if_not_code_files,9,[0],0.20144866612772838,0.18822958771220696,0.06619886822958772
no_files_have_modified_status,10,[0],0.05868391269199676,0.05460953920776071,0.010735650767987066
refactoring_if_at_least_2_renamed,11,[0],0.012481810832659661,0.01186095392077607,0.003091350040420372
bug_message_keyword_combined_bad,12,[1],0.035531123686337915,0.03403071948261924,0.023993532740501214
bug_message_keyword_combined_broken,13,[1],0.041998383185125304,0.039747776879547295,0.030150363783346807
bug_message_keyword_combined_disabl,14,[1],0.037607113985448665,0.03503314470493128,0.028378334680679063
bug_message_keyword_combined_correct,15,[1],0.04730153597413096,0.04421665319320938,0.03515602263540825
bug_message_keyword_combined_bug,16,[1],0.05882619240097009,0.056827809215844786,0.03948261924009701
bug_message_keyword_combined_close,17,[1],0.04657073565076799,0.04428779304769604,0.03411479385610348
bug_message_keyword_combined_bugfix,18,[1],0.27269846402586906,0.2297041228779305,0.16577526273241713
bugless_message_keyword_combined_abil,19,[0],0.06577202910266775,0.05987388843977365,0.033177041228779305
bugless_message_keyword_combined_addit,20,[0],0.08541956345998383,0.07862894098625707,0.04490218270008084
bugless_message_keyword_combined_bump,21,[0],0.08754729183508489,0.08132578819725142,0.04047210994341148
bugless_message_keyword_combined_allow,22,[0],0.07235569927243331,0.06486014551333873,0.036559417946645106
bugless_message_keyword_combined_clean,23,[0],0.07930153597413096,0.07167016976556184,0.0305642683912692
bugless_message_keyword_combined_doc,24,[0],0.09649151172190784,0.09180921584478577,0.04139046079223929
bugless_message_keyword_combined_remov,25,[0],0.06032659660468876,0.051447049312853675,0.029587712206952305
bugless_message_keyword_combined_test,26,[0],0.07067421180274859,0.06702021018593371,0.03447696038803557
bugless_message_keyword_combined_ad,27,[0],0.1758447857720291,0.1576329830234438,0.06544866612772837
bugless_message_keyword_combined_updat,28,[0],0.12407437348423606,0.1084624090541633,0.03383023443815683
