,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.3995937318630296,0.3932095182820662,0.2707486941381312,1238,139,0.8990559186637618
fine_grained_changes_transformer_80,1,"[0, 1]",0.1273940800928613,0.12594312246082415,0.08270458502611723,349,90,0.7949886104783599
fine_grained_changes_transformer_70,2,"[0, 1]",0.09663377829367382,0.09489262913522925,0.06848520023215322,265,68,0.7957957957957957
all_files_test_add,3,[0],0.004933255948926291,0.004933255948926291,0.0020313406848520023,17,0,1.0
all_files_test_fix,4,[0],0.006094022054556007,0.006094022054556007,0.003192106790481718,18,3,0.8571428571428572
buggless_if_many_lines_changed,5,[0],0.059489262913522925,0.059489262913522925,0.04991294254207777,141,64,0.6878048780487804
bugless_if_at_least_2_removed_files,6,[0],0.01625072547881602,0.01567034242600116,0.011317469529889728,41,15,0.7321428571428572
bugless_if_at_least_5_added_files,7,[0],0.01828206616366802,0.01828206616366802,0.011027278003482298,52,11,0.8253968253968254
bugless_if_many_files_changes,8,[0],0.03192106790481718,0.03163087637840975,0.02176436448055717,86,24,0.7818181818181817
bugless_if_not_code_files,9,[0],0.1784677887405688,0.17643644805571676,0.1355194428322693,547,68,0.8894308943089431
no_files_have_modified_status,10,[0],0.013639001741149159,0.013639001741149159,0.00522344747533372,36,11,0.7659574468085106
refactoring_if_at_least_2_renamed,11,[0],0.008705745792222866,0.008705745792222866,0.005513639001741149,24,6,0.8
bug_message_keyword_combined_bad,12,[1],0.07777132907719095,0.07777132907719095,0.06500290191526407,188,80,0.7014925373134329
bug_message_keyword_combined_broken,13,[1],0.1114335461404527,0.1114335461404527,0.09170052234474753,260,124,0.6770833333333334
bug_message_keyword_combined_disabl,14,[1],0.08560650029019153,0.08502611723737667,0.06964596633778293,203,92,0.688135593220339
bug_message_keyword_combined_correct,15,[1],0.1334881021474173,0.13319791062100986,0.11230412071967498,326,134,0.7086956521739131
bug_message_keyword_combined_bug,16,[1],0.0844457341845618,0.0844457341845618,0.06790481717933837,212,79,0.7285223367697594
bug_message_keyword_combined_close,17,[1],0.5220545560069646,0.5211839814277424,0.4544399303540337,863,936,0.47971095052807117
bug_message_keyword_combined_bugfix,18,[1],0.6120139291932676,0.585896691816599,0.4460243760882182,1566,543,0.7425320056899004
bugless_message_keyword_combined_abil,19,[0],0.1053395240858967,0.10475914103308183,0.09082994776552525,217,146,0.5977961432506887
bugless_message_keyword_combined_addit,20,[0],0.19036564132327335,0.18833430063842135,0.1575739988392339,363,293,0.5533536585365854
bugless_message_keyword_combined_bump,21,[0],0.1775972141613465,0.1775972141613465,0.15206035983749275,348,264,0.5686274509803921
bugless_message_keyword_combined_allow,22,[0],0.17005223447475334,0.16337782936738246,0.1413232733604179,408,178,0.6962457337883959
bugless_message_keyword_combined_clean,23,[0],0.10359837492745212,0.10214741729541497,0.09170052234474753,201,156,0.5630252100840336
bugless_message_keyword_combined_doc,24,[0],0.3099245502031341,0.3084735925710969,0.2681369704004643,845,223,0.7911985018726592
bugless_message_keyword_combined_remov,25,[0],0.10388856645385955,0.10156703424260012,0.08966918165989553,217,141,0.6061452513966481
bugless_message_keyword_combined_test,26,[0],0.11520603598374927,0.114335461404527,0.0943122460824144,291,106,0.7329974811083123
bugless_message_keyword_combined_ad,27,[0],0.1796285548461985,0.17730702263493905,0.14625652930934416,393,226,0.6348949919224556
bugless_message_keyword_combined_updat,28,[0],0.1497388276262333,0.14799767846778875,0.1105629715612304,315,201,0.6104651162790697
