,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.20153550863723607,0.1765834932821497,0.0710172744721689,80,25,0.7619047619047619
fine_grained_changes_transformer_80,1,"[0, 1]",0.1036468330134357,0.08253358925143954,0.030710172744721688,37,17,0.6851851851851851
fine_grained_changes_transformer_70,2,"[0, 1]",0.08061420345489444,0.07869481765834933,0.0345489443378119,31,11,0.7380952380952381
all_files_test_add,3,[],0.0,0.0,0.0,0,0,0.0
all_files_test_fix,4,[],0.0,0.0,0.0,0,0,0.0
buggless_if_many_lines_changed,5,[0],0.23224568138195778,0.22648752399232247,0.07485604606525911,92,29,0.7603305785123967
bugless_if_at_least_2_removed_files,6,[0],0.023032629558541268,0.023032629558541268,0.005758157389635317,9,3,0.75
bugless_if_at_least_5_added_files,7,[0],0.06525911708253358,0.06333973128598848,0.02111324376199616,26,8,0.7647058823529411
bugless_if_many_files_changes,8,[0],0.13051823416506717,0.12859884836852206,0.04030710172744722,55,13,0.8088235294117647
bugless_if_not_code_files,9,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,10,[],0.0,0.0,0.0,0,0,0.0
refactoring_if_at_least_2_renamed,11,[0],0.030710172744721688,0.030710172744721688,0.003838771593090211,16,0,1.0
bug_message_keyword_combined_bad,12,[1],0.04990403071017274,0.044145873320537425,0.03838771593090211,17,9,0.6538461538461539
bug_message_keyword_combined_broken,13,[1],0.05758157389635317,0.053742802303262956,0.046065259117082535,16,14,0.5333333333333333
bug_message_keyword_combined_disabl,14,[1],0.04990403071017274,0.046065259117082535,0.04222648752399232,14,12,0.5384615384615384
bug_message_keyword_combined_correct,15,[1],0.05950095969289827,0.05950095969289827,0.04798464491362764,19,12,0.6129032258064516
bug_message_keyword_combined_bug,16,[1],0.05182341650671785,0.04798464491362764,0.036468330134357005,22,5,0.8148148148148149
bug_message_keyword_combined_close,17,[1],0.05566218809980806,0.053742802303262956,0.05182341650671785,10,19,0.3448275862068966
bug_message_keyword_combined_bugfix,18,[1],0.21305182341650672,0.1727447216890595,0.14395393474088292,98,13,0.8828828828828829
bugless_message_keyword_combined_abil,19,[0],0.12476007677543186,0.10556621880998081,0.04798464491362764,56,9,0.8615384615384616
bugless_message_keyword_combined_addit,20,[0],0.1420345489443378,0.13051823416506717,0.04990403071017274,55,19,0.7432432432432432
bugless_message_keyword_combined_bump,21,[0],0.05950095969289827,0.05566218809980806,0.026871401151631478,24,7,0.7741935483870968
bugless_message_keyword_combined_allow,22,[0],0.18618042226487524,0.16122840690978887,0.053742802303262956,88,9,0.9072164948453608
bugless_message_keyword_combined_clean,23,[0],0.15930902111324377,0.1343570057581574,0.03838771593090211,78,5,0.9397590361445782
bugless_message_keyword_combined_doc,24,[0],0.09596928982725528,0.09021113243761997,0.03838771593090211,43,7,0.86
bugless_message_keyword_combined_remov,25,[0],0.0710172744721689,0.06333973128598848,0.02111324376199616,31,6,0.8378378378378378
bugless_message_keyword_combined_test,26,[0],0.15930902111324377,0.15163147792706333,0.07677543186180422,57,26,0.6867469879518072
bugless_message_keyword_combined_ad,27,[0],0.21305182341650672,0.19961612284069097,0.06333973128598848,94,17,0.8468468468468469
bugless_message_keyword_combined_updat,28,[0],0.03262955854126679,0.030710172744721688,0.019193857965451054,13,4,0.7647058823529411
