,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.14390243902439023,0.13170731707317074,0.07317073170731707,40,19,0.6779661016949152
fine_grained_changes_transformer_80,1,"[0, 1]",0.15121951219512195,0.12926829268292683,0.05121951219512195,43,19,0.6935483870967742
fine_grained_changes_transformer_70,2,"[0, 1]",0.14146341463414633,0.11707317073170732,0.06341463414634146,35,23,0.603448275862069
all_files_test_add,3,[0],0.0024390243902439024,0.0024390243902439024,0.0,1,0,1.0
all_files_test_fix,4,[0],0.0024390243902439024,0.0024390243902439024,0.0,1,0,1.0
buggless_if_many_lines_changed,5,[],0.0,0.0,0.0,0,0,0.0
bugless_if_at_least_2_removed_files,6,[],0.0,0.0,0.0,0,0,0.0
bugless_if_at_least_5_added_files,7,[],0.0,0.0,0.0,0,0,0.0
bugless_if_many_files_changes,8,[],0.0,0.0,0.0,0,0,0.0
bugless_if_not_code_files,9,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,10,[],0.0,0.0,0.0,0,0,0.0
refactoring_if_at_least_2_renamed,11,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_combined_bad,12,[1],0.0975609756097561,0.09024390243902439,0.03170731707317073,35,5,0.875
bug_message_keyword_combined_broken,13,[1],0.1,0.08780487804878048,0.05121951219512195,26,15,0.6341463414634146
bug_message_keyword_combined_disabl,14,[1],0.03414634146341464,0.03414634146341464,0.00975609756097561,10,4,0.7142857142857143
bug_message_keyword_combined_correct,15,[1],0.08048780487804878,0.06585365853658537,0.04878048780487805,26,7,0.7878787878787878
bug_message_keyword_combined_bug,16,[1],0.07560975609756097,0.07317073170731707,0.041463414634146344,25,6,0.8064516129032258
bug_message_keyword_combined_close,17,[1],0.041463414634146344,0.03902439024390244,0.024390243902439025,10,7,0.5882352941176471
bug_message_keyword_combined_bugfix,18,[1],0.34146341463414637,0.28536585365853656,0.13902439024390245,129,11,0.9214285714285715
bugless_message_keyword_combined_abil,19,[0],0.07804878048780488,0.06341463414634146,0.036585365853658534,24,8,0.75
bugless_message_keyword_combined_addit,20,[0],0.08292682926829269,0.07560975609756097,0.05365853658536585,24,10,0.7058823529411764
bugless_message_keyword_combined_bump,21,[0],0.05853658536585366,0.046341463414634146,0.024390243902439025,21,3,0.875
bugless_message_keyword_combined_allow,22,[0],0.07804878048780488,0.06585365853658537,0.04390243902439024,27,5,0.84375
bugless_message_keyword_combined_clean,23,[0],0.06585365853658537,0.04878048780487805,0.024390243902439025,24,3,0.8888888888888888
bugless_message_keyword_combined_doc,24,[0],0.09268292682926829,0.08536585365853659,0.04390243902439024,31,7,0.8157894736842105
bugless_message_keyword_combined_remov,25,[0],0.07804878048780488,0.05853658536585366,0.041463414634146344,28,4,0.875
bugless_message_keyword_combined_test,26,[0],0.18292682926829268,0.17804878048780487,0.13170731707317074,37,38,0.49333333333333335
bugless_message_keyword_combined_ad,27,[0],0.12195121951219512,0.1048780487804878,0.05609756097560976,39,11,0.78
bugless_message_keyword_combined_updat,28,[0],0.026829268292682926,0.024390243902439025,0.014634146341463415,8,3,0.7272727272727273
