sha,message,label,predicted,prob_CommitLabel.BugFix
28c3b04e75aaf2f1b33013cecebd38ae0d6a0b88,Introducing a new Directory constructor with a- LocalReference instance.--,CommitLabel.NonBugFix,0,0.2
95ba62f83dfa05990d2165484330cdd0792064d8,"Translog: Implement a file system based translog- and make it the default, closes -260.--",CommitLabel.NonBugFix,1,0.6
96a1477d02e29b3002678f4da9ca55184888a54c,HADOOP-6534. Trim whitespace from directory lists- initializing LocalDirAllocator. Contributed by Todd Lipcon--git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@909806 13f79535-47bb-0310-9956-ffa450edef68-,CommitLabel.NonBugFix,0,0.42
a342029d36fc8cdd6be3ab540cd2527ddd022188,"Histogram Facet: Allow to define a key field and- value script, closes -517.--",CommitLabel.NonBugFix,1,0.93
a6fa02a07fe374204e9e02914ccf1cc9812aa5ba, - Initial code for new default HTTP connector and- SIP connector.--,CommitLabel.NonBugFix,1,0.59
9aa093303a2580c5cd165e95b0d59062ec9ec835, - Initial code for new default HTTP connector and- SIP connector.--,CommitLabel.NonBugFix,1,0.69
0ed50ca00c1d9abacff4f667afa3d366c9b04e01,"NullPointerException for invalid faceted query,- closes -1136.--",CommitLabel.NonBugFix,1,0.98
0ace17c659c5e73c9de4003718ba4860bfa3be43, - Initial code for new default HTTP connector and- SIP connector.--,CommitLabel.NonBugFix,0,0.2
6ed722529007866fd89f6d996b8be5f4129c27a5,HBASE-3167 HBase Export: Add ability to export- specific Column Family; Turn Block Cache off during export; improve usage doc--git-svn-id: https://svn.apache.org/repos/asf/hbase/trunk@1028546 13f79535-47bb-0310-9956-ffa450edef68-,CommitLabel.NonBugFix,0,0.03
a7e7e662aec3201493c48b78be0ec0a7ef3cfbbe,Added parsing of RDF XML.--,CommitLabel.NonBugFix,0,0.26
830df67181827218ed8525ac924b073cffe4536f,HADOOP-2398. Additional instrumentation for- NameNode and RPC server. Add support for accessing instrumentation statistics- via JMX. (Sanjay radia via dhruba)--git-svn-id: https://svn.apache.org/repos/asf/lucene/hadoop/trunk/src/contrib/hbase@611906 13f79535-47bb-0310-9956-ffa450edef68-,CommitLabel.NonBugFix,0,0.03
b0d00c5b3003a233c793a0f092f15358530a0acb,Implemented new commands: - truncate cluster -- truncate class--,CommitLabel.NonBugFix,0,0.15
0ab9ab9ce7eeaeb195740d36de05daa0fe3b003c,HBASE-8921 [thrift2] Add GenericOptionsParser to- Thrift 2 server--git-svn-id: https://svn.apache.org/repos/asf/hbase/trunk@1501982 13f79535-47bb-0310-9956-ffa450edef68-,CommitLabel.NonBugFix,0,0.26
5d4ad11296c8ed4eb447509c110ca206d6c94218,CAMEL-845: added firedtime property.--git-svn-id: https://svn.apache.org/repos/asf/activemq/camel/trunk@688957 13f79535-47bb-0310-9956-ffa450edef68-,CommitLabel.NonBugFix,1,0.76
6f1932ab677b4e544fa964a6aacc7e888613ff2f,support yaml detection on char sequence--,CommitLabel.NonBugFix,0,0.04
29e1e664f1bcaa2af3488096d33d84e328099f3c,CAMEL-5370: Added direct-vm component to act as- synchronous direct calls between multiple camel contexts in the same JVM (eg- like direct + vm together). Can be used to support transactions spanning- multiple camel contextes / bundles.--git-svn-id: https://svn.apache.org/repos/asf/camel/trunk@1350591 13f79535-47bb-0310-9956-ffa450edef68-,CommitLabel.NonBugFix,0,0.06
5b4e584e455a1d4713119308c846d66fcfd52d9a,JBRULES-2439--git-svn-id: https://svn.jboss.org/repos/labs/labs/jbossrules/trunk@31842 c60d74c8-e8f6-0310-9e8f-d4a2fc68ab70-,CommitLabel.NonBugFix,1,0.85
1dc33f9f6d29c6b33de2023d4f2158e70a1c89aa,UPDATE ADD now possible with subdocuments fields--,CommitLabel.NonBugFix,0,0.25
8467928cf0639c9783a5f03168af547ffe8a23c8,CAMEL-4023 Properties to Cxf ClientProxyFactory- can be set on endpoint uri or CxfEndpoint bean.--git-svn-id: https://svn.apache.org/repos/asf/camel/trunk@1128561 13f79535-47bb-0310-9956-ffa450edef68-,CommitLabel.NonBugFix,1,0.79
4a29e164a8ca222fd8b0d2043e1d44494e84544e,Allow binary messages in StompSubProtocolHandler--Issue: SPR-12301-,CommitLabel.NonBugFix,0,0.4
015284af7cf8eff979cd0c5e5ad3d189915e98a9,+ add implicit (String) type for typed string- values w/o a specified type--,CommitLabel.NonBugFix,0,0.26
a768016779e3bdbddf310d2d861e74830a62d16c,"Allow to configure a common logger prefix using- `es.logger.prefix` system prop, closes -360.--",CommitLabel.NonBugFix,1,0.6
19152416a44473325a6c3605f9accc4fee379b63,add an index level setting to disable/enable- purging of expired docs (issue -1791)--,CommitLabel.NonBugFix,0,0.04
97a8657ae17bf9105a41d4930ee26fb2dbd1e3cc,"Supported new syntax in SQL UPDATE to use a inner- query as target. Example: update ( traverse V.in, E.out from V ) set date =- sysdate() where out.size() > 1--",CommitLabel.NonBugFix,0,0.0
f7edaa99bc232ad970faf6369ebc3cf1f6eff70f,"added contains() method to the DSL for- .header(""foo"").contains(""cheese"") for multi-value headers--git-svn-id: https://svn.apache.org/repos/asf/activemq/camel/trunk@539516 13f79535-47bb-0310-9956-ffa450edef68-",CommitLabel.NonBugFix,0,0.08
76fcc81bc61342ed85f7a8a0c325e58162ff24e8,New method to return string representation of- typeDescriptor--,CommitLabel.NonBugFix,0,0.06
630620ee581f7fbe07b95ec8cce030e56108cbdf, - Continued SIP transaction support--,CommitLabel.NonBugFix,1,0.61
fe164471124f357d20acb18f6a6059eb5f91be07,more work on enabling non-namespace extensions of- xml parsing--,CommitLabel.NonBugFix,-1,0.5
5a91d607882e59a6255eff0f144a6efecc749af2,"Allow setting WSDL document as a Resource--Prior to this change, LocalJaxWsServiceFactory allowed specifying a WSDL-document URL. Now users may also specify a WSDL document represented as-a Spring Resource object for convenience.--Issue: SPR-9909-",CommitLabel.NonBugFix,0,0.15
063b8da4cfd78758f2eef5244008dc65f0557a4b,Patch by Luca Molino about the management of JSON- with document type not only as first attribute--,CommitLabel.NonBugFix,0,0.29
09c3edcbc7b12c62280eeba8bb3dea0f06775367,'hasSyntaxErrors' check moved from Diagnostic to- PositioningStrategy--This makes possible to mark diagnostic errors when syntax error are present (by overriding isValid in PositioningStrategy subclasses).-,CommitLabel.NonBugFix,1,0.81
9f923255878b7baefd89bc37af8fe3072f163322,Allow additional settings for the node in- ESSingleNodeTestCase--This change adds a method that extending classes can override to provide additional settings-for the node used in a single node test case.-,CommitLabel.NonBugFix,0,0.06
73282a316e9b28a3854ff93b6fd95789d9cd40ef,JAX-RS-Extension: - encoding of UriBuilder- parameters implemented--,CommitLabel.NonBugFix,0,0.14
ca5239afbb0f9540b0bf71edf3317f0b290af453, - Initial code for new default HTTP connector and- SIP connector.--,CommitLabel.NonBugFix,0,0.2
218ee6d24c991f841ee91085c2bb26d6198db8c6,"added ""boolean isRegisteredWithDestination()""- method (SPR-7065)--",CommitLabel.NonBugFix,0,0.26
3161a555e1e898786041b84b98f0c45630b7c78e,HBASE-3070 Add to hbaseadmin means of shutting- down a regionserver--git-svn-id: https://svn.apache.org/repos/asf/hbase/trunk@1003702 13f79535-47bb-0310-9956-ffa450edef68-,CommitLabel.NonBugFix,0,0.08
89cafb31528e6d9edd1503deff0e2afa75209a44,tuple literals--,CommitLabel.NonBugFix,-1,0.5
8760be7d6428e3b54e6486106770fe1a1ac1e18c,ResponseEntity's HeadersBuilder allows for- specifying existing HttpHeaders--Issue: SPR-12324-,CommitLabel.NonBugFix,0,0.4
2f40ce3e2a5e244315c16865967f58930f57cf7c,Added takeLast to Observable--,CommitLabel.NonBugFix,0,0.08
9cbc1d502d0c0ead391ffd65bf1cbd812ed53654,SPR-	 - Allow XStreamMarshaller subclasses to- customise XStream object--,CommitLabel.NonBugFix,0,0.4
0735e178dc8628cf8986dfc6c62332378a42643d,allow to specify an optional Environment when- creating a new KieSession--,CommitLabel.NonBugFix,0,0.15
4558ca5a79a5106287438df8a737e4a1635e4534,HBASE-8383 Support lib/*jar inside coprocessor- jar--git-svn-id: https://svn.apache.org/repos/asf/hbase/trunk@1471754 13f79535-47bb-0310-9956-ffa450edef68-,CommitLabel.NonBugFix,0,0.15
e1bbd8cbc538aae9acc0eb24b1f0751d88f05365,HBASE-1552 provide version running on cluster via- getClusterStatus--git-svn-id: https://svn.apache.org/repos/asf/hadoop/hbase/trunk@786666 13f79535-47bb-0310-9956-ffa450edef68-,CommitLabel.NonBugFix,0,0.14
26d12f78c550e45f32e2c0fd4cf625e3fbf3b295,Add support for template route matching mode--,CommitLabel.NonBugFix,0,0.06
